month,close,change
2009-02-08,3.76,-1.05
2009-02-15,3.54,-5.85
2009-02-22,3.5,-1.13
2009-03-01,3.22,-8.0
2009-03-08,3.18,-1.24
2009-03-15,3.18,0.0
2009-03-22,3.2,0.63
2009-03-29,3.4,6.25
2009-04-05,3.3,-2.94
2009-04-12,3.36,1.82
2009-04-19,3.76,11.9
2009-04-26,3.9,3.72
2009-05-03,4.52,15.9
2009-05-10,4.1,-9.29
2009-05-17,5.3,29.27
2009-05-24,4.9,-7.55
2009-05-31,5.55,13.27
2009-06-07,5.95,7.21
2009-06-14,4.98,-16.3
2009-06-21,5.3,6.43
2009-06-28,4.96,-6.42
2009-07-05,4.74,-4.44
2009-07-12,4.84,2.11
2009-07-19,5.05,4.34
2009-07-26,5.05,0.0
2009-08-02,5.1,0.99
2009-08-09,5.45,6.86
2009-08-16,6.2,13.76
2009-08-23,7.15,15.32
2009-08-30,7.4,3.5
2009-09-06,9.3,25.68
2009-09-13,9.05,-2.69
2009-09-20,9.05,0.0
2009-09-27,8.75,-3.31
2009-10-04,9.3,6.29
2009-10-11,8.6,-7.53
2009-10-18,8.25,-4.07
2009-10-25,7.8,-5.45
2009-11-01,8.15,4.49
2009-11-08,7.9,-3.07
2009-11-15,7.6,-3.8
2009-11-22,6.75,-11.18
2009-11-29,7.7,14.07
2009-12-06,7.6,-1.3
2009-12-13,7.4,-2.63
2009-12-20,7.5,1.35
2009-12-27,7.35,-2.0
2010-01-03,7.9,7.48
2010-01-10,8.15,3.16
2010-01-17,7.35,-9.82
2010-01-24,6.7,-8.84
2010-01-31,7.1,5.97
2010-02-07,7.05,-0.7
2010-02-14,7.15,1.42
2010-02-21,7.5,4.9
2010-02-28,7.5,0.0
2010-03-07,7.4,-1.33
2010-03-14,8.15,10.14
2010-03-21,8.35,2.45
2010-03-28,8.3,-0.6
2010-04-04,7.95,-4.22
2010-04-11,6.9,-13.21
2010-04-18,6.85,-0.72
2010-04-25,6.8,-0.73
2010-05-02,7.15,5.15
2010-05-09,7.3,2.1
2010-05-16,7.1,-2.74
2010-05-23,6.85,-3.52
2010-05-30,7.2,5.11
2010-06-06,7.25,0.69
2010-06-13,7.8,7.59
2010-06-20,8.4,7.69
2010-06-27,8.55,1.79
2010-07-04,10.6,23.98
2010-07-11,10.9,2.83
2010-07-18,10.8,-0.92
2010-07-25,10.5,-2.78
2010-08-01,11.2,6.67
2010-08-08,10.7,-4.46
2010-08-15,12.7,18.69
2010-08-22,14.0,10.24
2010-08-29,16.2,15.71
2010-09-05,14.4,-11.11
2010-09-12,15.2,5.56
2010-09-19,16.4,7.89
2010-09-26,16.0,-2.44
2010-10-03,14.8,-7.5
2010-10-10,14.9,0.68
2010-10-17,16.0,7.38
2010-10-24,15.5,-3.13
2010-10-31,15.4,-0.65
2010-11-07,14.6,-5.19
2010-11-14,14.8,1.37
2010-11-21,14.1,-4.73
2010-11-28,14.0,-0.71
2010-12-05,14.3,2.14
2010-12-12,14.9,4.2
2010-12-19,14.4,-3.36
2010-12-26,14.4,0.0
2011-01-02,16.0,11.11
2011-01-09,16.3,1.87
2011-01-16,15.0,-7.98
2011-01-23,14.2,-5.33
2011-01-30,14.1,-0.7
2011-02-06,13.7,-2.84
2011-02-13,14.4,5.11
2011-02-20,14.1,-2.08
2011-02-27,14.2,0.71
2011-03-06,14.2,0.0
2011-03-13,14.1,-0.7
2011-03-20,15.6,10.64
2011-03-27,15.5,-0.64
2011-04-03,15.4,-0.65
2011-04-10,15.5,0.65
2011-04-17,15.4,-0.65
2011-04-24,15.8,2.6
2011-05-01,14.7,-6.96
2011-05-08,15.1,2.72
2011-05-15,14.8,-1.99
2011-05-22,14.4,-2.7
2011-05-29,14.4,0.0
2011-06-05,12.8,-11.11
2011-06-12,13.1,2.34
2011-06-19,12.8,-2.29
2011-06-26,13.4,4.69
2011-07-03,14.8,10.45
2011-07-10,14.4,-2.7
2011-07-17,14.8,2.78
2011-07-24,15.6,5.41
2011-07-31,14.5,-7.05
2011-08-07,14.4,-0.69
2011-08-14,14.7,2.08
2011-08-21,14.7,0.0
2011-08-28,14.2,-3.4
2011-09-04,14.2,0.0
2011-09-11,13.5,-4.93
2011-09-18,11.8,-12.59
2011-09-25,11.0,-6.78
2011-10-02,9.1,-17.27
2011-10-09,10.7,17.58
2011-10-16,10.3,-3.74
2011-10-23,10.9,5.83
2011-10-30,10.6,-2.75
2011-11-06,11.4,7.55
2011-11-13,11.1,-2.63
2011-11-20,10.6,-4.5
2011-11-27,12.7,19.81
2011-12-04,12.3,-3.15
2011-12-11,12.3,0.0
2011-12-18,13.3,8.13
2011-12-25,12.6,-5.26
2012-01-01,13.3,5.56
2012-01-08,14.9,12.03
2012-01-15,14.0,-6.04
2012-01-22,14.6,4.29
2012-01-29,15.6,6.85
2012-02-05,16.4,5.13
2012-02-12,16.9,3.05
2012-02-19,16.7,-1.18
2012-02-26,16.5,-1.2
2012-03-04,16.6,0.61
2012-03-11,17.0,2.41
2012-03-18,16.4,-3.53
2012-03-25,16.7,1.83
2012-04-01,16.8,0.6
2012-04-08,16.4,-2.38
2012-04-15,16.8,2.44
2012-04-22,17.9,6.55
2012-04-29,18.3,2.23
2012-05-06,17.0,-7.1
2012-05-13,15.6,-8.24
2012-05-20,15.5,-0.64
2012-05-27,15.6,0.65
2012-06-03,15.1,-3.21
2012-06-10,15.7,3.97
2012-06-17,15.9,1.27
2012-06-24,15.6,-1.89
2012-07-01,17.1,9.62
2012-07-08,17.0,-0.58
2012-07-15,17.8,4.71
2012-07-22,16.9,-5.06
2012-07-29,17.2,1.78
2012-08-05,17.2,0.0
2012-08-12,16.6,-3.49
2012-08-19,16.9,1.81
2012-08-26,17.2,1.78
2012-09-02,16.7,-2.91
2012-09-09,16.5,-1.2
2012-09-16,17.0,3.03
2012-09-23,16.7,-1.76
2012-09-30,17.0,1.8
2012-10-07,16.8,-1.18
2012-10-14,16.6,-1.19
2012-10-21,15.7,-5.42
2012-10-28,15.5,-1.27
2012-11-04,15.3,-1.29
2012-11-11,15.2,-0.65
2012-11-18,15.3,0.66
2012-11-25,15.7,2.61
2012-12-02,16.2,3.18
2012-12-09,16.4,1.23
2012-12-16,15.9,-3.05
2012-12-23,16.2,1.89
2012-12-30,17.2,6.17
2013-01-06,19.9,15.7
2013-01-13,20.7,4.02
2013-01-20,21.0,1.45
2013-01-27,20.2,-3.81
2013-02-03,21.6,6.93
2013-02-10,23.5,8.8
2013-02-17,25.25,7.45
2013-02-24,26.75,5.94
2013-03-03,27.0,0.93
2013-03-10,27.25,0.93
2013-03-17,23.9,-12.29
2013-03-24,24.5,2.51
2013-03-31,23.5,-4.08
2013-04-07,22.1,-5.96
2013-04-14,23.0,4.07
2013-04-21,23.6,2.61
2013-04-28,23.2,-1.69
2013-05-05,24.3,4.74
2013-05-12,22.0,-9.47
2013-05-19,21.9,-0.45
2013-05-26,21.2,-3.2
2013-06-02,20.2,-4.72
2013-06-09,19.4,-3.96
2013-06-16,16.5,-14.95
2013-06-23,18.2,10.3
2013-06-30,17.1,-6.04
2013-07-07,17.1,0.0
2013-07-14,18.9,10.53
2013-07-21,17.8,-5.82
2013-07-28,16.7,-6.18
2013-08-04,18.4,10.18
2013-08-11,18.7,1.63
2013-08-18,17.1,-8.56
2013-08-25,17.0,-0.58
2013-09-01,17.7,4.12
2013-09-08,17.9,1.13
2013-09-15,19.4,8.38
2013-09-22,18.0,-7.22
2013-09-29,17.7,-1.67
2013-10-06,18.0,1.69
2013-10-13,18.0,0.0
2013-10-20,17.4,-3.33
2013-10-27,17.0,-2.3
2013-11-03,16.5,-2.94
2013-11-10,17.0,3.03
2013-11-17,15.8,-7.06
2013-11-24,15.8,0.0
2013-12-01,15.1,-4.43
2013-12-08,14.4,-4.64
2013-12-15,13.9,-3.47
2013-12-22,13.8,-0.72
2013-12-29,11.9,-13.77
2014-01-05,12.1,1.68
2014-01-12,13.3,9.92
2014-01-19,13.0,-2.26
2014-01-26,12.4,-4.62
2014-02-02,13.7,10.48
2014-02-09,13.5,-1.46
2014-02-16,13.2,-2.22
2014-02-23,13.7,3.79
2014-03-02,14.7,7.3
2014-03-09,14.8,0.68
2014-03-16,14.7,-0.68
2014-03-23,14.4,-2.04
2014-03-30,15.7,9.03
2014-04-06,15.5,-1.27
2014-04-13,15.7,1.29
2014-04-20,16.0,1.91
2014-04-27,15.8,-1.25
2014-05-04,14.3,-9.49
2014-05-11,14.7,2.8
2014-05-18,15.2,3.4
2014-05-25,16.0,5.26
2014-06-01,16.2,1.25
2014-06-08,16.7,3.09
2014-06-15,17.0,1.8
2014-06-22,17.0,0.0
2014-06-29,17.4,2.35
2014-07-06,17.6,1.15
2014-07-13,17.8,1.14
2014-07-20,17.4,-2.25
2014-07-27,16.9,-2.87
2014-08-03,16.2,-4.14
2014-08-10,17.0,4.94
2014-08-17,17.4,2.35
2014-08-24,16.7,-4.02
2014-08-31,16.5,-1.2
2014-09-07,16.3,-1.21
2014-09-14,16.4,0.61
2014-09-21,16.0,-2.44
2014-09-28,16.0,0.0
2014-10-05,15.7,-1.88
2014-10-12,15.2,-3.18
2014-10-19,15.1,-0.66
2014-10-26,15.5,2.65
2014-11-02,16.3,5.16
2014-11-09,15.9,-2.45
2014-11-16,16.1,1.26
2014-11-23,15.3,-4.97
2014-11-30,16.4,7.19
2014-12-07,16.0,-2.44
2014-12-14,15.7,-1.88
2014-12-21,16.1,2.55
2014-12-28,15.7,-2.48
2015-01-04,16.7,6.37
2015-01-11,16.6,-0.6
2015-01-18,17.0,2.41
2015-01-25,16.6,-2.35
2015-02-01,18.0,8.43
2015-02-08,18.5,2.78
2015-02-15,18.7,1.08
2015-02-22,18.6,-0.53
2015-03-01,18.0,-3.23
2015-03-08,17.0,-5.56
2015-03-15,17.1,0.59
2015-03-22,15.9,-7.02
2015-03-29,17.0,6.92
2015-04-05,16.9,-0.59
2015-04-12,16.9,0.0
2015-04-19,17.9,5.92
2015-04-26,17.9,0.0
2015-05-03,17.3,-3.35
2015-05-10,16.7,-3.47
2015-05-17,17.1,2.4
2015-05-24,16.7,-2.34
2015-05-31,16.0,-4.19
2015-06-07,15.9,-0.63
