month,close,change
2004-01-04,5.25,12.42
2004-01-05,5.3,0.95
2004-01-06,5.15,-2.83
2004-01-07,5.15,0.0
2004-01-08,5.1,-0.97
2004-01-09,4.97,-2.55
2004-01-10,4.62,-7.04
2004-01-11,4.8,3.9
2004-01-12,5.15,7.29
2005-01-01,4.88,-5.24
2005-01-02,4.78,-2.05
2005-01-03,4.67,-2.3
2005-01-04,4.22,-9.64
2005-01-05,4.47,5.92
2005-01-06,4.5,0.67
2005-01-07,4.53,0.67
2005-01-08,4.65,2.65
2005-01-09,5.0,7.53
2005-01-10,5.05,1.0
2005-01-11,4.97,-1.58
2005-01-12,5.25,5.63
2006-01-01,5.15,-1.9
2006-01-02,5.15,0.0
2006-01-03,4.83,-6.21
2006-01-04,5.85,21.12
2006-01-05,5.7,-2.56
2006-01-06,5.6,-1.75
2006-01-07,5.85,4.46
2006-01-08,5.6,-4.27
2006-01-09,5.8,3.57
2006-01-10,6.6,13.79
2006-01-11,6.5,-1.52
2006-01-12,5.85,-10.0
2007-01-01,5.05,-13.68
2007-01-02,6.05,19.8
2007-01-03,5.8,-4.13
2007-01-04,5.95,2.59
2007-01-05,5.7,-4.2
2007-01-06,5.9,3.51
2007-01-07,6.45,9.32
2007-01-08,5.8,-10.08
2007-01-09,6.2,6.9
2007-01-10,6.1,-1.61
2007-01-11,5.7,-6.56
2007-01-12,5.75,0.88
2008-01-01,5.4,-6.09
2008-01-02,5.7,5.56
2008-01-03,5.7,0.0
2008-01-04,5.5,-3.51
2008-01-05,5.35,-2.73
2008-01-06,4.88,-8.79
2008-01-07,3.83,-21.52
2008-01-08,3.8,-0.78
2008-01-09,3.1,-18.42
2008-01-10,1.89,-39.03
2008-01-11,1.78,-5.82
2008-01-12,1.81,1.69
2009-01-01,1.83,1.1
2009-01-02,1.61,-12.02
2009-01-03,1.6,-0.62
2009-01-04,1.87,16.87
2009-01-05,2.2,17.65
2009-01-06,2.67,21.36
2009-01-07,3.2,19.85
2009-01-08,3.65,14.06
2009-01-09,4.22,15.62
2009-01-10,3.85,-8.77
2009-01-11,3.73,-3.12
2009-01-12,3.9,4.56
2010-01-01,3.9,0.0
2010-01-02,3.88,-0.51
2010-01-03,3.83,-1.29
2010-01-04,3.42,-10.7
2010-01-05,3.35,-2.05
2010-01-06,3.4,1.49
2010-01-07,3.88,14.12
2010-01-08,3.97,2.45
2010-01-09,4.15,4.4
2010-01-10,3.9,-6.02
2010-01-11,3.83,-1.92
2010-01-12,3.9,1.96
2011-01-01,3.28,-16.03
2011-01-02,3.3,0.76
2011-01-03,3.6,9.09
2011-01-04,3.7,2.78
2011-01-05,3.92,6.08
2011-01-06,3.6,-8.28
2011-01-07,4.7,30.56
2011-01-08,4.7,0.0
