month,close,change
2004-01-01,4.2,-3.67
2004-01-02,4.09,-2.62
2004-01-03,3.53,-13.69
2004-01-04,3.39,-3.97
2004-01-05,3.08,-9.14
2004-01-06,3.27,6.17
2004-01-07,2.97,-9.17
2004-01-08,3.02,1.68
2004-01-09,2.94,-2.65
2004-01-10,2.71,-7.82
2004-01-11,2.88,6.27
2004-01-12,2.77,-3.82
2005-01-01,3.52,27.08
2005-01-02,3.77,7.1
2005-01-03,3.09,-18.04
2005-01-04,2.79,-9.71
2005-01-05,2.86,2.51
2005-01-06,2.74,-4.2
2005-01-07,2.68,-2.19
2005-01-08,2.73,1.87
2005-01-09,2.74,0.37
2005-01-10,2.56,-6.57
2005-01-11,2.27,-11.33
2005-01-12,2.59,14.1
2006-01-01,3.0,15.83
2006-01-02,3.21,7.0
2006-01-03,3.18,-0.93
2006-01-04,3.03,-4.72
2006-01-05,2.53,-16.5
2006-01-06,2.09,-17.39
2006-01-07,2.08,-0.48
2006-01-08,2.67,28.37
2006-01-09,2.91,8.99
2006-01-10,3.3,13.4
2006-01-11,3.65,10.61
2006-01-12,3.55,-2.74
2007-01-01,2.88,-18.87
2007-01-02,3.27,13.54
2007-01-03,3.33,1.83
2007-01-04,3.55,6.61
2007-01-05,3.86,8.73
2007-01-06,4.55,17.88
2007-01-07,5.27,15.82
2007-01-08,4.39,-16.7
2007-01-09,5.08,15.72
2007-01-10,5.49,8.07
2007-01-11,5.15,-6.19
2007-01-12,4.85,-5.83
2008-01-01,4.09,-15.67
2008-01-02,4.85,18.58
2008-01-03,5.68,17.11
2008-01-04,5.49,-3.35
2008-01-05,5.08,-7.47
2008-01-06,3.83,-24.61
2008-01-07,3.71,-3.13
2008-01-08,4.09,10.24
2008-01-09,3.7,-9.54
2008-01-10,2.24,-39.46
2008-01-11,1.42,-36.61
2008-01-12,1.8,26.76
2009-01-01,1.64,-8.89
2009-01-02,1.56,-4.88
2009-01-03,1.74,11.54
2009-01-04,2.56,47.13
2009-01-05,3.58,39.84
2009-01-06,3.61,0.84
2009-01-07,3.71,2.77
2009-01-08,4.24,14.29
2009-01-09,4.92,16.04
2009-01-10,4.24,-13.82
2009-01-11,4.09,-3.54
2009-01-12,4.36,6.6
2010-01-01,3.71,-14.91
2010-01-02,3.76,1.35
2010-01-03,3.98,5.85
2010-01-04,3.86,-3.02
2010-01-05,3.61,-6.48
2010-01-06,4.2,16.34
2010-01-07,4.7,11.9
2010-01-08,5.0,6.38
2010-01-09,5.72,14.39
2010-01-10,5.0,-12.58
2010-01-11,4.92,-1.52
2010-01-12,4.39,-10.77
2011-01-01,4.43,0.86
2011-01-02,4.7,5.98
2011-01-03,4.77,1.61
2011-01-04,4.77,0.0
2011-01-05,4.59,-3.81
2011-01-06,4.49,-2.18
2011-01-07,5.5,22.47
2011-01-08,5.5,0.0
2011-01-09,4.95,-9.92
2011-01-10,4.13,-16.7
2011-01-11,4.4,6.61
2011-01-12,4.51,2.48
2012-01-01,4.77,5.85
2012-01-02,5.18,8.57
2012-01-03,5.55,7.02
2012-01-04,6.23,12.3
2012-01-05,6.27,0.73
2012-01-06,6.59,5.07
2012-01-07,6.73,2.07
2012-01-08,7.32,8.78
2012-01-09,8.23,12.42
2012-01-10,7.91,-3.87
2012-01-11,8.05,1.72
2012-01-12,7.73,-3.95
2013-01-01,8.59,11.18
2013-01-02,9.36,8.99
2013-01-03,8.41,-10.19
2013-01-04,8.55,1.62
2013-01-05,6.95,-18.62
2013-01-06,5.91,-15.03
2013-01-07,5.32,-10.0
2013-01-08,4.38,-17.61
2013-01-09,5.36,22.41
2013-01-10,4.95,-7.63
2013-01-11,4.51,-8.99
2013-01-12,4.0,-11.29
2014-01-01,3.95,-1.36
2014-01-02,4.55,15.21
2014-01-03,4.73,4.0
2014-01-04,5.18,9.62
2014-01-05,4.95,-4.39
2014-01-06,5.68,14.68
2014-01-07,6.18,8.8
2014-01-08,7.27,17.65
2014-01-09,6.55,-10.0
2014-01-10,6.65,1.6
2014-01-11,6.6,-0.75
2014-01-12,5.95,-9.85
2015-01-01,6.4,7.56
2015-01-02,6.95,8.59
2015-01-03,7.2,3.6
2015-01-04,7.35,2.08
2015-01-05,7.0,-4.76
2015-01-06,7.2,2.86
2015-01-07,5.9,-18.06
2015-01-08,5.5,-6.78
2015-01-09,5.4,-1.82
2015-01-10,6.0,11.11
2015-01-11,5.55,-7.5
2015-01-12,5.35,-3.6
2016-01-01,5.55,3.74
2016-01-02,5.8,4.5
2016-01-03,6.1,5.17
2016-01-04,6.0,-1.64
2016-01-05,5.95,-0.83
2016-01-06,7.35,23.53
2016-01-07,7.4,0.68
2016-01-08,7.45,0.68
2016-01-09,7.25,-2.68
2016-01-10,7.1,-2.07
2016-01-11,7.0,-1.41
2016-01-12,7.5,7.14
2017-01-01,7.4,-1.33
2017-01-02,7.15,-3.38
2017-01-03,7.2,0.7
2017-01-04,7.95,10.42
2017-01-05,7.65,-3.77
2017-01-06,8.1,5.88
2017-01-07,7.7,-4.94
2017-01-08,7.85,1.95
2017-01-09,7.85,0.0
2017-01-10,8.9,13.38
2017-01-11,8.8,-1.12
2017-01-12,9.15,3.98
2018-01-01,8.85,-3.28
2018-01-02,8.4,-5.08
2018-01-03,7.9,-5.95
2018-01-04,8.4,6.33
2018-01-05,9.2,9.52
2018-01-06,8.15,-11.41
2018-01-07,9.2,12.88
2018-01-08,9.4,2.17
2018-01-09,9.1,-3.19
2018-01-10,8.2,-9.89
2018-01-11,6.8,-17.07
2018-01-12,6.0,-11.76
2019-01-01,7.0,16.67
2019-01-02,7.05,0.71
2019-01-03,7.05,0.0
2019-01-04,7.9,12.06
2019-01-05,7.75,-1.9
2019-01-06,7.85,1.29
2019-01-07,7.65,-2.55
2019-01-08,7.3,-4.58
2019-01-09,6.75,-7.53
2019-01-10,6.6,-2.22
2019-01-11,6.85,3.79
2019-01-12,7.45,8.76
2020-01-01,6.9,-7.38
2020-01-02,6.1,-11.59
2020-01-03,3.8,-37.7
2020-01-04,5.05,32.89
2020-01-05,5.55,9.9
2020-01-06,5.9,6.31
2020-01-07,6.15,4.24
2020-01-08,6.3,2.44
2020-01-09,5.75,-8.73
2020-01-10,6.25,8.7
2020-01-11,7.0,12.0
2020-01-12,7.25,3.57
2021-01-01,7.25,0.0
2021-01-02,7.35,1.38
2021-01-03,8.2,11.56
2021-01-04,8.6,4.88
2021-01-05,8.55,-0.58
2021-01-06,8.35,-2.34
2021-01-07,7.9,-5.39
2021-01-08,8.4,6.33
2021-01-09,8.15,-2.98
2021-01-10,8.85,8.59
2021-01-11,8.7,-1.69
2021-01-12,9.55,9.77
2022-01-01,10.2,6.81
2022-01-02,10.6,3.92
2022-01-03,11.0,3.77
2022-01-04,11.8,7.27
2022-01-05,11.2,-5.08
2022-01-06,10.0,-10.71
2022-01-07,9.75,-2.5
2022-01-08,10.0,2.56
2022-01-09,9.5,-5.0
2022-01-10,9.8,3.16
2022-01-11,10.1,3.06
2022-01-12,11.6,14.85
2023-01-01,11.9,2.59
2023-01-02,12.4,4.2
2023-01-03,12.0,-3.23
2023-01-04,12.6,5.0
2023-01-05,11.6,-7.94
2023-01-06,11.5,-0.86
2023-01-07,12.2,6.09
2023-01-08,12.7,4.1
2023-01-09,11.8,-7.09
2023-01-10,10.8,-8.47
2023-01-11,10.8,0.0
2023-01-12,11.3,4.63
2024-01-01,10.7,-5.31
2024-01-02,10.5,-1.87
2024-01-03,10.8,2.86
2024-01-04,10.8,0.0
2024-01-05,9.2,-14.81
2024-01-06,7.95,-13.59
2024-01-07,8.2,3.14
2024-01-08,8.45,3.05
2024-01-09,10.0,18.34
2024-01-10,9.55,-4.5
2024-01-11,8.65,-9.42
2024-01-12,8.1,-6.36
