month,close,change
2004-01-04,94.5,3.28
2004-01-05,92.5,-2.12
2004-01-06,94.0,1.62
2004-01-07,92.0,-2.13
2004-01-08,93.0,1.09
2004-01-09,94.5,1.61
2004-01-10,93.5,-1.06
2004-01-11,106.0,13.37
2004-01-12,104.0,-1.89
2005-01-01,107.0,2.88
2005-01-02,111.0,3.74
2005-01-03,101.0,-9.01
2005-01-04,99.0,-1.98
2005-01-05,105.0,6.06
2005-01-06,101.0,-3.81
2005-01-07,99.5,-1.49
2005-01-08,103.0,3.52
2005-01-09,105.0,1.94
2005-01-10,98.0,-6.67
2005-01-11,99.5,1.53
2005-01-12,105.0,5.53
2006-01-01,114.0,8.57
2006-01-02,117.0,2.63
2006-01-03,109.0,-6.84
2006-01-04,113.0,3.67
2006-01-05,103.0,-8.85
2006-01-06,102.0,-0.97
2006-01-07,101.0,-0.98
2006-01-08,105.0,3.96
2006-01-09,107.0,1.9
2006-01-10,115.0,7.48
2006-01-11,123.0,6.96
2006-01-12,110.0,-10.57
2007-01-01,106.0,-3.64
2007-01-02,109.0,2.83
2007-01-03,108.0,-0.92
2007-01-04,110.0,1.85
2007-01-05,114.0,3.64
2007-01-06,117.0,2.63
2007-01-07,128.0,9.4
2007-01-08,119.0,-7.03
2007-01-09,116.0,-2.52
2007-01-10,125.0,7.76
2007-01-11,115.0,-8.0
2007-01-12,118.0,2.61
2008-01-01,118.0,0.0
2008-01-02,130.0,10.17
2008-01-03,135.0,3.85
2008-01-04,138.0,2.22
2008-01-05,133.0,-3.62
2008-01-06,119.0,-10.53
2008-01-07,109.0,-8.4
2008-01-08,117.0,7.34
2008-01-09,102.0,-12.82
2008-01-10,69.5,-31.86
2008-01-11,65.5,-5.76
2008-01-12,69.0,5.34
2009-01-01,72.5,5.07
2009-01-02,74.5,2.76
2009-01-03,74.5,0.0
2009-01-04,85.0,14.09
2009-01-05,88.0,3.53
2009-01-06,108.0,22.73
2009-01-07,111.0,2.78
2009-01-08,110.0,-0.9
2009-01-09,121.0,10.0
2009-01-10,112.0,-7.44
2009-01-11,113.0,0.89
2009-01-12,116.0,2.65
2010-01-01,113.0,-2.59
2010-01-02,116.5,3.1
2010-01-03,131.5,12.88
2010-01-04,116.5,-11.41
2010-01-05,117.0,0.43
2010-01-06,125.0,6.84
2010-01-07,136.5,9.2
2010-01-08,147.5,8.06
2010-01-09,156.0,5.76
2010-01-10,149.0,-4.49
2010-01-11,144.0,-3.36
2010-01-12,147.0,2.08
2011-01-01,149.0,1.36
2011-01-02,160.0,7.38
2011-01-03,172.0,7.5
2011-01-04,170.0,-1.16
2011-01-05,162.0,-4.71
2011-01-06,158.0,-2.47
2011-01-07,174.0,10.13
2011-01-08,160.0,-8.05
2011-01-09,141.0,-11.88
2011-01-10,149.5,6.03
2011-01-11,145.0,-3.01
2011-01-12,153.5,5.86
2012-01-01,153.5,0.0
2012-01-02,181.0,17.92
2012-01-03,185.0,2.21
2012-01-04,191.0,3.24
2012-01-05,180.0,-5.76
2012-01-06,191.5,6.39
2012-01-07,196.0,2.35
2012-01-08,188.0,-4.08
2012-01-09,194.0,3.19
2012-01-10,177.0,-8.76
2012-01-11,183.0,3.39
2012-01-12,195.5,6.83
2013-01-01,209.0,6.91
2013-01-02,219.0,4.78
2013-01-03,227.0,3.65
2013-01-04,226.0,-0.44
2013-01-05,205.0,-9.29
2013-01-06,204.0,-0.49
2013-01-07,205.0,0.49
2013-01-08,179.0,-12.68
2013-01-09,196.0,9.5
2013-01-10,206.0,5.1
2013-01-11,188.0,-8.74
2013-01-12,178.0,-5.32
2014-01-01,171.5,-3.65
2014-01-02,172.0,0.29
2014-01-03,178.5,3.78
2014-01-04,188.5,5.6
2014-01-05,185.0,-1.86
2014-01-06,193.0,4.32
2014-01-07,195.0,1.04
2014-01-08,205.0,5.13
2014-01-09,204.0,-0.49
2014-01-10,198.0,-2.94
2014-01-11,202.0,2.02
2014-01-12,194.0,-3.96
2015-01-01,190.5,-1.8
2015-01-02,183.0,-3.94
2015-01-03,184.5,0.82
2015-01-04,185.0,0.27
2015-01-05,182.0,-1.62
2015-01-06,178.0,-2.2
2015-01-07,166.0,-6.74
2015-01-08,164.5,-0.9
2015-01-09,160.0,-2.74
2015-01-10,167.5,4.69
2015-01-11,167.5,0.0
2015-01-12,152.5,-8.96
2016-01-01,152.5,0.0
2016-01-02,161.5,5.9
2016-01-03,180.0,11.46
2016-01-04,164.0,-8.89
2016-01-05,163.5,-0.3
2016-01-06,158.5,-3.06
2016-01-07,170.5,7.57
2016-01-08,169.5,-0.59
2016-01-09,162.5,-4.13
2016-01-10,159.5,-1.85
2016-01-11,156.0,-2.19
2016-01-12,159.5,2.24
2017-01-01,174.5,9.4
2017-01-02,177.5,1.72
2017-01-03,181.5,2.25
2017-01-04,179.5,-1.1
2017-01-05,180.0,0.28
2017-01-06,185.0,2.78
2017-01-07,179.5,-2.97
2017-01-08,184.5,2.79
2017-01-09,186.5,1.08
2017-01-10,193.0,3.49
2017-01-11,199.5,3.37
2017-01-12,202.0,1.25
2018-01-01,207.0,2.48
2018-01-02,211.0,1.93
2018-01-03,197.0,-6.64
2018-01-04,193.0,-2.03
2018-01-05,189.0,-2.07
2018-01-06,195.5,3.44
2018-01-07,206.0,5.37
2018-01-08,205.0,-0.49
2018-01-09,210.0,2.44
2018-01-10,207.0,-1.43
2018-01-11,208.0,0.48
2018-01-12,203.0,-2.4
2019-01-01,215.0,5.91
2019-01-02,209.0,-2.79
2019-01-03,207.0,-0.96
2019-01-04,203.0,-1.93
2019-01-05,196.5,-3.2
2019-01-06,197.0,0.25
2019-01-07,181.5,-7.87
2019-01-08,171.0,-5.79
2019-01-09,173.5,1.46
2019-01-10,174.0,0.29
2019-01-11,176.5,1.44
2019-01-12,160.0,-9.35
2020-01-01,144.0,-10.0
2020-01-02,131.5,-8.68
2020-01-03,100.5,-23.57
2020-01-04,104.0,3.48
2020-01-05,109.0,4.81
2020-01-06,107.0,-1.83
2020-01-07,99.5,-7.01
2020-01-08,106.5,7.04
2020-01-09,96.0,-9.86
2020-01-10,96.75,0.78
2020-01-11,118.0,21.96
2020-01-12,118.5,0.42
2021-01-01,113.5,-4.22
2021-01-02,122.0,7.49
2021-01-03,126.0,3.28
2021-01-04,121.5,-3.57
2021-01-05,115.0,-5.35
2021-01-06,113.0,-1.74
2021-01-07,102.5,-9.29
2021-01-08,114.0,11.22
2021-01-09,116.5,2.19
2021-01-10,122.5,5.15
2021-01-11,113.0,-7.76
2021-01-12,121.5,7.52
2022-01-01,135.0,11.11
2022-01-02,140.0,3.7
2022-01-03,137.0,-2.14
2022-01-04,130.5,-4.74
2022-01-05,131.0,0.38
2022-01-06,133.0,1.53
2022-01-07,132.5,-0.38
2022-01-08,137.0,3.4
2022-01-09,136.5,-0.36
2022-01-10,145.5,6.59
2022-01-11,144.0,-1.03
