month,close,change
2004-01-01,2.56,-7.25
2004-01-02,2.44,-4.69
2004-01-03,2.35,-3.69
2004-01-04,3.39,44.26
2004-01-05,3.59,5.9
2004-01-06,3.54,-1.39
2004-01-07,3.71,4.8
2004-01-08,3.6,-2.96
2004-01-09,3.59,-0.28
2004-01-10,3.685,2.65
2004-01-11,3.9,5.83
2004-01-12,3.99,2.31
2005-01-01,4.1,2.76
2005-01-02,4.05,-1.22
2005-01-03,3.78,-6.67
2005-01-04,3.5,-7.41
2005-01-05,3.64,4.0
2005-01-06,3.565,-2.06
2005-01-07,4.18,17.25
2005-01-08,4.55,8.85
2005-01-09,4.975,9.34
2005-01-10,6.065,21.91
2005-01-11,5.76,-5.03
2005-01-12,5.275,-8.42
2006-01-01,5.21,-1.23
2006-01-02,5.07,-2.69
2006-01-03,5.35,5.52
2006-01-04,5.34,-0.19
2006-01-05,5.38,0.75
2006-01-06,5.52,2.6
2006-01-07,5.39,-2.36
2006-01-08,5.24,-2.78
2006-01-09,5.08,-3.05
2006-01-10,5.03,-0.98
2006-01-11,4.62,-8.15
2006-01-12,5.1,10.39
2007-01-01,4.58,-10.2
2007-01-02,4.38,-4.37
2007-01-03,4.06,-7.31
2007-01-04,3.63,-10.59
2007-01-05,3.45,-4.96
2007-01-06,4.0,15.94
2007-01-07,4.1,2.5
2007-01-08,4.13,0.73
2007-01-09,4.08,-1.21
2007-01-10,4.31,5.64
2007-01-11,4.45,3.25
2007-01-12,4.46,0.22
2008-01-01,3.55,-20.4
2008-01-02,3.7,4.23
2008-01-03,3.79,2.43
2008-01-04,4.15,9.5
2008-01-05,4.64,11.81
2008-01-06,5.68,22.41
2008-01-07,4.75,-16.37
2008-01-08,4.36,-8.21
2008-01-09,4.25,-2.52
2008-01-10,3.55,-16.47
2008-01-11,3.32,-6.48
2008-01-12,2.2,-33.73
2009-01-01,2.5,13.64
2009-01-02,2.76,10.4
2009-01-03,2.4,-13.04
2009-01-04,2.22,-7.5
2009-01-05,2.86,28.83
2009-01-06,2.99,4.55
2009-01-07,2.9,-3.01
2009-01-08,3.17,9.31
2009-01-09,3.45,8.83
2009-01-10,3.9,13.04
2009-01-11,3.675,-5.77
2009-01-12,3.58,-2.59
2010-01-01,3.3,-7.82
2010-01-02,3.31,0.3
2010-01-03,3.54,6.95
2010-01-04,3.13,-11.58
2010-01-05,3.02,-3.51
2010-01-06,2.95,-2.32
2010-01-07,3.07,4.07
2010-01-08,2.71,-11.73
2010-01-09,2.64,-2.58
2010-01-10,2.89,9.47
2010-01-11,3.01,4.15
2010-01-12,3.23,7.31
2011-01-01,3.37,4.33
2011-01-02,3.41,1.19
2011-01-03,3.37,-1.17
2011-01-04,3.45,2.37
2011-01-05,3.53,2.32
2011-01-06,3.79,7.37
2011-01-07,3.87,2.11
2011-01-08,3.475,-10.21
2011-01-09,3.65,5.04
2011-01-10,3.22,-11.78
2011-01-11,3.29,2.17
2011-01-12,3.2,-2.74
2012-01-01,3.132,-2.13
2012-01-02,3.45,10.15
2012-01-03,3.67,6.38
2012-01-04,3.75,2.18
2012-01-05,3.54,-5.6
2012-01-06,3.36,-5.08
2012-01-07,3.19,-5.06
2012-01-08,3.2,0.31
2012-01-09,3.36,5.0
2012-01-10,3.16,-5.95
2012-01-11,3.2,1.27
2012-01-12,3.09,-3.44
2013-01-01,3.21,3.88
2013-01-02,3.14,-2.18
2013-01-03,3.11,-0.96
2013-01-04,2.98,-4.18
2013-01-05,2.97,-0.34
2013-01-06,3.32,11.78
2013-01-07,3.71,11.75
2013-01-08,3.87,4.31
2013-01-09,3.63,-6.2
2013-01-10,3.52,-3.03
2013-01-11,3.55,0.85
2013-01-12,3.44,-3.1
2014-01-01,3.36,-2.33
2014-01-02,3.18,-5.36
2014-01-03,3.17,-0.31
2014-01-04,3.06,-3.47
2014-01-05,3.13,2.29
2014-01-06,3.16,0.96
2014-01-07,3.09,-2.22
2014-01-08,3.005,-2.75
2014-01-09,2.91,-3.16
2014-01-10,2.69,-7.56
2014-01-11,2.36,-12.27
2014-01-12,2.3,-2.54
2015-01-01,2.22,-3.48
2015-01-02,2.32,4.5
2015-01-03,2.19,-5.6
2015-01-04,1.95,-10.96
2015-01-05,2.03,4.1
2015-01-06,2.14,5.42
2015-01-07,2.19,2.34
2015-01-08,2.15,-1.83
2015-01-09,2.16,0.47
2015-01-10,2.145,-0.69
2015-01-11,2.12,-1.17
2015-01-12,1.965,-7.31
2016-01-01,1.725,-12.21
2016-01-02,1.61,-6.67
2016-01-03,1.46,-9.32
2016-01-04,1.535,5.14
2016-01-05,1.94,26.38
2016-01-06,1.65,-14.95
2016-01-07,1.66,0.61
2016-01-08,1.77,6.63
2016-01-09,1.88,6.21
2016-01-10,1.95,3.72
2016-01-11,2.14,9.74
2016-01-12,2.28,6.54
2017-01-01,2.265,-0.66
2017-01-02,2.2,-2.87
2017-01-03,2.22,0.91
2017-01-04,2.19,-1.35
2017-01-05,2.14,-2.28
2017-01-06,1.97,-7.94
2017-01-07,1.89,-4.06
2017-01-08,1.81,-4.23
2017-01-09,1.76,-2.76
2017-01-10,1.86,5.68
2017-01-11,1.84,-1.08
2017-01-12,1.88,2.17
2018-01-01,1.82,-3.19
2018-01-02,1.865,2.47
2018-01-03,1.825,-2.14
2018-01-04,1.91,4.66
2018-01-05,2.1,9.95
2018-01-06,2.085,-0.71
2018-01-07,2.145,2.88
2018-01-08,2.25,4.9
2018-01-09,2.28,1.33
2018-01-10,2.37,3.95
2018-01-11,2.21,-6.75
2018-01-12,2.11,-4.52
2019-01-01,2.12,0.47
2019-01-02,2.2,3.77
2019-01-03,2.115,-3.86
2019-01-04,2.11,-0.24
2019-01-05,2.045,-3.08
2019-01-06,1.865,-8.8
2019-01-07,1.735,-6.97
2019-01-08,1.38,-20.46
2019-01-09,1.415,2.54
2019-01-10,1.445,2.12
2019-01-11,1.42,-1.73
2019-01-12,1.27,-10.56
2020-01-01,1.155,-9.06
2020-01-02,0.87,-24.68
2020-01-03,1.08,24.14
2020-01-04,0.89,-17.59
2020-01-05,0.77,-13.48
