month,close,change
2004-01-01,2.15,-4.87
2004-01-02,2.12,-1.4
2004-01-03,1.97,-7.08
2004-01-04,1.99,1.02
2004-01-05,2.15,8.04
2004-01-06,2.16,0.47
2004-01-07,2.23,3.24
2004-01-08,2.23,0.0
2004-01-09,2.35,5.38
2004-01-10,2.31,-1.7
2004-01-11,2.7,16.88
2004-01-12,2.76,2.22
2005-01-01,2.83,2.54
2005-01-02,3.08,8.83
2005-01-03,2.99,-2.92
2005-01-04,2.77,-7.36
2005-01-05,3.36,21.3
2005-01-06,3.69,9.82
2005-01-07,3.76,1.9
2005-01-08,3.98,5.85
2005-01-09,3.98,0.0
2005-01-10,3.98,0.0
2005-01-11,4.42,11.06
2005-01-12,4.31,-2.49
2006-01-01,5.04,16.94
2006-01-02,5.11,1.39
2006-01-03,5.18,1.37
2006-01-04,6.13,18.34
2006-01-05,5.7,-7.01
2006-01-06,6.13,7.54
2006-01-07,6.25,1.96
2006-01-08,6.4,2.4
2006-01-09,6.15,-3.91
2006-01-10,7.15,16.26
2006-01-11,6.95,-2.8
2006-01-12,6.65,-4.32
2007-01-01,6.0,-9.77
2007-01-02,6.15,2.5
2007-01-03,5.5,-10.57
2007-01-04,5.1,-7.27
2007-01-05,5.5,7.84
2007-01-06,5.85,6.36
2007-01-07,6.05,3.42
2007-01-08,5.45,-9.92
2007-01-09,5.7,4.59
2007-01-10,6.1,7.02
2007-01-11,5.5,-9.84
2007-01-12,5.6,1.82
2008-01-01,5.55,-0.89
2008-01-02,5.8,4.5
2008-01-03,5.75,-0.86
2008-01-04,5.6,-2.61
2008-01-05,5.7,1.79
2008-01-06,6.0,5.26
2008-01-07,5.25,-12.5
2008-01-08,4.82,-8.19
2008-01-09,4.96,2.9
2008-01-10,3.8,-23.39
2008-01-11,3.2,-15.79
2008-01-12,3.06,-4.38
2009-01-01,3.1,1.31
2009-01-02,3.1,0.0
2009-01-03,3.08,-0.65
2009-01-04,3.04,-1.3
2009-01-05,2.9,-4.61
2009-01-06,3.08,6.21
2009-01-07,3.1,0.65
2009-01-08,3.76,21.29
2009-01-09,4.44,18.09
2009-01-10,4.2,-5.41
2009-01-11,4.18,-0.48
2009-01-12,4.22,0.96
2010-01-01,3.9,-7.58
2010-01-02,4.0,2.56
2010-01-03,4.12,3.0
2010-01-04,3.84,-6.8
2010-01-05,3.82,-0.52
2010-01-06,3.96,3.66
2010-01-07,5.2,31.31
2010-01-08,5.7,9.62
2010-01-09,5.5,-3.51
