month,close,change
2009-05-31,4.14,1.97
2009-06-07,4.04,-2.42
2009-06-14,3.8,-5.94
2009-06-21,3.75,-1.32
2009-06-28,3.51,-6.4
2009-07-05,3.43,-2.28
2009-07-12,3.63,5.83
2009-07-19,3.71,2.2
2009-07-26,3.69,-0.54
2009-08-02,3.84,4.07
2009-08-09,4.02,4.69
2009-08-16,3.84,-4.48
2009-08-23,4.02,4.69
2009-08-30,4.16,3.48
2009-09-06,4.33,4.09
2009-09-13,4.84,11.78
2009-09-20,5.95,22.93
2009-09-27,6.93,16.47
2009-10-04,6.63,-4.33
2009-10-11,6.15,-7.24
2009-10-18,6.05,-1.63
2009-10-25,5.85,-3.31
2009-11-01,6.15,5.13
2009-11-08,6.1,-0.81
2009-11-15,5.8,-4.92
2009-11-22,5.56,-4.14
2009-11-29,5.56,0.0
2009-12-06,5.56,0.0
2009-12-13,5.66,1.8
2009-12-20,6.05,6.89
2009-12-27,5.9,-2.48
2010-01-03,6.05,2.54
2010-01-10,5.76,-4.79
2010-01-17,5.56,-3.47
2010-01-24,5.12,-7.91
2010-01-31,5.02,-1.95
2010-02-07,5.17,2.99
2010-02-14,5.17,0.0
2010-02-21,5.22,0.97
2010-02-28,5.02,-3.83
2010-03-07,4.98,-0.8
2010-03-14,5.66,13.65
2010-03-21,5.95,5.12
2010-03-28,5.76,-3.19
2010-04-04,5.46,-5.21
2010-04-11,4.88,-10.62
2010-04-18,5.07,3.89
2010-04-25,5.17,1.97
2010-05-02,5.41,4.64
2010-05-09,5.37,-0.74
2010-05-16,5.32,-0.93
2010-05-23,5.12,-3.76
2010-05-30,5.71,11.52
2010-06-06,5.76,0.88
2010-06-13,6.34,10.07
2010-06-20,6.63,4.57
2010-06-27,6.63,0.0
2010-07-04,6.49,-2.11
2010-07-11,6.39,-1.54
2010-07-18,6.59,3.13
2010-07-25,6.39,-3.03
2010-08-01,6.63,3.76
2010-08-08,6.44,-2.87
2010-08-15,7.27,12.89
2010-08-22,7.66,5.36
2010-08-29,8.88,15.93
2010-09-05,7.85,-11.6
2010-09-12,8.98,14.39
2010-09-19,9.07,1.0
2010-09-26,10.63,17.2
2010-10-03,9.56,-10.07
2010-10-10,10.44,9.21
2010-10-17,9.37,-10.25
2010-10-24,9.85,5.12
2010-10-31,9.61,-2.44
2010-11-07,8.68,-9.68
2010-11-14,8.88,2.3
2010-11-21,8.59,-3.27
2010-11-28,9.46,10.13
2010-12-05,9.27,-2.01
2010-12-12,9.32,0.54
2010-12-19,9.07,-2.68
2010-12-26,9.27,2.21
2011-01-02,9.27,0.0
2011-01-09,9.27,0.0
2011-01-16,8.83,-4.75
2011-01-23,8.15,-7.7
2011-01-30,7.95,-2.45
2011-02-06,8.15,2.52
2011-02-13,8.34,2.33
2011-02-20,8.1,-2.88
2011-02-27,8.1,0.0
2011-03-06,8.0,-1.23
2011-03-13,7.8,-2.5
2011-03-20,8.39,7.56
2011-03-27,8.73,4.05
2011-04-03,8.63,-1.15
2011-04-10,8.73,1.16
2011-04-17,8.39,-3.89
2011-04-24,8.39,0.0
2011-05-01,7.95,-5.24
2011-05-08,7.66,-3.65
2011-05-15,7.17,-6.4
2011-05-22,7.22,0.7
2011-05-29,7.12,-1.39
2011-06-05,6.88,-3.37
2011-06-12,7.17,4.22
2011-06-19,7.51,4.74
2011-06-26,7.51,0.0
2011-07-03,7.71,2.66
2011-07-10,7.32,-5.06
2011-07-17,7.71,5.33
2011-07-24,7.71,0.0
2011-07-31,7.22,-6.36
2011-08-07,7.22,0.0
2011-08-14,7.27,0.69
2011-08-21,6.88,-5.36
2011-08-28,6.93,0.73
2011-09-04,6.88,-0.72
2011-09-11,6.78,-1.45
2011-09-18,6.1,-10.03
2011-09-25,5.8,-4.92
2011-10-02,5.8,0.0
2011-10-09,6.15,6.03
2011-10-16,5.85,-4.88
2011-10-23,6.05,3.42
2011-10-30,6.78,12.07
2011-11-06,7.27,7.23
2011-11-13,7.46,2.61
2011-11-20,7.32,-1.88
2011-11-27,7.71,5.33
2011-12-04,7.46,-3.24
2011-12-11,7.37,-1.21
2011-12-18,7.51,1.9
2011-12-25,7.37,-1.86
2012-01-01,7.41,0.54
2012-01-08,7.66,3.37
2012-01-15,7.46,-2.61
