month,close,change
2004-01-01,3.02,7.86
2004-01-02,3.38,11.92
2004-01-03,3.3,-2.37
2004-01-04,2.83,-14.24
2004-01-05,3.0,6.01
2004-01-06,3.08,2.67
2004-01-07,3.15,2.27
2004-01-08,2.7,-14.29
2004-01-09,2.9,7.41
2004-01-10,2.7,-6.9
2004-01-11,2.49,-7.78
2004-01-12,2.85,14.46
2005-01-01,2.85,0.0
2005-01-02,3.2,12.28
2005-01-03,2.85,-10.94
2005-01-04,2.98,4.56
2005-01-05,2.8,-6.04
2005-01-06,2.83,1.07
2005-01-07,2.83,0.0
2005-01-08,2.98,5.3
2005-01-09,3.1,4.03
2005-01-10,3.0,-3.23
2005-01-11,2.88,-4.0
2005-01-12,2.95,2.43
2006-01-01,3.4,15.25
2006-01-02,3.2,-5.88
2006-01-03,3.35,4.69
2006-01-04,3.8,13.43
2006-01-05,3.5,-7.89
2006-01-06,3.6,2.86
2006-01-07,3.4,-5.56
2006-01-08,3.15,-7.35
2006-01-09,3.0,-4.76
2006-01-10,3.23,7.67
2006-01-11,3.33,3.1
2006-01-12,3.12,-6.31
2007-01-01,2.88,-7.69
2007-01-02,2.85,-1.04
2007-01-03,3.0,5.26
2007-01-04,3.7,23.33
2007-01-05,5.0,35.14
2007-01-06,4.92,-1.6
2007-01-07,6.0,21.95
2007-01-08,5.45,-9.17
2007-01-09,5.65,3.67
2007-01-10,5.05,-10.62
2007-01-11,4.78,-5.35
2007-01-12,5.45,14.02
2008-01-01,5.4,-0.92
2008-01-02,5.5,1.85
2008-01-03,5.2,-5.45
2008-01-04,5.1,-1.92
2008-01-05,5.5,7.84
2008-01-06,5.35,-2.73
2008-01-07,4.9,-8.41
2008-01-08,5.4,10.2
2008-01-09,5.4,0.0
2008-01-10,3.85,-28.7
2008-01-11,5.3,37.66
2008-01-12,6.15,16.04
2009-01-01,5.6,-8.94
2009-01-02,6.05,8.04
2009-01-03,6.3,4.13
2009-01-04,6.25,-0.79
2009-01-05,7.25,16.0
2009-01-06,8.55,17.93
2009-01-07,8.35,-2.34
2009-01-08,8.45,1.2
2009-01-09,10.05,18.93
2009-01-10,9.5,-5.47
2009-01-11,10.4,9.47
2009-01-12,12.4,19.23
2010-01-01,11.5,-7.26
2010-01-02,11.8,2.61
2010-01-03,13.75,16.53
2010-01-04,13.88,0.95
2010-01-05,13.88,0.0
2010-01-06,14.38,3.6
2010-01-07,16.12,12.1
2010-01-08,19.88,23.33
2010-01-09,21.13,6.26
2010-01-10,22.25,5.33
2010-01-11,20.5,-7.87
2010-01-12,19.63,-4.27
2011-01-01,19.25,-1.91
2011-01-02,19.5,1.3
2011-01-03,20.0,2.56
2011-01-04,21.63,8.13
2011-01-05,22.25,2.89
2011-01-06,22.13,-0.56
2011-01-07,24.75,11.86
2011-01-08,25.63,3.54
2011-01-09,24.0,-6.34
2011-01-10,23.5,-2.08
2011-01-11,25.0,6.38
2011-01-12,25.88,3.5
2012-01-01,29.25,13.04
2012-01-02,33.13,13.25
2012-01-03,32.75,-1.13
2012-01-04,38.25,16.79
2012-01-05,34.25,-10.46
2012-01-06,35.5,3.65
2012-01-07,34.0,-4.23
2012-01-08,34.5,1.47
2012-01-09,35.5,2.9
2012-01-10,39.75,11.97
2012-01-11,39.5,-0.63
2012-01-12,46.0,16.46
2013-01-01,46.75,1.63
2013-01-02,47.25,1.07
2013-01-03,46.25,-2.12
2013-01-04,44.0,-4.86
2013-01-05,43.0,-2.27
2013-01-06,39.0,-9.3
2013-01-07,35.0,-10.26
2013-01-08,32.75,-6.43
2013-01-09,35.25,7.63
2013-01-10,39.25,11.35
2013-01-11,40.75,3.82
2013-01-12,42.0,3.07
2014-01-01,39.25,-6.55
2014-01-02,39.25,0.0
2014-01-03,43.5,10.83
2014-01-04,42.0,-3.45
2014-01-05,45.5,8.33
2014-01-06,48.0,5.49
2014-01-07,46.25,-3.65
2014-01-08,47.5,2.7
2014-01-09,44.75,-5.79
2014-01-10,45.5,1.68
2014-01-11,44.0,-3.3
2014-01-12,42.5,-3.41
2015-01-01,41.5,-2.35
2015-01-02,40.0,-3.61
2015-01-03,41.0,2.5
2015-01-04,42.0,2.44
2015-01-05,45.75,8.93
2015-01-06,46.25,1.09
2015-01-07,48.0,3.78
2015-01-08,51.0,6.25
2015-01-09,47.75,-6.37
2015-01-10,50.0,4.71
2015-01-11,47.0,-6.0
2015-01-12,39.25,-16.49
2016-01-01,40.75,3.82
2016-01-02,43.25,6.13
2016-01-03,45.75,5.78
2016-01-04,45.75,0.0
2016-01-05,49.75,8.74
2016-01-06,50.25,1.01
2016-01-07,51.75,2.99
2016-01-08,62.25,20.29
2016-01-09,61.5,-1.2
2016-01-10,60.75,-1.22
2016-01-11,60.25,-0.82
2016-01-12,62.5,3.73
2017-01-01,60.5,-3.2
2017-01-02,60.0,-0.83
2017-01-03,59.0,-1.67
2017-01-04,61.0,3.39
2017-01-05,62.5,2.46
2017-01-06,62.75,0.4
2017-01-07,60.75,-3.19
2017-01-08,62.0,2.06
2017-01-09,66.75,7.66
2017-01-10,70.0,4.87
2017-01-11,73.0,4.29
2017-01-12,77.0,5.48
2018-01-01,79.75,3.57
2018-01-02,84.0,5.33
2018-01-03,88.0,4.76
2018-01-04,87.0,-1.14
2018-01-05,80.75,-7.18
2018-01-06,73.5,-8.98
2018-01-07,75.0,2.04
2018-01-08,67.5,-10.0
2018-01-09,69.0,2.22
2018-01-10,67.25,-2.54
2018-01-11,68.25,1.49
2018-01-12,68.75,0.73
2019-01-01,77.75,13.09
2019-01-02,77.75,0.0
2019-01-03,74.75,-3.86
2019-01-04,77.5,3.68
2019-01-05,79.75,2.9
2019-01-06,86.0,7.84
2019-01-07,86.75,0.87
2019-01-08,84.0,-3.17
2019-01-09,81.25,-3.27
2019-01-10,78.0,-4.0
2019-01-11,76.0,-2.56
2019-01-12,72.25,-4.93
2020-01-01,70.75,-2.08
2020-01-02,65.75,-7.07
2020-01-03,61.0,-7.22
2020-01-04,71.0,16.39
2020-01-05,70.5,-0.7
2020-01-06,67.75,-3.9
2020-01-07,68.25,0.74
2020-01-08,63.5,-6.96
2020-01-09,60.25,-5.12
2020-01-10,53.75,-10.79
2020-01-11,60.5,12.56
2020-01-12,58.25,-3.72
2021-01-01,57.25,-1.72
2021-01-02,59.5,3.93
2021-01-03,69.25,16.39
2021-01-04,62.5,-9.75
2021-01-05,60.75,-2.8
2021-01-06,60.0,-1.23
2021-01-07,59.0,-1.67
