month,close,change
2004-01-01,24.4,-7.92
2004-01-02,28.0,14.75
2004-01-03,26.25,-6.25
2004-01-04,25.75,-1.9
2004-01-05,24.1,-6.41
2004-01-06,23.2,-3.73
2004-01-07,19.8,-14.66
2004-01-08,17.0,-14.14
2004-01-09,18.8,10.59
2004-01-10,16.8,-10.64
2004-01-11,16.7,-0.6
2004-01-12,16.5,-1.2
2005-01-01,19.4,17.58
2005-01-02,20.6,6.19
2005-01-03,20.0,-2.91
2005-01-04,17.7,-11.5
2005-01-05,15.3,-13.56
2005-01-06,16.9,10.46
2005-01-07,15.2,-10.06
2005-01-08,15.5,1.97
2005-01-09,15.3,-1.29
2005-01-10,13.7,-10.46
2005-01-11,14.6,6.57
2005-01-12,17.8,21.92
2006-01-01,18.1,1.69
2006-01-02,20.5,13.26
2006-01-03,19.7,-3.9
2006-01-04,20.1,2.03
2006-01-05,18.0,-10.45
2006-01-06,16.5,-8.33
2006-01-07,16.8,1.82
2006-01-08,16.5,-1.79
2006-01-09,17.9,8.48
2006-01-10,18.1,1.12
2006-01-11,17.6,-2.76
2006-01-12,17.3,-1.7
2007-01-01,17.5,1.16
2007-01-02,17.5,0.0
2007-01-03,15.3,-12.57
2007-01-04,15.5,1.31
2007-01-05,18.7,20.65
2007-01-06,22.9,22.46
2007-01-07,24.9,8.73
2007-01-08,21.3,-14.46
2007-01-09,21.0,-1.41
2007-01-10,21.6,2.86
2007-01-11,21.8,0.93
2007-01-12,21.8,0.0
2008-01-01,21.6,-0.92
2008-01-02,23.2,7.41
2008-01-03,21.1,-9.05
2008-01-04,21.2,0.47
2008-01-05,21.0,-0.94
2008-01-06,20.5,-2.38
2008-01-07,18.6,-9.27
2008-01-08,17.5,-5.91
2008-01-09,15.9,-9.14
2008-01-10,10.4,-34.59
2008-01-11,10.4,0.0
2008-01-12,12.2,17.31
2009-01-01,9.55,-21.72
2009-01-02,10.6,10.99
2009-01-03,9.2,-13.21
2009-01-04,11.9,29.35
2009-01-05,14.6,22.69
2009-01-06,12.8,-12.33
2009-01-07,15.6,21.88
2009-01-08,17.5,12.18
2009-01-09,17.7,1.14
2009-01-10,17.3,-2.26
2009-01-11,17.7,2.31
2009-01-12,18.6,5.08
2010-01-01,17.5,-5.91
2010-01-02,18.7,6.86
2010-01-03,18.8,0.53
2010-01-04,21.6,14.89
2010-01-05,20.4,-5.56
2010-01-06,23.1,13.24
2010-01-07,26.25,13.64
2010-01-08,28.75,9.52
2010-01-09,27.25,-5.22
2010-01-10,31.75,16.51
2010-01-11,32.75,3.15
2010-01-12,35.0,6.87
2011-01-01,28.5,-18.57
2011-01-02,27.5,-3.51
2011-01-03,26.75,-2.73
2011-01-04,26.25,-1.87
2011-01-05,24.7,-5.9
2011-01-06,24.8,0.4
2011-01-07,27.25,9.88
2011-01-08,21.9,-19.63
2011-01-09,19.5,-10.96
2011-01-10,18.6,-4.62
2011-01-11,19.8,6.45
2011-01-12,21.7,9.6
2012-01-01,21.4,-1.38
2012-01-02,23.0,7.48
2012-01-03,26.0,13.04
2012-01-04,24.7,-5.0
2012-01-05,21.6,-12.55
2012-01-06,21.4,-0.93
2012-01-07,23.8,11.21
2012-01-08,24.7,3.78
2012-01-09,25.75,4.25
2012-01-10,29.25,13.59
2012-01-11,30.5,4.27
2012-01-12,32.0,4.92
2013-01-01,35.5,10.94
2013-01-02,38.0,7.04
2013-01-03,37.75,-0.66
2013-01-04,3.8,-89.93
2013-01-05,3.65,-3.95
2013-01-06,4.0,9.59
2013-01-07,4.47,11.87
2013-01-08,4.38,-2.23
2013-01-09,4.93,12.57
2013-01-10,4.78,-3.05
2013-01-11,4.7,-1.57
2013-01-12,5.35,13.83
2014-01-01,5.3,-0.93
2014-01-02,5.43,2.36
2014-01-03,5.9,8.76
2014-01-04,5.7,-3.39
2014-01-05,5.7,0.0
2014-01-06,6.25,9.65
2014-01-07,6.2,-0.8
2014-01-08,6.5,4.84
2014-01-09,6.2,-4.62
2014-01-10,6.45,4.03
2014-01-11,7.47,15.89
2014-01-12,7.05,-5.69
2015-01-01,7.43,5.32
2015-01-02,6.97,-6.06
2015-01-03,7.53,7.89
2015-01-04,8.35,10.96
2015-01-05,8.55,2.4
2015-01-06,9.05,5.85
2015-01-07,8.05,-11.05
2015-01-08,8.7,8.07
2015-01-09,8.8,1.15
2015-01-10,8.45,-3.98
2015-01-11,8.5,0.59
2015-01-12,7.65,-10.0
2016-01-01,7.93,3.59
2016-01-02,8.13,2.52
2016-01-03,8.7,7.08
2016-01-04,7.2,-17.24
2016-01-05,7.18,-0.35
2016-01-06,6.82,-4.88
2016-01-07,7.13,4.4
2016-01-08,7.4,3.86
2016-01-09,7.93,7.09
2016-01-10,7.85,-0.95
2016-01-11,7.57,-3.5
2016-01-12,8.15,7.59
2017-01-01,8.57,5.21
2017-01-02,9.25,7.87
2017-01-03,8.75,-5.41
2017-01-04,9.2,5.14
2017-01-05,9.0,-2.17
2017-01-06,8.68,-3.61
2017-01-07,8.88,2.31
2017-01-08,8.9,0.28
2017-01-09,8.73,-1.97
2017-01-10,8.6,-1.43
2017-01-11,8.43,-2.03
2017-01-12,7.32,-13.06
2018-01-01,7.7,5.12
2018-01-02,6.8,-11.69
2018-01-03,6.8,0.0
2018-01-04,6.72,-1.1
2018-01-05,6.45,-4.09
2018-01-06,5.85,-9.3
2018-01-07,6.97,19.23
2018-01-08,6.97,0.0
2018-01-09,6.97,0.0
2018-01-10,6.9,-1.08
2018-01-11,6.97,1.09
2018-01-12,6.95,-0.36
2019-01-01,6.95,0.0
2019-01-02,7.25,4.32
2019-01-03,7.1,-2.07
2019-01-04,7.47,5.28
2019-01-05,6.35,-15.05
2019-01-06,6.8,7.09
2019-01-07,5.3,-22.06
2019-01-08,4.88,-8.02
2019-01-09,4.95,1.54
2019-01-10,4.4,-11.11
2019-01-11,4.65,5.68
2019-01-12,5.35,15.05
2020-01-01,5.53,3.27
2020-01-02,5.0,-9.5
2020-01-03,3.4,-32.0
2020-01-04,4.47,31.62
2020-01-05,5.5,22.91
2020-01-06,5.38,-2.27
2020-01-07,11.35,111.16
2020-01-08,11.55,1.76
2020-01-09,15.65,35.5
2020-01-10,17.9,14.38
2020-01-11,23.1,29.05
2020-01-12,48.6,110.39
2021-01-01,52.8,8.64
2021-01-02,40.0,-24.24
2021-01-03,29.0,-27.5
2021-01-04,35.4,22.07
2021-01-05,58.0,63.84
2021-01-06,57.8,-0.34
2021-01-07,58.4,1.04
2021-01-08,58.4,0.0
2021-01-09,47.0,-19.52
2021-01-10,41.6,-11.49
2021-01-11,44.6,7.21
2021-01-12,41.2,-7.62
2022-01-01,34.7,-15.78
2022-01-02,40.4,16.43
2022-01-03,38.8,-3.96
2022-01-04,36.3,-6.44
2022-01-05,34.6,-4.68
2022-01-06,33.3,-3.76
2022-01-07,47.4,42.34
2022-01-08,52.4,10.55
2022-01-09,65.4,24.81
2022-01-10,58.0,-11.31
2022-01-11,67.2,15.86
2022-01-12,83.0,23.51
2023-01-01,90.0,8.43
2023-01-02,91.2,1.33
2023-01-03,114.2,25.22
2023-01-04,72.75,-36.3
2023-01-05,99.0,36.08
2023-01-06,92.0,-7.07
2023-01-07,113.0,22.83
2023-01-08,108.5,-3.98
2023-01-09,82.75,-23.73
2023-01-10,79.0,-4.53
2023-01-11,77.75,-1.58
2023-01-12,88.0,13.18
2024-01-01,78.75,-10.51
2024-01-02,71.25,-9.52
2024-01-03,74.5,4.56
2024-01-04,70.0,-6.04
2024-01-05,73.75,5.36
2024-01-06,83.25,12.88
2024-01-07,102.0,22.52
2024-01-08,106.5,4.41
2024-01-09,107.0,0.47
2024-01-10,138.0,28.97
2024-01-11,150.5,9.06
2024-01-12,152.5,1.33
