month,close,change
2013-12-29,9.48,-4.53
2014-01-05,9.48,0.0
2014-01-12,9.53,0.53
2014-01-19,9.53,0.0
2014-01-26,9.53,0.0
2014-02-02,9.58,0.52
2014-02-09,9.53,-0.52
2014-02-16,9.53,0.0
2014-02-23,9.63,1.05
2014-03-02,9.58,-0.52
2014-03-09,9.68,1.04
2014-03-16,9.68,0.0
2014-03-23,9.68,0.0
2014-03-30,9.73,0.52
2014-04-06,9.78,0.51
2014-04-13,9.83,0.51
2014-04-20,9.93,1.02
2014-04-27,9.83,-1.01
2014-05-04,9.68,-1.53
2014-05-11,9.73,0.52
2014-05-18,9.73,0.0
2014-05-25,9.65,-0.82
2014-06-01,9.65,0.0
2014-06-08,10.14,5.08
2014-06-15,10.14,0.0
2014-06-22,9.95,-1.87
2014-06-29,10.05,1.01
2014-07-06,10.24,1.89
2014-07-13,9.95,-2.83
2014-07-20,10.14,1.91
2014-07-27,10.05,-0.89
2014-08-03,10.05,0.0
2014-08-10,9.95,-1.0
2014-08-17,9.95,0.0
2014-08-24,10.05,1.01
2014-08-31,10.14,0.9
2014-09-07,10.34,1.97
2014-09-14,10.14,-1.93
2014-09-21,10.24,0.99
2014-09-28,10.14,-0.98
2014-10-05,10.14,0.0
2014-10-12,10.14,0.0
2014-10-19,10.05,-0.89
2014-10-26,11.03,9.75
2014-11-02,10.64,-3.54
2014-11-09,10.64,0.0
2014-11-16,10.64,0.0
2014-11-23,10.64,0.0
2014-11-30,10.74,0.94
2014-12-07,10.54,-1.86
2014-12-14,10.34,-1.9
2014-12-21,10.54,1.93
2014-12-28,10.54,0.0
2015-01-04,10.54,0.0
2015-01-11,11.23,6.55
2015-01-18,11.62,3.47
2015-01-25,11.43,-1.64
2015-02-01,11.43,0.0
2015-02-08,11.62,1.66
2015-02-15,11.62,0.0
2015-02-22,12.02,3.44
2015-03-01,11.82,-1.66
2015-03-08,11.62,-1.69
2015-03-15,11.43,-1.64
2015-03-22,11.52,0.79
2015-03-29,11.82,2.6
2015-04-05,12.02,1.69
2015-04-12,12.11,0.75
2015-04-19,12.02,-0.74
2015-04-26,12.41,3.24
2015-05-03,11.82,-4.75
2015-05-10,12.31,4.15
2015-05-17,12.31,0.0
2015-05-24,12.21,-0.81
2015-05-31,12.31,0.82
2015-06-07,12.11,-1.62
2015-06-14,12.11,0.0
2015-06-21,12.21,0.83
2015-06-28,12.11,-0.82
2015-07-05,12.31,1.65
2015-07-12,12.41,0.81
2015-07-19,12.41,0.0
2015-07-26,12.51,0.81
2015-08-02,12.51,0.0
2015-08-09,13.2,5.52
2015-08-16,12.9,-2.27
2015-08-23,12.41,-3.8
2015-08-30,12.51,0.81
2015-09-06,12.51,0.0
2015-09-13,12.61,0.8
2015-09-20,12.41,-1.59
2015-09-27,12.41,0.0
2015-10-04,12.51,0.81
2015-10-11,12.21,-2.4
2015-10-18,12.11,-0.82
2015-10-25,12.41,2.48
2015-11-01,12.11,-2.42
2015-11-08,12.11,0.0
2015-11-15,12.11,0.0
2015-11-22,12.31,1.65
2015-11-29,12.31,0.0
2015-12-06,12.11,-1.62
2015-12-13,12.21,0.83
2015-12-20,12.21,0.0
2015-12-27,12.21,0.0
2016-01-03,12.21,0.0
2016-01-10,12.31,0.82
2016-01-17,12.41,0.81
2016-01-24,12.51,0.81
2016-01-31,12.31,-1.6
2016-02-07,12.31,0.0
2016-02-14,12.51,1.62
2016-02-21,13.0,3.92
2016-02-28,13.3,2.31
2016-03-06,13.3,0.0
2016-03-13,13.4,0.75
2016-03-20,14.08,5.07
2016-03-27,13.99,-0.64
2016-04-03,14.48,3.5
2016-04-10,14.58,0.69
2016-04-17,14.77,1.3
2016-04-24,14.77,0.0
2016-05-01,14.48,-1.96
2016-05-08,14.48,0.0
2016-05-15,13.89,-4.07
2016-05-22,14.08,1.37
2016-05-29,14.18,0.71
2016-06-05,14.38,1.41
2016-06-12,14.08,-2.09
2016-06-19,13.89,-1.35
2016-06-26,14.28,2.81
2016-07-03,14.58,2.1
2016-07-10,14.68,0.69
2016-07-17,14.77,0.61
2016-07-24,15.07,2.03
2016-07-31,14.68,-2.59
2016-08-07,14.77,0.61
2016-08-14,14.48,-1.96
2016-08-21,14.48,0.0
2016-08-28,14.38,-0.69
2016-09-04,14.38,0.0
2016-09-11,14.68,2.09
2016-09-18,14.38,-2.04
2016-09-25,14.58,1.39
2016-10-02,14.77,1.3
2016-10-09,14.38,-2.64
2016-10-16,14.77,2.71
2016-10-23,14.77,0.0
2016-10-30,14.97,1.35
2016-11-06,14.48,-3.27
2016-11-13,14.18,-2.07
2016-11-20,14.18,0.0
2016-11-27,13.69,-3.46
2016-12-04,14.08,2.85
2016-12-11,13.89,-1.35
2016-12-18,13.79,-0.72
2016-12-25,13.79,0.0
2017-01-01,14.18,2.83
2017-01-08,14.18,0.0
2017-01-15,14.18,0.0
2017-01-22,14.38,1.41
2017-01-29,14.18,-1.39
2017-02-05,13.99,-1.34
2017-02-12,13.89,-0.71
2017-02-19,13.99,0.72
2017-02-26,13.89,-0.71
2017-03-05,13.89,0.0
2017-03-12,14.08,1.37
2017-03-19,14.08,0.0
2017-03-26,13.99,-0.64
2017-04-02,14.08,0.64
2017-04-09,14.18,0.71
2017-04-16,14.18,0.0
2017-04-23,13.99,-1.34
2017-04-30,13.79,-1.43
2017-05-07,13.99,1.45
2017-05-14,13.89,-0.71
2017-05-21,13.99,0.72
2017-05-28,13.99,0.0
2017-06-04,13.99,0.0
2017-06-11,14.08,0.64
2017-06-18,14.08,0.0
2017-06-25,14.08,0.0
2017-07-02,14.08,0.0
2017-07-09,14.18,0.71
2017-07-16,14.18,0.0
2017-07-23,14.18,0.0
2017-07-30,14.18,0.0
2017-08-06,13.99,-1.34
2017-08-13,13.99,0.0
2017-08-20,14.18,1.36
2017-08-27,14.18,0.0
2017-09-03,14.18,0.0
2017-09-10,14.18,0.0
2017-09-17,14.18,0.0
2017-09-24,14.28,0.71
2017-10-01,14.18,-0.7
2017-10-08,14.38,1.41
2017-10-15,14.28,-0.7
2017-10-22,14.28,0.0
2017-10-29,14.48,1.4
2017-11-05,14.08,-2.76
2017-11-12,13.99,-0.64
2017-11-19,14.18,1.36
2017-11-26,14.18,0.0
2017-12-03,14.18,0.0
2017-12-10,14.28,0.71
2017-12-17,14.18,-0.7
2017-12-24,14.38,1.41
2017-12-31,14.18,-1.39
2018-01-07,14.38,1.41
2018-01-14,14.48,0.7
2018-01-21,14.48,0.0
2018-01-28,14.48,0.0
2018-02-04,14.38,-0.69
2018-02-11,14.18,-1.39
2018-02-18,14.28,0.71
2018-02-25,14.28,0.0
2018-03-04,14.38,0.7
2018-03-11,14.38,0.0
2018-03-18,14.38,0.0
2018-03-25,14.38,0.0
2018-04-01,14.08,-2.09
2018-04-08,13.88,-1.42
2018-04-15,13.98,0.72
2018-04-22,14.08,0.72
2018-04-29,14.18,0.71
2018-05-06,14.18,0.0
2018-05-13,13.98,-1.41
2018-05-20,14.18,1.43
2018-05-27,14.28,0.71
2018-06-03,14.68,2.8
2018-06-10,14.48,-1.36
2018-06-17,14.18,-2.07
2018-06-24,14.38,1.41
2018-07-01,14.48,0.7
2018-07-08,14.48,0.0
2018-07-15,14.48,0.0
2018-07-22,14.58,0.69
2018-07-29,14.48,-0.69
2018-08-05,14.58,0.69
2018-08-12,14.78,1.37
2018-08-19,14.78,0.0
2018-08-26,14.88,0.68
2018-09-02,14.68,-1.34
2018-09-09,14.88,1.36
2018-09-16,14.78,-0.67
2018-09-23,14.88,0.68
2018-09-30,14.97,0.6
2018-10-07,14.78,-1.27
2018-10-14,14.78,0.0
2018-10-21,14.88,0.68
2018-10-28,14.78,-0.67
2018-11-04,14.88,0.68
2018-11-11,14.68,-1.34
2018-11-18,14.58,-0.68
2018-11-25,14.48,-0.69
2018-12-02,14.38,-0.69
2018-12-09,14.28,-0.7
2018-12-16,14.28,0.0
2018-12-23,14.28,0.0
2018-12-30,14.38,0.7
2019-01-06,14.48,0.7
2019-01-13,14.88,2.76
2019-01-20,14.97,0.6
2019-01-27,14.97,0.0
2019-02-03,15.07,0.67
2019-02-10,14.78,-1.92
2019-02-17,14.78,0.0
2019-02-24,14.78,0.0
2019-03-03,14.78,0.0
2019-03-10,14.97,1.29
2019-03-17,15.17,1.34
2019-03-24,15.47,1.98
2019-03-31,15.27,-1.29
2019-04-07,15.37,0.65
2019-04-14,15.47,0.65
2019-04-21,15.47,0.0
2019-04-28,15.87,2.59
2019-05-05,16.16,1.83
2019-05-12,16.26,0.62
2019-05-19,16.07,-1.17
2019-05-26,15.77,-1.87
2019-06-02,16.26,3.11
2019-06-09,16.26,0.0
2019-06-16,16.36,0.62
2019-06-23,16.56,1.22
2019-06-30,17.3,4.47
2019-07-07,17.4,0.58
2019-07-14,17.3,-0.57
2019-07-21,17.4,0.58
2019-07-28,17.2,-1.15
2019-08-04,17.9,4.07
2019-08-11,17.6,-1.68
2019-08-18,18.0,2.27
2019-08-25,16.9,-6.11
2019-09-01,17.5,3.55
2019-09-08,17.1,-2.29
2019-09-15,17.5,2.34
2019-09-22,17.4,-0.57
2019-09-29,17.4,0.0
2019-10-06,17.8,2.3
2019-10-13,17.8,0.0
2019-10-20,17.7,-0.56
2019-10-27,17.8,0.56
2019-11-03,17.0,-4.49
2019-11-10,17.0,0.0
2019-11-17,16.8,-1.18
2019-11-24,16.8,0.0
2019-12-01,16.7,-0.6
2019-12-08,16.4,-1.8
2019-12-15,16.2,-1.22
2019-12-22,16.3,0.62
2019-12-29,16.6,1.84
2020-01-05,16.5,-0.6
2020-01-12,16.8,1.82
2020-01-19,17.0,1.19
2020-01-26,17.4,2.35
2020-02-02,17.4,0.0
2020-02-09,17.0,-2.3
2020-02-16,17.0,0.0
2020-02-23,15.8,-7.06
2020-03-01,16.6,5.06
2020-03-08,14.0,-15.66
2020-03-15,13.1,-6.43
2020-03-22,13.6,3.82
2020-03-29,14.5,6.62
2020-04-05,14.9,2.76
2020-04-12,14.9,0.0
2020-04-19,15.6,4.7
2020-04-26,15.9,1.92
2020-05-03,15.7,-1.26
2020-05-10,16.0,1.91
2020-05-17,16.1,0.63
2020-05-24,15.9,-1.24
2020-05-31,15.9,0.0
2020-06-07,15.9,0.0
2020-06-14,15.3,-3.77
2020-06-21,15.0,-1.96
2020-06-28,15.0,0.0
2020-07-05,15.0,0.0
2020-07-12,15.0,0.0
2020-07-19,14.9,-0.67
2020-07-26,15.1,1.34
2020-08-02,15.2,0.66
2020-08-09,14.8,-2.63
2020-08-16,14.8,0.0
2020-08-23,14.7,-0.68
2020-08-30,14.8,0.68
2020-09-06,14.8,0.0
2020-09-13,14.7,-0.68
2020-09-20,14.4,-2.04
2020-09-27,13.4,-6.94
2020-10-04,13.3,-0.75
2020-10-11,13.3,0.0
2020-10-18,12.8,-3.76
2020-10-25,12.7,-0.78
2020-11-01,13.1,3.15
2020-11-08,12.7,-3.05
2020-11-15,13.2,3.94
2020-11-22,13.2,0.0
2020-11-29,13.2,0.0
2020-12-06,13.2,0.0
2020-12-13,13.0,-1.52
2020-12-20,13.0,0.0
2020-12-27,12.9,-0.77
2021-01-03,12.9,0.0
2021-01-10,12.9,0.0
2021-01-17,12.8,-0.78
2021-01-24,12.8,0.0
2021-01-31,12.7,-0.78
2021-02-07,12.6,-0.79
2021-02-14,12.6,0.0
2021-02-21,11.3,-10.32
2021-02-28,11.5,1.77
2021-03-07,12.2,6.09
2021-03-14,12.1,-0.82
2021-03-21,12.1,0.0
2021-03-28,12.0,-0.83
2021-04-04,11.8,-1.67
2021-04-11,11.9,0.85
2021-04-18,11.9,0.0
2021-04-25,12.1,1.68
2021-05-02,12.2,0.83
2021-05-09,11.8,-3.28
2021-05-16,11.9,0.85
2021-05-23,12.2,2.52
2021-05-30,12.4,1.64
2021-06-06,12.8,3.23
2021-06-13,12.8,0.0
2021-06-20,12.7,-0.78
2021-06-27,12.7,0.0
2021-07-04,12.4,-2.36
2021-07-11,12.6,1.61
2021-07-18,12.4,-1.59
2021-07-25,12.4,0.0
2021-08-01,12.6,1.61
2021-08-08,12.5,-0.79
2021-08-15,12.5,0.0
2021-08-22,12.5,0.0
2021-08-29,12.5,0.0
2021-09-05,12.5,0.0
2021-09-12,12.5,0.0
2021-09-19,12.6,0.8
2021-09-26,12.9,2.38
2021-10-03,13.2,2.33
2021-10-10,13.3,0.76
2021-10-17,13.4,0.75
2021-10-24,13.4,0.0
2021-10-31,13.5,0.75
2021-11-07,13.3,-1.48
2021-11-14,13.3,0.0
2021-11-21,13.9,4.51
2021-11-28,13.8,-0.72
2021-12-05,14.0,1.45
2021-12-12,14.0,0.0
2021-12-19,14.0,0.0
2021-12-26,13.9,-0.71
2022-01-02,13.9,0.0
2022-01-09,14.1,1.44
2022-01-16,14.3,1.42
2022-01-23,14.3,0.0
2022-01-30,14.4,0.7
2022-02-06,14.2,-1.39
2022-02-13,14.4,1.41
2022-02-20,14.1,-2.08
2022-02-27,14.1,0.0
2022-03-06,13.9,-1.42
2022-03-13,14.0,0.72
2022-03-20,14.2,1.43
2022-03-27,14.2,0.0
2022-04-03,14.2,0.0
2022-04-10,14.1,-0.7
2022-04-17,14.2,0.71
2022-04-24,14.1,-0.7
2022-05-01,14.1,0.0
2022-05-08,14.3,1.42
2022-05-15,14.0,-2.1
2022-05-22,14.0,0.0
2022-05-29,13.7,-2.14
2022-06-05,13.5,-1.46
2022-06-12,13.5,0.0
2022-06-19,13.1,-2.96
2022-06-26,13.5,3.05
2022-07-03,13.3,-1.48
2022-07-10,13.2,-0.75
2022-07-17,13.4,1.52
2022-07-24,13.5,0.75
2022-07-31,13.7,1.48
2022-08-07,13.9,1.46
2022-08-14,13.7,-1.44
2022-08-21,13.4,-2.19
2022-08-28,13.6,1.49
2022-09-04,13.6,0.0
2022-09-11,13.8,1.47
2022-09-18,13.6,-1.45
2022-09-25,13.5,-0.74
2022-10-02,13.4,-0.74
2022-10-09,13.5,0.75
2022-10-16,13.5,0.0
2022-10-23,13.5,0.0
2022-10-30,13.4,-0.74
2022-11-06,13.4,0.0
2022-11-13,13.1,-2.24
2022-11-20,13.1,0.0
2022-11-27,13.3,1.53
2022-12-04,13.2,-0.75
2022-12-11,13.1,-0.76
2022-12-18,13.2,0.76
2022-12-25,13.2,0.0
2023-01-01,13.2,0.0
2023-01-08,13.5,2.27
2023-01-15,13.6,0.74
2023-01-22,13.7,0.74
2023-01-29,13.6,-0.73
2023-02-05,13.3,-2.21
2023-02-12,13.3,0.0
2023-02-19,13.3,0.0
2023-02-26,13.2,-0.75
2023-03-05,12.9,-2.27
2023-03-12,12.8,-0.78
2023-03-19,12.9,0.78
2023-03-26,12.7,-1.55
2023-04-02,12.8,0.79
2023-04-09,12.7,-0.78
2023-04-16,12.6,-0.79
2023-04-23,12.7,0.79
2023-04-30,12.6,-0.79
2023-05-07,12.7,0.79
2023-05-14,12.3,-3.15
2023-05-21,12.4,0.81
2023-05-28,12.3,-0.81
2023-06-04,12.3,0.0
2023-06-11,12.3,0.0
2023-06-18,10.6,-13.82
2023-06-25,11.1,4.72
2023-07-02,10.9,-1.8
2023-07-09,10.7,-1.83
2023-07-16,10.4,-2.8
2023-07-23,9.85,-5.29
2023-07-30,9.9,0.51
2023-08-06,9.95,0.51
2023-08-13,9.5,-4.52
2023-08-20,9.3,-2.11
2023-08-27,9.35,0.54
2023-09-03,9.2,-1.6
2023-09-10,9.4,2.17
2023-09-17,9.3,-1.06
2023-09-24,9.1,-2.15
2023-10-01,9.05,-0.55
2023-10-08,9.05,0.0
2023-10-15,8.75,-3.31
2023-10-22,8.3,-5.14
2023-10-29,8.5,2.41
2023-11-05,8.55,0.59
2023-11-12,8.45,-1.17
2023-11-19,8.45,0.0
2023-11-26,8.3,-1.78
2023-12-03,8.15,-1.81
2023-12-10,7.8,-4.29
2023-12-17,7.5,-3.85
2023-12-24,7.75,3.33
2023-12-31,8.85,14.19
2024-01-07,8.4,-5.08
2024-01-14,8.15,-2.98
2024-01-21,8.15,0.0
2024-01-28,8.25,1.23
2024-02-04,7.95,-3.64
2024-02-11,7.95,0.0
2024-02-18,7.85,-1.26
2024-02-25,7.9,0.64
2024-03-03,7.75,-1.9
2024-03-10,7.65,-1.29
2024-03-17,7.5,-1.96
2024-03-24,7.9,5.33
2024-03-31,7.85,-0.63
2024-04-07,7.9,0.64
2024-04-14,7.65,-3.16
2024-04-21,7.75,1.31
2024-04-28,7.95,2.58
2024-05-05,8.0,0.63
2024-05-12,7.8,-2.5
2024-05-19,7.95,1.92
2024-05-26,7.75,-2.52
2024-06-02,7.9,1.94
2024-06-09,7.75,-1.9
2024-06-16,7.55,-2.58
2024-06-23,7.7,1.99
2024-06-30,7.75,0.65
2024-07-07,8.05,3.87
2024-07-14,8.05,0.0
2024-07-21,7.95,-1.24
2024-07-28,8.05,1.26
2024-08-04,8.0,-0.62
2024-08-11,7.8,-2.5
2024-08-18,7.85,0.64
2024-08-25,7.8,-0.64
2024-09-01,8.2,5.13
2024-09-08,9.05,10.37
2024-09-15,9.4,3.87
2024-09-22,9.6,2.13
2024-09-29,9.3,-3.13
2024-10-06,9.35,0.54
2024-10-13,9.35,0.0
2024-10-20,9.25,-1.07
2024-10-27,9.4,1.62
2024-11-03,9.15,-2.66
2024-11-10,8.85,-3.28
2024-11-17,8.9,0.56
2024-11-24,8.8,-1.12
2024-12-01,8.9,1.14
2024-12-08,8.85,-0.56
2024-12-15,8.45,-4.52
2024-12-22,8.6,1.78
2024-12-29,8.5,-1.16
