month,close,change
2004-01-05,71.0,5.19
2004-01-06,67.5,-4.93
2004-01-07,73.0,8.15
2004-01-08,71.5,-2.05
2004-01-09,66.5,-6.99
2004-01-10,66.0,-0.75
2004-01-11,72.0,9.09
2004-01-12,74.0,2.78
2005-01-01,82.5,11.49
2005-01-02,85.0,3.03
2005-01-03,74.0,-12.94
2005-01-04,76.5,3.38
2005-01-05,76.5,0.0
2005-01-06,79.0,3.27
2005-01-07,79.0,0.0
2005-01-08,77.0,-2.53
2005-01-09,73.5,-4.55
2005-01-10,74.0,0.68
2005-01-11,77.0,4.05
2005-01-12,81.0,5.19
2006-01-01,82.5,1.85
2006-01-02,81.0,-1.82
2006-01-03,78.5,-3.09
2006-01-04,83.5,6.37
2006-01-05,80.0,-4.19
2006-01-06,73.0,-8.75
2006-01-07,75.0,2.74
2006-01-08,76.5,2.0
2006-01-09,80.0,4.58
2006-01-10,90.0,12.5
2006-01-11,90.5,0.56
2006-01-12,95.5,5.52
2007-01-01,98.5,3.14
2007-01-02,99.5,1.02
2007-01-03,98.0,-1.51
2007-01-04,104.0,6.12
2007-01-05,104.0,0.0
2007-01-06,108.0,3.85
2007-01-07,118.0,9.26
2007-01-08,116.0,-1.69
2007-01-09,116.0,0.0
2007-01-10,118.0,1.72
2007-01-11,116.0,-1.69
2007-01-12,112.0,-3.45
2008-01-01,98.5,-12.05
2008-01-02,97.0,-1.52
2008-01-03,96.0,-1.03
2008-01-04,95.0,-1.04
2008-01-05,87.5,-7.89
2008-01-06,84.5,-3.43
2008-01-07,81.5,-3.55
2008-01-08,74.0,-9.2
2008-01-09,63.0,-14.86
2008-01-10,59.0,-6.35
2008-01-11,53.5,-9.32
2008-01-12,68.5,28.04
2009-01-01,69.5,1.46
2009-01-02,71.0,2.16
2009-01-03,66.25,-6.69
2009-01-04,68.25,3.02
2009-01-05,69.75,2.2
2009-01-06,74.5,6.81
2009-01-07,74.0,-0.67
2009-01-08,78.5,6.08
2009-01-09,76.75,-2.23
2009-01-10,75.0,-2.28
2009-01-11,78.5,4.67
2009-01-12,79.25,0.96
2010-01-01,79.0,-0.32
2010-01-02,81.25,2.85
2010-01-03,80.0,-1.54
2010-01-04,79.75,-0.31
2010-01-05,77.75,-2.51
2010-01-06,82.0,5.47
2010-01-07,85.75,4.57
2010-01-08,93.75,9.33
2010-01-09,93.5,-0.27
2010-01-10,96.0,2.67
2010-01-11,94.0,-2.08
2010-01-12,103.5,10.11
2011-01-01,106.5,2.9
2011-01-02,99.5,-6.57
2011-01-03,93.25,-6.28
2011-01-04,94.75,1.61
2011-01-05,95.25,0.53
2011-01-06,93.0,-2.36
2011-01-07,94.25,1.34
2011-01-08,92.0,-2.39
2011-01-09,84.5,-8.15
2011-01-10,84.0,-0.59
2011-01-11,88.75,5.65
2011-01-12,96.25,8.45
2012-01-01,91.5,-4.94
2012-01-02,94.5,3.28
2012-01-03,93.0,-1.59
2012-01-04,99.0,6.45
2012-01-05,104.0,5.05
2012-01-06,115.0,10.58
2012-01-07,109.5,-4.78
2012-01-08,120.0,9.59
2012-01-09,130.0,8.33
2012-01-10,131.0,0.77
2012-01-11,126.0,-3.82
2012-01-12,151.0,19.84
2013-01-01,153.0,1.32
2013-01-02,152.0,-0.65
2013-01-03,156.0,2.63
2013-01-04,153.5,-1.6
2013-01-05,157.0,2.28
2013-01-06,135.0,-14.01
2013-01-07,136.0,0.74
2013-01-08,129.0,-5.15
2013-01-09,124.0,-3.88
2013-01-10,128.0,3.23
2013-01-11,128.5,0.39
2013-01-12,122.5,-4.67
2014-01-01,127.5,4.08
2014-01-02,128.5,0.78
2014-01-03,131.0,1.95
2014-01-04,131.5,0.38
2014-01-05,131.5,0.0
2014-01-06,138.5,5.32
2014-01-07,146.0,5.42
2014-01-08,170.5,16.78
2014-01-09,165.0,-3.23
2014-01-10,172.0,4.24
2014-01-11,170.5,-0.87
2014-01-12,167.5,-1.76
2015-01-01,163.0,-2.69
2015-01-02,158.0,-3.07
2015-01-03,151.5,-4.11
2015-01-04,151.5,0.0
2015-01-05,151.0,-0.33
2015-01-06,153.5,1.66
2015-01-07,153.5,0.0
2015-01-08,159.0,3.58
2015-01-09,153.0,-3.77
2015-01-10,155.5,1.63
2015-01-11,154.5,-0.64
2015-01-12,151.5,-1.94
2016-01-01,166.5,9.9
2016-01-02,166.5,0.0
2016-01-03,178.5,7.21
2016-01-04,177.5,-0.56
2016-01-05,186.5,5.07
2016-01-06,187.5,0.54
2016-01-07,199.0,6.13
2016-01-08,197.5,-0.75
2016-01-09,198.5,0.51
