month,close,change
2004-01-01,48.951,-1.86
2004-01-02,49.06,0.22
2004-01-03,48.32,-1.51
2004-01-04,47.988,-0.69
2004-01-05,49.414,2.97
2004-01-06,49.892,0.97
2004-01-07,49.632,-0.52
2004-01-08,50.728,2.21
2004-01-09,51.477,1.48
2004-01-10,52.47,1.93
2004-01-11,52.39,-0.15
2004-01-12,52.709,0.61
2005-01-01,50.238,-4.69
2005-01-02,50.632,0.78
2005-01-03,50.715,0.16
2005-01-04,50.778,0.12
2005-01-05,50.009,-1.51
2005-01-06,50.014,0.01
2005-01-07,50.521,1.01
2005-01-08,50.955,0.86
2005-01-09,49.387,-3.08
2005-01-10,48.881,-1.02
2005-01-11,48.63,-0.51
2005-01-12,48.584,-0.09
2006-01-01,47.321,-2.6
2006-01-02,46.621,-1.48
2006-01-03,47.109,1.05
2006-01-04,47.427,0.68
2006-01-05,48.875,3.05
2006-01-06,48.752,-0.25
2006-01-07,48.33,-0.87
2006-01-08,48.114,-0.45
2006-01-09,47.602,-1.06
2006-01-10,46.824,-1.63
2006-01-11,47.527,1.5
2006-01-12,47.714,0.39
2007-01-01,46.696,-2.13
2007-01-02,46.989,0.63
2007-01-03,46.763,-0.48
2007-01-04,47.456,1.48
2007-01-05,46.594,-1.82
2007-01-06,46.752,0.34
2007-01-07,46.177,-1.23
2007-01-08,46.764,1.27
2007-01-09,48.91,4.59
2007-01-10,49.217,0.63
2007-01-11,49.532,0.64
2007-01-12,49.146,-0.78
2008-01-01,49.083,-0.13
2008-01-02,47.785,-2.64
2008-01-03,49.658,3.92
2008-01-04,49.436,-0.45
2008-01-05,50.533,2.22
2008-01-06,52.672,4.23
2008-01-07,52.291,-0.72
2008-01-08,50.222,-3.96
2008-01-09,47.797,-4.83
2008-01-10,44.629,-6.63
2008-01-11,45.043,0.93
2008-01-12,48.659,8.03
2009-01-01,44.692,-8.15
2009-01-02,45.856,2.6
2009-01-03,47.027,2.55
2009-01-04,46.656,-0.79
2009-01-05,48.562,4.09
2009-01-06,47.805,-1.56
2009-01-07,48.486,1.42
2009-01-08,48.759,0.56
2009-01-09,48.928,0.35
2009-01-10,49.239,0.64
2009-01-11,49.887,1.32
2009-01-12,47.767,-4.25
2010-01-01,45.999,-3.7
2010-01-02,45.041,-2.08
2010-01-03,43.713,-2.95
2010-01-04,43.012,-1.6
2010-01-05,40.017,-6.96
2010-01-06,39.665,-0.88
2010-01-07,42.067,6.06
2010-01-08,39.671,-5.7
2010-01-09,41.376,4.3
2010-01-10,41.766,0.94
2010-01-11,39.18,-6.19
2010-01-12,40.222,2.66
2011-01-01,42.312,5.2
2011-01-02,42.226,-0.2
2011-01-03,42.832,1.43
2011-01-04,44.175,3.14
2011-01-05,43.617,-1.26
2011-01-06,44.527,2.09
2011-01-07,42.825,-3.82
2011-01-08,43.03,0.48
2011-01-09,41.718,-3.05
2011-01-10,42.513,1.91
2011-01-11,41.473,-2.45
2011-01-12,40.79,-1.65
2012-01-01,40.493,-0.73
2012-01-02,40.561,0.17
2012-01-03,41.137,1.42
2012-01-04,40.673,-1.13
2012-01-05,39.345,-3.27
2012-01-06,39.923,1.47
2012-01-07,38.748,-2.94
2012-01-08,39.394,1.67
2012-01-09,39.603,0.53
2012-01-10,39.771,0.42
2012-01-11,39.915,0.36
2012-01-12,40.363,1.12
2013-01-01,40.485,0.3
2013-01-02,38.884,-3.95
2013-01-03,37.531,-3.48
2013-01-04,38.524,2.64
2013-01-05,39.518,2.58
2013-01-06,40.481,2.44
2013-01-07,41.682,2.97
2013-01-08,42.482,1.92
2013-01-09,42.211,-0.64
2013-01-10,42.294,0.2
2013-01-11,43.526,2.91
2013-01-12,44.919,3.2
2014-01-01,44.514,-0.9
2014-01-02,44.884,0.83
2014-01-03,44.601,-0.63
2014-01-04,44.843,0.54
2014-01-05,44.72,-0.27
2014-01-06,44.373,-0.78
2014-01-07,43.083,-2.91
2014-01-08,41.917,-2.7
2014-01-09,40.95,-2.31
2014-01-10,40.803,-0.36
2014-01-11,40.898,0.23
2014-01-12,39.799,-2.69
2015-01-01,36.928,-7.21
2015-01-02,36.209,-1.95
2015-01-03,34.905,-3.6
2015-01-04,37.044,6.13
2015-01-05,37.015,-0.08
2015-01-06,37.625,1.65
2015-01-07,38.444,2.17
2015-01-08,40.158,4.46
2015-01-09,40.636,1.19
2015-01-10,39.167,-3.62
2015-01-11,37.805,-3.48
2015-01-12,39.118,3.47
2016-01-01,38.688,-1.1
2016-01-02,38.712,0.06
2016-01-03,39.937,3.16
2016-01-04,39.963,0.07
