month,close,change
2009-03-08,2.56,-7.91
2009-03-15,2.8,9.38
2009-03-22,2.7,-3.57
2009-03-29,2.72,0.74
2009-04-05,2.8,2.94
2009-04-12,2.68,-4.29
2009-04-19,2.8,4.48
2009-04-26,2.8,0.0
2009-05-03,2.76,-1.43
2009-05-10,2.68,-2.9
2009-05-17,2.7,0.75
2009-05-24,2.7,0.0
2009-05-31,2.7,0.0
2009-06-07,2.68,-0.74
2009-06-14,2.68,0.0
2009-06-21,2.64,-1.49
2009-06-28,2.66,0.76
2009-07-05,2.64,-0.75
2009-07-12,2.62,-0.76
2009-07-19,2.66,1.53
2009-07-26,2.62,-1.5
2009-08-02,2.64,0.76
2009-08-09,2.64,0.0
2009-08-16,2.6,-1.52
2009-08-23,2.62,0.77
2009-08-30,2.62,0.0
2009-09-06,2.74,4.58
2009-09-13,2.86,4.38
2009-09-20,2.86,0.0
2009-09-27,2.82,-1.4
2009-10-04,2.9,2.84
2009-10-11,3.1,6.9
2009-10-18,3.02,-2.58
2009-10-25,3.0,-0.66
2009-11-01,3.02,0.67
2009-11-08,3.0,-0.66
2009-11-15,3.0,0.0
2009-11-22,2.94,-2.0
2009-11-29,3.0,2.04
2009-12-06,3.0,0.0
2009-12-13,2.96,-1.33
2009-12-20,2.98,0.68
2009-12-27,2.98,0.0
2010-01-03,2.94,-1.34
2010-01-10,3.3,12.24
2010-01-17,2.98,-9.7
2010-01-24,2.9,-2.68
2010-01-31,2.92,0.69
2010-02-07,2.9,-0.68
2010-02-14,2.96,2.07
2010-02-21,2.96,0.0
2010-02-28,2.94,-0.68
2010-03-07,2.92,-0.68
2010-03-14,3.04,4.11
2010-03-21,3.0,-1.32
2010-03-28,2.98,-0.67
2010-04-04,2.96,-0.67
2010-04-11,2.9,-2.03
2010-04-18,2.9,0.0
2010-04-25,2.96,2.07
2010-05-02,2.98,0.68
2010-05-09,3.0,0.67
2010-05-16,3.0,0.0
2010-05-23,2.88,-4.0
2010-05-30,2.98,3.47
2010-06-06,2.98,0.0
2010-06-13,3.22,8.05
2010-06-20,3.34,3.73
2010-06-27,3.28,-1.8
2010-07-04,3.32,1.22
2010-07-11,3.54,6.63
2010-07-18,3.66,3.39
2010-07-25,3.6,-1.64
2010-08-01,3.6,0.0
2010-08-08,3.58,-0.56
2010-08-15,3.32,-7.26
2010-08-22,3.28,-1.2
2010-08-29,3.32,1.22
2010-09-05,3.28,-1.2
2010-09-12,3.26,-0.61
2010-09-19,3.24,-0.61
2010-09-26,3.5,8.02
2010-10-03,3.36,-4.0
2010-10-10,3.28,-2.38
2010-10-17,4.04,23.17
2010-10-24,3.94,-2.48
2010-10-31,4.26,8.12
