month,close,change
2009-03-08,2.26,3.67
2009-03-15,2.32,2.65
2009-03-22,2.28,-1.72
2009-03-29,2.3,0.88
2009-04-05,2.4,4.35
2009-04-12,2.3,-4.17
2009-04-19,2.34,1.74
2009-04-26,2.26,-3.42
2009-05-03,2.32,2.65
2009-05-10,2.1,-9.48
2009-05-17,2.16,2.86
2009-05-24,2.06,-4.63
2009-05-31,2.4,16.5
2009-06-07,2.46,2.5
2009-06-14,2.3,-6.5
2009-06-21,2.36,2.61
2009-06-28,2.3,-2.54
2009-07-05,2.4,4.35
2009-07-12,2.38,-0.83
2009-07-19,2.46,3.36
2009-07-26,2.52,2.44
2009-08-02,2.74,8.73
2009-08-09,2.9,5.84
2009-08-16,3.2,10.34
2009-08-23,3.18,-0.62
2009-08-30,3.3,3.77
2009-09-06,3.24,-1.82
2009-09-13,3.24,0.0
2009-09-20,3.38,4.32
2009-09-27,3.2,-5.33
2009-10-04,3.34,4.37
2009-10-11,3.36,0.6
2009-10-18,3.6,7.14
2009-10-25,3.7,2.78
2009-11-01,3.7,0.0
2009-11-08,3.8,2.7
2009-11-15,3.84,1.05
2009-11-22,3.7,-3.65
2009-11-29,3.82,3.24
2009-12-06,3.6,-5.76
2009-12-13,3.7,2.78
2009-12-20,3.78,2.16
2009-12-27,3.78,0.0
2010-01-03,3.8,0.53
2010-01-10,3.84,1.05
2010-01-17,3.9,1.56
2010-01-24,3.7,-5.13
2010-01-31,3.76,1.62
2010-02-07,3.8,1.06
2010-02-14,3.8,0.0
2010-02-21,3.9,2.63
2010-02-28,4.02,3.08
2010-03-07,4.02,0.0
2010-03-14,4.1,1.99
2010-03-21,4.3,4.88
2010-03-28,4.8,11.63
2010-04-04,4.74,-1.25
2010-04-11,4.22,-10.97
2010-04-18,4.76,12.8
2010-04-25,4.76,0.0
2010-05-02,4.82,1.26
2010-05-09,5.05,4.77
2010-05-16,5.05,0.0
2010-05-23,5.05,0.0
2010-05-30,5.0,-0.99
2010-06-06,5.0,0.0
2010-06-13,5.15,3.0
2010-06-20,5.15,0.0
2010-06-27,5.15,0.0
2010-07-04,5.2,0.97
2010-07-11,5.2,0.0
2010-07-18,5.2,0.0
2010-07-25,5.2,0.0
2010-08-01,5.4,3.85
2010-08-08,5.6,3.7
2010-08-15,5.4,-3.57
2010-08-22,5.15,-4.63
2010-08-29,4.98,-3.3
2010-09-05,5.0,0.4
2010-09-12,4.98,-0.4
2010-09-19,5.15,3.41
2010-09-26,5.15,0.0
2010-10-03,4.98,-3.3
2010-10-10,4.98,0.0
2010-10-17,5.0,0.4
2010-10-24,4.98,-0.4
2010-10-31,5.0,0.4
2010-11-07,6.7,34.0
2010-11-14,5.4,-19.4
2010-11-21,5.25,-2.78
2010-11-28,5.4,2.86
2010-12-05,5.45,0.93
2010-12-12,5.6,2.75
2010-12-19,5.65,0.89
2010-12-26,5.6,-0.88
2011-01-02,5.7,1.79
2011-01-09,5.75,0.88
2011-01-16,5.65,-1.74
2011-01-23,5.45,-3.54
2011-01-30,5.5,0.92
2011-02-06,5.3,-3.64
2011-02-13,5.3,0.0
2011-02-20,5.3,0.0
2011-02-27,5.3,0.0
2011-03-06,5.35,0.94
2011-03-13,5.35,0.0
2011-03-20,5.45,1.87
2011-03-27,5.65,3.67
2011-04-03,5.75,1.77
2011-04-10,5.8,0.87
2011-04-17,5.65,-2.59
2011-04-24,5.6,-0.88
2011-05-01,5.7,1.79
2011-05-08,6.0,5.26
2011-05-15,5.9,-1.67
2011-05-22,5.85,-0.85
2011-05-29,5.9,0.85
2011-06-05,5.7,-3.39
2011-06-12,5.7,0.0
2011-06-19,5.75,0.88
2011-06-26,5.75,0.0
2011-07-03,5.8,0.87
2011-07-10,5.8,0.0
2011-07-17,5.95,2.59
2011-07-24,6.4,7.56
2011-07-31,6.1,-4.69
2011-08-07,5.9,-3.28
2011-08-14,5.9,0.0
2011-08-21,5.4,-8.47
2011-08-28,5.65,4.63
2011-09-04,5.65,0.0
2011-09-11,5.45,-3.54
2011-09-18,5.1,-6.42
2011-09-25,5.05,-0.98
2011-10-02,4.98,-1.39
2011-10-09,5.0,0.4
2011-10-16,4.92,-1.6
2011-10-23,4.94,0.41
2011-10-30,4.92,-0.4
2011-11-06,4.96,0.81
2011-11-13,4.88,-1.61
2011-11-20,4.84,-0.82
2011-11-27,4.84,0.0
2011-12-04,4.92,1.65
2011-12-11,4.96,0.81
2011-12-18,4.88,-1.61
2011-12-25,4.92,0.82
2012-01-01,4.9,-0.41
2012-01-08,5.0,2.04
2012-01-15,5.05,1.0
2012-01-22,5.1,0.99
2012-01-29,5.1,0.0
2012-02-05,5.05,-0.98
2012-02-12,4.94,-2.18
2012-02-19,4.96,0.4
2012-02-26,4.96,0.0
2012-03-04,5.05,1.81
2012-03-11,5.05,0.0
2012-03-18,5.0,-0.99
2012-03-25,5.0,0.0
2012-04-01,4.98,-0.4
2012-04-08,4.86,-2.41
2012-04-15,4.9,0.82
2012-04-22,4.92,0.41
2012-04-29,4.92,0.0
2012-05-06,4.9,-0.41
2012-05-13,4.76,-2.86
2012-05-20,4.7,-1.26
2012-05-27,4.72,0.43
2012-06-03,4.74,0.42
2012-06-10,4.82,1.69
2012-06-17,4.76,-1.24
2012-06-24,4.72,-0.84
2012-07-01,4.74,0.42
2012-07-08,4.72,-0.42
2012-07-15,4.78,1.27
2012-07-22,4.72,-1.26
2012-07-29,4.76,0.85
2012-08-05,4.9,2.94
2012-08-12,4.94,0.82
2012-08-19,4.72,-4.45
2012-08-26,4.72,0.0
2012-09-02,4.74,0.42
2012-09-09,4.76,0.42
2012-09-16,4.72,-0.84
2012-09-23,4.7,-0.42
2012-09-30,4.7,0.0
2012-10-07,4.68,-0.43
2012-10-14,4.7,0.43
2012-10-21,4.68,-0.43
2012-10-28,4.72,0.85
2012-11-04,4.78,1.27
2012-11-11,4.72,-1.26
2012-11-18,4.72,0.0
2012-11-25,4.78,1.27
2012-12-02,4.8,0.42
2012-12-09,4.78,-0.42
2012-12-16,4.76,-0.42
2012-12-23,4.78,0.42
2012-12-30,4.78,0.0
2013-01-06,4.78,0.0
2013-01-13,4.9,2.51
2013-01-20,4.84,-1.22
2013-01-27,4.84,0.0
2013-02-03,4.82,-0.41
2013-02-10,4.82,0.0
2013-02-17,4.86,0.83
2013-02-24,4.9,0.82
2013-03-03,5.05,3.06
2013-03-10,5.0,-0.99
2013-03-17,4.86,-2.8
2013-03-24,5.0,2.88
2013-03-31,4.92,-1.6
2013-04-07,4.84,-1.63
2013-04-14,4.86,0.41
2013-04-21,4.8,-1.23
2013-04-28,4.74,-1.25
2013-05-05,4.82,1.69
2013-05-12,4.84,0.41
2013-05-19,4.82,-0.41
2013-05-26,4.8,-0.41
2013-06-02,4.74,-1.25
2013-06-09,4.74,0.0
2013-06-16,4.74,0.0
2013-06-23,4.74,0.0
2013-06-30,4.68,-1.27
2013-07-07,4.7,0.43
2013-07-14,4.72,0.43
2013-07-21,4.74,0.42
2013-07-28,4.76,0.42
2013-08-04,4.86,2.1
2013-08-11,4.88,0.41
2013-08-18,4.58,-6.15
2013-08-25,4.5,-1.75
2013-09-01,4.48,-0.44
2013-09-08,4.6,2.68
2013-09-15,4.58,-0.43
2013-09-22,4.6,0.44
2013-09-29,4.54,-1.3
2013-10-06,4.56,0.44
2013-10-13,4.6,0.88
2013-10-20,4.64,0.87
2013-10-27,4.66,0.43
2013-11-03,4.58,-1.72
2013-11-10,4.52,-1.31
2013-11-17,4.54,0.44
2013-11-24,4.48,-1.32
2013-12-01,4.48,0.0
2013-12-08,4.5,0.45
2013-12-15,4.52,0.44
2013-12-22,4.48,-0.88
2013-12-29,4.48,0.0
2014-01-05,4.48,0.0
2014-01-12,4.44,-0.89
2014-01-19,4.5,1.35
2014-01-26,4.48,-0.44
2014-02-02,4.52,0.89
2014-02-09,4.52,0.0
2014-02-16,4.48,-0.88
2014-02-23,4.46,-0.45
2014-03-02,4.46,0.0
2014-03-09,4.44,-0.45
2014-03-16,4.42,-0.45
2014-03-23,4.42,0.0
2014-03-30,4.46,0.9
2014-04-06,4.32,-3.14
2014-04-13,4.3,-0.46
2014-04-20,4.3,0.0
2014-04-27,4.3,0.0
2014-05-04,4.3,0.0
2014-05-11,4.34,0.93
2014-05-18,4.26,-1.84
2014-05-25,4.32,1.41
2014-06-01,4.32,0.0
2014-06-08,4.4,1.85
2014-06-15,4.46,1.36
2014-06-22,4.44,-0.45
2014-06-29,4.4,-0.9
2014-07-06,4.42,0.45
2014-07-13,4.42,0.0
2014-07-20,4.4,-0.45
2014-07-27,4.4,0.0
2014-08-03,4.42,0.45
2014-08-10,4.4,-0.45
2014-08-17,4.28,-2.73
2014-08-24,4.26,-0.47
2014-08-31,4.28,0.47
2014-09-07,4.28,0.0
2014-09-14,4.24,-0.93
2014-09-21,4.28,0.94
2014-09-28,4.26,-0.47
2014-10-05,4.28,0.47
2014-10-12,4.24,-0.93
2014-10-19,4.26,0.47
2014-10-26,4.24,-0.47
2014-11-02,4.24,0.0
2014-11-09,4.22,-0.47
2014-11-16,4.16,-1.42
2014-11-23,4.14,-0.48
