month,close,change
2011-01-09,2.3,-7.26
2011-01-10,2.39,3.91
2011-01-11,2.44,2.09
2011-01-12,2.26,-7.38
2012-01-01,2.42,7.08
2012-01-02,2.44,0.83
2012-01-03,2.36,-3.28
2012-01-04,2.34,-0.85
2012-01-05,2.24,-4.27
2012-01-06,2.25,0.45
2012-01-07,2.29,1.78
2012-01-08,2.33,1.75
2012-01-09,2.45,5.15
2012-01-10,2.38,-2.86
2012-01-11,2.39,0.42
2012-01-12,2.32,-2.93
2013-01-01,2.27,-2.16
2013-01-02,2.17,-4.41
2013-01-03,2.12,-2.3
2013-01-04,1.91,-9.91
2013-01-05,1.91,0.0
2013-01-06,1.71,-10.47
2013-01-07,1.86,8.77
2013-01-08,2.0,7.53
2013-01-09,1.88,-6.0
2013-01-10,1.84,-2.13
2013-01-11,1.79,-2.72
2013-01-12,1.76,-1.68
2014-01-01,1.83,3.98
2014-01-02,1.92,4.92
2014-01-03,1.88,-2.08
2014-01-04,1.86,-1.06
2014-01-05,1.85,-0.54
2014-01-06,1.88,1.62
2014-01-07,1.85,-1.6
2014-01-08,1.83,-1.08
2014-01-09,1.76,-3.83
2014-01-10,1.73,-1.7
2014-01-11,1.72,-0.58
2014-01-12,1.73,0.58
2015-01-01,1.83,5.78
2015-01-02,1.74,-4.92
2015-01-03,1.72,-1.15
2015-01-04,1.75,1.74
2015-01-05,1.77,1.14
2015-01-06,1.74,-1.69
2015-01-07,1.68,-3.45
2015-01-08,1.78,5.95
2015-01-09,1.79,0.56
2015-01-10,1.78,-0.56
2015-01-11,1.69,-5.06
2015-01-12,1.7,0.59
2016-01-01,1.75,2.94
2016-01-02,1.91,9.14
2016-01-03,1.88,-1.57
2016-01-04,1.92,2.13
2016-01-05,1.92,0.0
2016-01-06,1.99,3.65
2016-01-07,2.03,2.01
2016-01-08,1.98,-2.46
2016-01-09,1.99,0.51
2016-01-10,1.93,-3.02
2016-01-11,1.85,-4.15
2016-01-12,1.8,-2.7
2017-01-01,1.81,0.56
2017-01-02,1.89,4.42
2017-01-03,1.84,-2.65
2017-01-04,1.89,2.72
2017-01-05,1.85,-2.12
2017-01-06,1.84,-0.54
2017-01-07,1.82,-1.09
2017-01-08,1.85,1.65
2017-01-09,1.84,-0.54
2017-01-10,1.82,-1.09
2017-01-11,1.81,-0.55
2017-01-12,1.8,-0.55
2018-01-01,1.81,0.56
2018-01-02,1.79,-1.1
2018-01-03,1.78,-0.56
2018-01-04,1.78,0.0
2018-01-05,1.79,0.56
2018-01-06,1.77,-1.12
2018-01-07,1.74,-1.69
2018-01-08,1.7,-2.3
2018-01-09,1.68,-1.18
2018-01-10,1.72,2.38
2018-01-11,1.71,-0.58
2018-01-12,1.75,2.34
2019-01-01,1.76,0.57
2019-01-02,1.76,0.0
2019-01-03,1.74,-1.14
2019-01-04,1.74,0.0
2019-01-05,1.74,0.0
2019-01-06,1.82,4.6
2019-01-07,1.85,1.65
2019-01-08,1.99,7.57
2019-01-09,1.94,-2.51
2019-01-10,1.92,-1.03
2019-01-11,1.86,-3.12
2019-01-12,1.94,4.3
2020-01-01,2.04,5.15
2020-01-02,2.22,8.82
2020-01-03,2.19,-1.35
2020-01-04,2.3,5.02
2020-01-05,2.3,0.0
2020-01-06,2.29,-0.43
2020-01-07,2.56,11.79
2020-01-08,2.57,0.39
2020-01-09,2.48,-3.5
2020-01-10,2.47,-0.4
2020-01-11,2.26,-8.5
2020-01-12,2.42,7.08
2021-01-01,2.26,-6.61
2021-01-02,2.25,-0.44
2021-01-03,2.21,-1.78
2021-01-04,2.29,3.62
2021-01-05,2.44,6.55
2021-01-06,2.31,-5.33
2021-01-07,2.48,7.36
2021-01-08,2.41,-2.82
2021-01-09,2.39,-0.83
2021-01-10,2.42,1.26
2021-01-11,2.49,2.89
2021-01-12,2.47,-0.8
2022-01-01,2.47,0.0
2022-01-02,2.57,4.05
2022-01-03,2.68,4.28
2022-01-04,2.67,-0.37
2022-01-05,2.62,-1.87
2022-01-06,2.64,0.76
2022-01-07,2.56,-3.03
2022-01-08,2.55,-0.39
2022-01-09,2.55,0.0
2022-01-10,2.56,0.39
2022-01-11,2.56,0.0
2022-01-12,2.55,-0.39
2023-01-01,2.55,0.0
2023-01-02,2.55,0.0
2023-01-03,2.72,6.67
2023-01-04,2.77,1.84
2023-01-05,2.74,-1.08
2023-01-06,2.73,-0.36
2023-01-07,2.74,0.37
2023-01-08,2.74,0.0
2023-01-09,2.79,1.82
2023-01-10,2.9,3.94
2023-01-11,2.88,-0.69
2023-01-12,2.88,0.0
2024-01-01,2.89,0.35
2024-01-02,2.94,1.73
2024-01-03,3.27,11.22
2024-01-04,3.45,5.5
2024-01-05,3.5,1.45
2024-01-06,3.43,-2.0
2024-01-07,3.48,1.46
2024-01-08,3.46,-0.57
2024-01-09,3.45,-0.29
2024-01-10,3.75,8.7
2024-01-11,3.65,-2.67
2024-01-12,3.6,-1.37
