month,close,change
2004-01-01,17.75,-5.03
2004-01-02,17.29,-2.59
2004-01-03,14.76,-14.63
2004-01-04,13.08,-11.38
2004-01-05,14.39,10.02
2004-01-06,14.3,-0.63
2004-01-07,14.95,4.55
2004-01-08,14.2,-5.02
2004-01-09,14.58,2.68
2004-01-10,14.86,1.92
2004-01-11,15.23,2.49
2004-01-12,16.07,5.52
2005-01-01,16.35,1.74
2005-01-02,16.45,0.61
2005-01-03,15.14,-7.96
2005-01-04,14.48,-4.36
2005-01-05,12.15,-16.09
2005-01-06,11.77,-3.13
2005-01-07,12.9,9.6
2005-01-08,11.4,-11.63
2005-01-09,11.77,3.25
2005-01-10,11.4,-3.14
2005-01-11,10.93,-4.12
2005-01-12,12.43,13.72
2006-01-01,11.49,-7.56
2006-01-02,11.68,1.65
2006-01-03,10.75,-7.96
2006-01-04,9.53,-11.35
2006-01-05,5.93,-37.78
2006-01-06,6.07,2.36
2006-01-07,6.82,12.36
2006-01-08,6.54,-4.11
2006-01-09,6.96,6.42
2006-01-10,7.71,10.78
2006-01-11,7.71,0.0
2006-01-12,6.63,-14.01
2007-01-01,6.17,-6.94
2007-01-02,6.35,2.92
2007-01-03,6.4,0.79
2007-01-04,6.91,7.97
2007-01-05,7.01,1.45
2007-01-06,7.48,6.7
2007-01-07,8.22,9.89
2007-01-08,8.08,-1.7
2007-01-09,8.27,2.35
2007-01-10,9.25,11.85
2007-01-11,10.0,8.11
2007-01-12,9.2,-8.0
2008-01-01,9.44,2.61
2008-01-02,9.34,-1.06
2008-01-03,13.08,40.04
2008-01-04,11.87,-9.25
2008-01-05,12.15,2.36
2008-01-06,12.15,0.0
2008-01-07,11.87,-2.3
2008-01-08,12.62,6.32
2008-01-09,12.15,-3.72
2008-01-10,9.34,-23.13
2008-01-11,9.06,-3.0
2008-01-12,8.83,-2.54
2009-01-01,9.02,2.15
2009-01-02,9.16,1.55
2009-01-03,10.19,11.24
2009-01-04,11.68,14.62
2009-01-05,12.15,4.02
2009-01-06,13.08,7.65
2009-01-07,12.8,-2.14
2009-01-08,13.08,2.19
2009-01-09,14.11,7.87
2009-01-10,13.83,-1.98
2009-01-11,13.74,-0.65
2009-01-12,13.46,-2.04
2010-01-01,12.71,-5.57
2010-01-02,12.24,-3.7
2010-01-03,12.52,2.29
2010-01-04,12.62,0.8
2010-01-05,12.71,0.71
2010-01-06,13.18,3.7
2010-01-07,13.92,5.61
2010-01-08,14.02,0.72
2010-01-09,14.02,0.0
2010-01-10,13.64,-2.69
2010-01-11,13.55,-0.68
2010-01-12,14.2,4.83
2011-01-01,13.74,-3.29
2011-01-02,14.02,2.04
2011-01-03,14.11,0.67
2011-01-04,14.39,1.99
2011-01-05,16.45,14.29
2011-01-06,16.35,-0.57
2011-01-07,16.82,2.86
2011-01-08,17.75,5.56
2011-01-09,16.26,-8.42
2011-01-10,15.23,-6.32
2011-01-11,16.82,10.43
2011-01-12,16.82,0.0
2012-01-01,16.91,0.56
2012-01-02,18.13,7.18
2012-01-03,18.78,3.61
2012-01-04,21.4,13.93
2012-01-05,27.8,29.91
2012-01-06,23.36,-15.97
2012-01-07,21.96,-6.0
2012-01-08,20.18,-8.09
