month,close,change
2004-01-06,36.25,-1.36
2004-01-07,32.25,-11.03
2004-01-08,30.5,-5.43
2004-01-09,28.75,-5.74
2004-01-10,28.5,-0.87
2004-01-11,32.0,12.28
2004-01-12,33.75,5.47
2005-01-01,35.75,5.93
2005-01-02,37.0,3.5
2005-01-03,30.5,-17.57
2005-01-04,27.75,-9.02
2005-01-05,29.25,5.41
2005-01-06,27.5,-5.98
2005-01-07,29.0,5.45
2005-01-08,27.75,-4.31
2005-01-09,31.25,12.61
2005-01-10,28.0,-10.4
2005-01-11,27.5,-1.79
2005-01-12,29.0,5.45
2006-01-01,35.0,20.69
2006-01-02,37.5,7.14
2006-01-03,33.0,-12.0
2006-01-04,35.0,6.06
2006-01-05,29.25,-16.43
2006-01-06,29.25,0.0
2006-01-07,27.75,-5.13
2006-01-08,28.5,2.7
2006-01-09,29.0,1.75
2006-01-10,32.0,10.34
2006-01-11,30.0,-6.25
2006-01-12,27.25,-9.17
2007-01-01,27.5,0.92
2007-01-02,30.0,9.09
2007-01-03,28.75,-4.17
2007-01-04,29.5,2.61
2007-01-05,26.5,-10.17
2007-01-06,32.0,20.75
2007-01-07,32.0,0.0
2007-01-08,29.25,-8.59
2007-01-09,30.75,5.13
2007-01-10,29.75,-3.25
2007-01-11,27.75,-6.72
2007-01-12,28.25,1.8
2008-01-01,29.0,2.65
2008-01-02,29.5,1.72
2008-01-03,28.75,-2.54
2008-01-04,30.0,4.35
2008-01-05,28.25,-5.83
2008-01-06,25.0,-11.5
2008-01-07,22.3,-10.8
2008-01-08,19.7,-11.66
2008-01-09,17.0,-13.71
2008-01-10,13.4,-21.18
2008-01-11,9.0,-32.84
2008-01-12,10.2,13.33
2009-01-01,11.2,9.8
2009-01-02,10.2,-8.93
2009-01-03,10.6,3.92
2009-01-04,14.2,33.96
2009-01-05,16.8,18.31
2009-01-06,16.5,-1.79
2009-01-07,18.1,9.7
2009-01-08,18.8,3.87
2009-01-09,23.7,26.06
2009-01-10,25.25,6.54
2009-01-11,25.0,-0.99
2009-01-12,25.5,2.0
2010-01-01,24.1,-5.49
2010-01-02,25.0,3.73
2010-01-03,27.5,10.0
2010-01-04,26.75,-2.73
2010-01-05,26.0,-2.8
2010-01-06,27.25,4.81
2010-01-07,30.5,11.93
2010-01-08,32.5,6.56
2010-01-09,39.0,20.0
2010-01-10,39.75,1.92
2010-01-11,38.0,-4.4
2010-01-12,39.0,2.63
2011-01-01,34.0,-12.82
2011-01-02,32.75,-3.68
2011-01-03,35.25,7.63
2011-01-04,33.0,-6.38
2011-01-05,32.75,-0.76
2011-01-06,33.0,0.76
2011-01-07,34.5,4.55
2011-01-08,34.5,0.0
2011-01-09,28.75,-16.67
2011-01-10,27.75,-3.48
2011-01-11,30.25,9.01
2011-01-12,32.0,5.79
2012-01-01,32.0,0.0
2012-01-02,32.75,2.34
2012-01-03,37.0,12.98
2012-01-04,37.0,0.0
2012-01-05,33.5,-9.46
2012-01-06,36.0,7.46
2012-01-07,41.0,13.89
2012-01-08,41.75,1.83
2012-01-09,46.25,10.78
2012-01-10,44.5,-3.78
2012-01-11,49.5,11.24
2012-01-12,48.5,-2.02
2013-01-01,49.75,2.58
2013-01-02,61.25,23.12
2013-01-03,69.0,12.65
2013-01-04,70.5,2.17
2013-01-05,60.0,-14.89
2013-01-06,53.0,-11.67
2013-01-07,43.0,-18.87
2013-01-08,39.5,-8.14
2013-01-09,42.5,7.59
2013-01-10,41.75,-1.76
2013-01-11,40.25,-3.59
2013-01-12,37.25,-7.45
2014-01-01,37.25,0.0
2014-01-02,39.75,6.71
2014-01-03,42.5,6.92
2014-01-04,43.0,1.18
2014-01-05,42.75,-0.58
2014-01-06,44.0,2.92
2014-01-07,40.25,-8.52
2014-01-08,42.0,4.35
2014-01-09,42.25,0.6
2014-01-10,42.25,0.0
2014-01-11,40.75,-3.55
2014-01-12,39.5,-3.07
2015-01-01,40.5,2.53
2015-01-02,39.25,-3.09
2015-01-03,39.0,-0.64
2015-01-04,37.0,-5.13
2015-01-05,36.0,-2.7
2015-01-06,35.25,-2.08
2015-01-07,30.5,-13.48
2015-01-08,32.25,5.74
2015-01-09,30.75,-4.65
2015-01-10,33.5,8.94
2015-01-11,36.5,8.96
2015-01-12,36.25,-0.68
2016-01-01,39.75,9.66
2016-01-02,45.0,13.21
2016-01-03,42.0,-6.67
2016-01-04,41.5,-1.19
2016-01-05,41.5,0.0
2016-01-06,43.5,4.82
2016-01-07,52.5,20.69
2016-01-08,51.75,-1.43
2016-01-09,53.0,2.42
2016-01-10,58.5,10.38
2016-01-11,55.25,-5.56
2016-01-12,59.0,6.79
2017-01-01,57.0,-3.39
2017-01-02,65.75,15.35
2017-01-03,69.5,5.7
2017-01-04,68.25,-1.8
2017-01-05,68.25,0.0
2017-01-06,71.5,4.76
2017-01-07,66.75,-6.64
2017-01-08,70.25,5.24
2017-01-09,69.75,-0.71
2017-01-10,75.75,8.6
2017-01-11,75.25,-0.66
2017-01-12,79.25,5.32
2018-01-01,81.75,3.15
2018-01-02,78.0,-4.59
2018-01-03,73.25,-6.09
2018-01-04,73.75,0.68
2018-01-05,68.75,-6.78
2018-01-06,67.75,-1.45
2018-01-07,72.5,7.01
2018-01-08,77.25,6.55
2018-01-09,75.25,-2.59
2018-01-10,71.25,-5.32
2018-01-11,72.25,1.4
2018-01-12,66.25,-8.3
2019-01-01,68.5,3.4
2019-01-02,70.5,2.92
2019-01-03,69.5,-1.42
2019-01-04,66.0,-5.04
2019-01-05,65.75,-0.38
2019-01-06,69.5,5.7
2019-01-07,73.0,5.04
2019-01-08,72.5,-0.68
2019-01-09,66.0,-8.97
2019-01-10,65.5,-0.76
2019-01-11,68.5,4.58
2019-01-12,66.0,-3.65
2020-01-01,68.25,3.41
2020-01-02,62.25,-8.79
2020-01-03,39.0,-37.35
2020-01-04,42.25,8.33
2020-01-05,42.5,0.59
2020-01-06,40.0,-5.88
2020-01-07,38.75,-3.13
2020-01-08,39.75,2.58
2020-01-09,37.25,-6.29
2020-01-10,39.5,6.04
2020-01-11,49.5,25.32
2020-01-12,51.75,4.55
2021-01-01,55.5,7.25
2021-01-02,59.5,7.21
2021-01-03,61.0,2.52
2021-01-04,58.25,-4.51
2021-01-05,57.0,-2.15
2021-01-06,55.75,-2.19
2021-01-07,51.0,-8.52
2021-01-08,56.25,10.29
2021-01-09,54.75,-2.67
2021-01-10,60.0,9.59
2021-01-11,57.25,-4.58
2021-01-12,59.75,4.37
2022-01-01,69.5,16.32
2022-01-02,68.25,-1.8
2022-01-03,69.0,1.1
2022-01-04,72.25,4.71
2022-01-05,72.0,-0.35
2022-01-06,62.0,-13.89
2022-01-07,65.75,6.05
2022-01-08,72.5,10.27
2022-01-09,68.75,-5.17
2022-01-10,73.0,6.18
2022-01-11,71.5,-2.05
2022-01-12,73.75,3.15
2023-01-01,68.25,-7.46
2023-01-02,66.75,-2.2
2023-01-03,63.25,-5.24
2023-01-04,60.0,-5.14
2023-01-05,63.0,5.0
2023-01-06,59.75,-5.16
2023-01-07,55.5,-7.11
2023-01-08,60.0,8.11
2023-01-09,55.25,-7.92
2023-01-10,49.25,-10.86
2023-01-11,47.75,-3.05
2023-01-12,50.25,5.24
2024-01-01,48.75,-2.99
2024-01-02,51.5,5.64
2024-01-03,52.75,2.43
2024-01-04,52.0,-1.42
2024-01-05,51.0,-1.92
2024-01-06,46.5,-8.82
2024-01-07,38.5,-17.2
2024-01-08,46.0,19.48
2024-01-09,51.0,10.87
2024-01-10,54.5,6.86
2024-01-11,50.0,-8.26
2024-01-12,52.5,5.0
