month,close,change
2004-01-01,10.35,-9.84
2004-01-02,10.54,1.84
2004-01-03,9.27,-12.05
2004-01-04,10.07,8.63
2004-01-05,10.25,1.79
2004-01-06,10.44,1.85
2004-01-07,8.23,-21.17
2004-01-08,7.62,-7.41
2004-01-09,7.71,1.18
2004-01-10,7.81,1.3
2004-01-11,8.23,5.38
2004-01-12,8.47,2.92
2005-01-01,9.6,13.34
2005-01-02,9.41,-1.98
2005-01-03,8.33,-11.48
2005-01-04,7.9,-5.16
2005-01-05,8.66,9.62
2005-01-06,8.75,1.04
2005-01-07,9.03,3.2
2005-01-08,9.08,0.55
2005-01-09,9.97,9.8
2005-01-10,9.41,-5.62
2005-01-11,9.36,-0.53
2005-01-12,10.35,10.58
2006-01-01,11.38,9.95
2006-01-02,11.57,1.67
2006-01-03,10.25,-11.41
2006-01-04,11.57,12.88
2006-01-05,9.78,-15.47
2006-01-06,9.5,-2.86
2006-01-07,10.25,7.89
2006-01-08,10.72,4.59
2006-01-09,10.72,0.0
2006-01-10,12.23,14.09
2006-01-11,12.98,6.13
2006-01-12,11.2,-13.71
2007-01-01,11.38,1.61
2007-01-02,10.91,-4.13
2007-01-03,11.38,4.31
2007-01-04,10.25,-9.93
2007-01-05,10.25,0.0
2007-01-06,11.01,7.41
2007-01-07,11.1,0.82
2007-01-08,10.72,-3.42
2007-01-09,10.35,-3.45
2007-01-10,10.72,3.57
2007-01-11,9.5,-11.38
2007-01-12,9.5,0.0
2008-01-01,8.8,-7.37
2008-01-02,10.07,14.43
2008-01-03,9.5,-5.66
2008-01-04,9.69,2.0
2008-01-05,8.37,-13.62
2008-01-06,7.95,-5.02
2008-01-07,6.77,-14.84
2008-01-08,7.15,5.61
2008-01-09,5.69,-20.42
2008-01-10,3.69,-35.15
2008-01-11,3.1,-15.99
2008-01-12,3.57,15.16
2009-01-01,3.74,4.76
2009-01-02,3.89,4.01
2009-01-03,4.27,9.77
2009-01-04,4.99,16.86
2009-01-05,6.82,36.67
2009-01-06,8.23,20.67
2009-01-07,7.9,-4.01
2009-01-08,8.09,2.41
2009-01-09,8.51,5.19
2009-01-10,8.28,-2.7
2009-01-11,8.56,3.38
2009-01-12,9.27,8.29
