month,close,change
2011-01-06,1.401,-3.77
2011-01-07,1.538,9.8
2011-01-08,1.419,-7.74
2011-01-09,1.245,-12.26
2011-01-10,1.144,-8.09
2011-01-11,1.309,14.4
2011-01-12,1.282,-2.1
2012-01-01,1.245,-2.86
2012-01-02,1.263,1.47
2012-01-03,1.309,3.62
2012-01-04,1.324,1.17
2012-01-05,1.287,-2.86
2012-01-06,1.268,-1.47
2012-01-07,1.249,-1.49
2012-01-08,1.239,-0.76
2012-01-09,1.296,4.58
2012-01-10,1.296,0.0
2012-01-11,1.315,1.46
2012-01-12,1.287,-2.16
2013-01-01,1.419,10.29
2013-01-02,1.391,-2.0
2013-01-03,1.391,0.0
2013-01-04,1.396,0.38
2013-01-05,1.367,-2.05
2013-01-06,1.233,-9.79
2013-01-07,1.31,6.2
2013-01-08,1.262,-3.65
2013-01-09,1.272,0.76
2013-01-10,1.272,0.0
2013-01-11,1.224,-3.76
2013-01-12,1.176,-3.91
2014-01-01,1.167,-0.81
2014-01-02,1.176,0.82
2014-01-03,1.176,0.0
2014-01-04,1.742,48.11
2014-01-05,1.568,-10.0
2014-01-06,1.539,-1.85
2014-01-07,1.568,1.89
2014-01-08,1.645,4.94
2014-01-09,1.752,6.47
2014-01-10,1.761,0.55
2014-01-11,1.897,7.69
2014-01-12,1.897,0.0
2015-01-01,1.916,1.02
2015-01-02,1.926,0.51
2015-01-03,1.742,-9.55
2015-01-04,1.8,3.33
2015-01-05,1.65,-8.33
2015-01-06,1.87,13.33
2015-01-07,1.74,-6.95
2015-01-08,1.59,-8.62
2015-01-09,1.57,-1.26
2015-01-10,1.63,3.82
2015-01-11,1.57,-3.68
2015-01-12,1.66,5.73
2016-01-01,1.56,-6.02
2016-01-02,1.88,20.51
2016-01-03,1.88,0.0
2016-01-04,1.75,-6.91
2016-01-05,1.73,-1.14
2016-01-06,1.75,1.16
2016-01-07,1.84,5.14
2016-01-08,1.79,-2.72
2016-01-09,1.68,-6.15
2016-01-10,1.7,1.19
2016-01-11,1.73,1.76
2016-01-12,1.72,-0.58
2017-01-01,1.77,2.91
2017-01-02,1.75,-1.13
2017-01-03,1.78,1.71
2017-01-04,1.76,-1.12
2017-01-05,1.8,2.27
2017-01-06,1.8,0.0
2017-01-07,1.77,-1.67
2017-01-08,1.79,1.13
2017-01-09,1.81,1.12
2017-01-10,1.76,-2.76
2017-01-11,1.73,-1.7
2017-01-12,1.69,-2.31
2018-01-01,1.73,2.37
2018-01-02,1.69,-2.31
2018-01-03,1.62,-4.14
2018-01-04,1.61,-0.62
2018-01-05,1.54,-4.35
2018-01-06,1.45,-5.84
2018-01-07,1.61,11.03
2018-01-08,1.6,-0.62
2018-01-09,1.57,-1.87
2018-01-10,1.5,-4.46
2018-01-11,1.44,-4.0
2018-01-12,1.37,-4.86
2019-01-01,1.43,4.38
2019-01-02,1.51,5.59
2019-01-03,1.49,-1.32
2019-01-04,1.49,0.0
2019-01-05,1.46,-2.01
2019-01-06,1.51,3.42
2019-01-07,1.45,-3.97
2019-01-08,1.39,-4.14
2019-01-09,1.34,-3.6
2019-01-10,1.26,-5.97
2019-01-11,1.3,3.17
2019-01-12,1.36,4.62
2020-01-01,1.36,0.0
2020-01-02,1.26,-7.35
2020-01-03,0.9,-28.57
2020-01-04,0.99,10.0
2020-01-05,1.04,5.05
2020-01-06,1.02,-1.92
2020-01-07,0.99,-2.94
2020-01-08,0.97,-2.02
2020-01-09,0.89,-8.25
2020-01-10,0.89,0.0
2020-01-11,1.06,19.1
2020-01-12,1.05,-0.94
2021-01-01,1.03,-1.9
2021-01-02,1.1,6.8
2021-01-03,1.23,11.82
2021-01-04,1.2,-2.44
2021-01-05,1.05,-12.5
2021-01-06,1.13,7.62
2021-01-07,1.07,-5.31
2021-01-08,1.15,7.48
2021-01-09,1.52,32.17
2021-01-10,1.47,-3.29
2021-01-11,1.29,-12.24
2021-01-12,1.35,4.65
2022-01-01,1.4,3.7
2022-01-02,1.45,3.57
2022-01-03,1.4,-3.45
2022-01-04,1.33,-5.0
2022-01-05,1.29,-3.01
2022-01-06,1.27,-1.55
2022-01-07,1.19,-6.3
2022-01-08,1.19,0.0
2022-01-09,1.17,-1.68
2022-01-10,1.1,-5.98
2022-01-11,1.06,-3.64
2022-01-12,1.23,16.04
2023-01-01,1.2,-2.44
2023-01-02,1.16,-3.33
2023-01-03,1.06,-8.62
2023-01-04,1.07,0.94
2023-01-05,1.03,-3.74
2023-01-06,1.11,7.77
2023-01-07,1.07,-3.6
2023-01-08,1.07,0.0
2023-01-09,1.02,-4.67
2023-01-10,0.99,-2.94
2023-01-11,1.0,1.01
2023-01-12,1.0,0.0
2024-01-01,1.0,0.0
2024-01-02,0.99,-1.0
2024-01-03,1.0,1.01
2024-01-04,0.97,-3.0
2024-01-05,1.0,3.09
2024-01-06,0.97,-3.0
2024-01-07,0.81,-16.49
2024-01-08,0.92,13.58
2024-01-09,0.84,-8.7
2024-01-10,0.84,0.0
2024-01-11,0.81,-3.57
2024-01-12,0.78,-3.7
