month,close,change
2005-01-01,0.45,3.21
2005-01-02,0.47,4.44
2005-01-03,0.44,-5.96
2005-01-04,0.39,-11.31
2005-01-05,0.38,-2.55
2005-01-06,0.37,-2.62
2005-01-07,0.35,-5.38
2005-01-08,0.33,-6.25
2005-01-09,0.37,11.52
2005-01-10,0.34,-7.07
2005-01-11,0.33,-4.09
2005-01-12,0.31,-4.27
2006-01-01,0.34,7.01
2006-01-02,0.35,3.57
2006-01-03,0.35,0.0
2006-01-04,0.39,10.92
2006-01-05,0.35,-10.36
2006-01-06,0.35,0.0
2006-01-07,0.34,0.0
2006-01-08,0.32,-6.1
2006-01-09,0.3,-5.88
2006-01-10,0.32,4.93
2006-01-11,0.44,38.87
2006-01-12,0.74,66.37
2007-01-01,0.76,3.8
2007-01-02,0.71,-6.67
2007-01-03,0.66,-7.14
2007-01-04,0.74,11.16
2007-01-05,0.82,10.72
2007-01-06,0.76,-6.86
2007-01-07,0.7,-7.24
2007-01-08,0.7,0.0
2007-01-09,0.51,-27.66
2007-01-10,0.44,-14.51
2007-01-11,0.5,14.91
2007-01-12,0.44,-12.97
2008-01-01,0.36,-16.97
2008-01-02,0.53,45.86
2008-01-03,0.54,1.89
2008-01-04,0.75,39.59
2008-01-05,0.54,-28.36
2008-01-06,0.42,-22.49
2008-01-07,0.46,11.27
2008-01-08,0.37,-20.04
2008-01-09,0.29,-22.64
2008-01-10,0.21,-25.78
2008-01-11,0.2,-4.23
2008-01-12,0.23,13.73
2009-01-01,0.25,7.76
2009-01-02,0.21,-14.8
2009-01-03,0.2,-4.23
2009-01-04,0.23,13.73
2009-01-05,0.28,19.83
2009-01-06,0.31,10.07
2009-01-07,0.31,2.94
2009-01-08,0.33,6.03
2009-01-09,0.4,19.46
2009-01-10,0.36,-9.27
2009-01-11,0.35,-2.76
2009-01-12,0.36,2.84
2010-01-01,0.33,-7.79
2010-01-02,0.32,-5.56
2010-01-03,0.32,2.94
2010-01-04,0.33,2.86
2010-01-05,0.31,-8.33
2010-01-06,0.3,-3.03
2010-01-07,0.32,9.38
2010-01-08,0.35,8.57
2010-01-09,0.35,0.0
2010-01-10,0.4,13.16
2010-01-11,0.35,-11.63
2010-01-12,0.39,10.53
2011-01-01,0.35,-9.52
2011-01-02,0.36,2.63
2011-01-03,0.4,10.26
2011-01-04,0.43,6.98
2011-01-05,0.42,-2.17
2011-01-06,0.62,48.89
2011-01-07,0.88,41.79
2011-01-08,0.81,-8.42
2011-01-09,0.55,-32.18
2011-01-10,0.74,35.59
2011-01-11,0.74,0.0
2011-01-12,0.65,-12.5
2012-01-01,0.71,10.0
2012-01-02,0.72,1.3
2012-01-03,0.61,-15.38
2012-01-04,0.64,4.55
2012-01-05,0.62,-2.9
2012-01-06,0.7,13.43
2012-01-07,0.72,2.63
2012-01-08,0.73,1.28
2012-01-09,0.84,15.19
2012-01-10,0.98,16.48
2012-01-11,1.01,2.83
2012-01-12,0.98,-2.75
2013-01-01,1.1,12.26
2013-01-02,1.2,8.4
2013-01-03,1.6,34.11
2013-01-04,1.63,1.73
2013-01-05,1.23,-24.43
