month,close,change
2009-04-19,0.95,4.4
2009-04-26,0.97,2.11
2009-05-03,0.97,0.0
2009-05-10,0.98,1.03
2009-05-17,1.0,2.04
2009-05-24,1.0,0.0
2009-05-31,1.12,12.0
2009-06-07,1.15,2.68
2009-06-14,1.12,-2.61
2009-06-21,1.11,-0.89
2009-06-28,1.0,-9.91
2009-07-05,1.0,0.0
2009-07-12,1.06,6.0
2009-07-19,1.13,6.6
2009-07-26,1.19,5.31
2009-08-02,1.14,-4.2
2009-08-09,1.11,-2.63
2009-08-16,1.1,-0.9
2009-08-23,1.1,0.0
2009-08-30,1.23,11.82
2009-09-06,1.23,0.0
2009-09-13,1.27,3.25
2009-09-20,1.35,6.3
2009-09-27,1.3,-3.7
2009-10-04,1.32,1.54
2009-10-11,1.29,-2.27
2009-10-18,1.28,-0.78
2009-10-25,1.58,23.44
2009-11-01,1.59,0.63
2009-11-08,1.53,-3.77
2009-11-15,1.51,-1.31
2009-11-22,1.57,3.97
2009-11-29,1.53,-2.55
2009-12-06,1.6,4.58
2009-12-13,1.61,0.62
2009-12-20,1.65,2.48
2009-12-27,1.64,-0.61
2010-01-03,1.64,0.0
2010-01-10,1.6,-2.44
2010-01-17,1.53,-4.38
2010-01-24,1.46,-4.58
2010-01-31,1.47,0.68
2010-02-07,1.54,4.76
2010-02-14,1.58,2.6
2010-02-21,1.57,-0.63
2010-02-28,1.59,1.27
2010-03-07,1.46,-8.18
2010-03-14,1.52,4.11
2010-03-21,1.51,-0.66
2010-03-28,1.49,-1.32
2010-04-04,1.58,6.04
2010-04-11,1.52,-3.8
2010-04-18,1.5,-1.32
2010-04-25,1.52,1.33
2010-05-02,1.5,-1.32
2010-05-09,1.53,2.0
2010-05-16,1.61,5.23
2010-05-23,1.63,1.24
2010-05-30,1.63,0.0
2010-06-06,1.63,0.0
2010-06-13,1.69,3.68
2010-06-20,1.83,8.28
2010-06-27,1.86,1.64
2010-07-04,1.88,1.08
2010-07-11,1.91,1.6
2010-07-18,1.95,2.09
2010-07-25,1.95,0.0
2010-08-01,2.16,10.77
2010-08-08,2.4,11.11
2010-08-15,2.54,5.83
2010-08-22,2.64,3.94
2010-08-29,2.52,-4.55
2010-09-05,2.38,-5.56
2010-09-12,2.28,-4.2
2010-09-19,2.4,5.26
2010-09-26,2.3,-4.17
2010-10-03,2.36,2.61
2010-10-10,2.34,-0.85
2010-10-17,2.5,6.84
2010-10-24,2.46,-1.6
2010-10-31,2.42,-1.63
