month,close,change
2011-10-23,66.5,23.15
2011-10-30,64.75,-2.63
2011-11-06,64.75,0.0
2011-11-13,65.5,1.16
2011-11-20,62.25,-4.96
2011-11-27,66.25,6.43
2011-12-04,65.25,-1.51
2011-12-11,62.25,-4.6
2011-12-18,61.5,-1.2
2011-12-25,61.0,-0.81
2012-01-01,63.25,3.69
2012-01-08,61.0,-3.56
2012-01-15,63.25,3.69
2012-01-22,64.5,1.98
2012-01-29,67.25,4.26
2012-02-05,71.75,6.69
2012-02-12,74.25,3.48
2012-02-19,73.0,-1.68
2012-02-26,73.75,1.03
2012-03-04,72.25,-2.03
2012-03-11,71.0,-1.73
2012-03-18,73.0,2.82
2012-03-25,71.0,-2.74
2012-04-01,68.25,-3.87
2012-04-08,67.0,-1.83
2012-04-15,69.75,4.1
2012-04-22,69.25,-0.72
2012-04-29,70.25,1.44
2012-05-06,65.5,-6.76
2012-05-13,61.0,-6.87
2012-05-20,56.0,-8.2
2012-05-27,53.25,-4.91
2012-06-03,56.75,6.57
2012-06-10,58.0,2.2
2012-06-17,54.5,-6.03
2012-06-24,55.5,1.83
2012-07-01,57.25,3.15
2012-07-08,57.25,0.0
2012-07-15,60.75,6.11
2012-07-22,57.25,-5.76
2012-07-29,58.25,1.75
2012-08-05,64.0,9.87
2012-08-12,64.25,0.39
2012-08-19,63.0,-1.95
2012-08-26,62.5,-0.79
2012-09-02,60.5,-3.2
2012-09-09,63.75,5.37
2012-09-16,64.25,0.78
2012-09-23,63.0,-1.95
2012-09-30,61.75,-1.98
2012-10-07,60.0,-2.83
2012-10-14,60.5,0.83
2012-10-21,58.0,-4.13
2012-10-28,60.25,3.88
2012-11-04,61.5,2.07
2012-11-11,60.0,-2.44
2012-11-18,62.5,4.17
2012-11-25,65.0,4.0
2012-12-02,66.0,1.54
2012-12-09,67.5,2.27
2012-12-16,69.75,3.33
2012-12-23,70.0,0.36
2012-12-30,72.0,2.86
2013-01-06,76.0,5.56
2013-01-13,78.0,2.63
2013-01-20,79.5,1.92
2013-01-27,80.0,0.63
2013-02-03,76.0,-5.0
2013-02-10,79.25,4.28
2013-02-17,79.25,0.0
2013-02-24,76.25,-3.79
2013-03-03,74.5,-2.3
2013-03-10,73.75,-1.01
2013-03-17,66.25,-10.17
2013-03-24,70.75,6.79
2013-03-31,68.0,-3.89
2013-04-07,69.75,2.57
2013-04-14,67.5,-3.23
2013-04-21,72.25,7.04
2013-04-28,70.25,-2.77
2013-05-05,76.75,9.25
2013-05-12,73.5,-4.23
2013-05-19,73.5,0.0
2013-05-26,72.75,-1.02
