month,close,change
2005-01-01,4.54,5.83
2005-01-02,4.64,2.2
2005-01-03,4.15,-10.56
2005-01-04,3.29,-20.72
2005-01-05,3.59,9.12
2005-01-06,3.49,-2.79
2005-01-07,2.9,-16.91
2005-01-08,2.86,-1.38
2005-01-09,3.08,7.69
2005-01-10,3.02,-1.95
2005-01-11,2.95,-2.32
2005-01-12,2.84,-3.73
2006-01-01,2.9,2.11
2006-01-02,2.76,-4.83
2006-01-03,2.59,-6.16
2006-01-04,2.63,1.54
2006-01-05,2.6,-1.14
2006-01-06,2.24,-13.85
2006-01-07,2.28,1.79
2006-01-08,2.48,8.77
2006-01-09,2.83,14.11
2006-01-10,3.55,25.44
2006-01-11,5.38,51.55
2006-01-12,5.17,-3.9
2007-01-01,5.2,0.58
2007-01-02,5.66,8.85
2007-01-03,5.49,-3.0
2007-01-04,5.56,1.28
2007-01-05,5.84,5.04
2007-01-06,6.33,8.39
2007-01-07,6.33,0.0
2007-01-08,5.35,-15.48
2007-01-09,2.81,-47.48
2007-01-10,2.73,-2.85
2007-01-11,2.11,-22.71
2007-01-12,1.93,-8.53
2008-01-01,1.95,1.04
2008-01-02,2.07,6.15
2008-01-03,2.04,-1.45
2008-01-04,1.76,-13.73
2008-01-05,1.41,-19.89
2008-01-06,1.18,-16.31
2008-01-07,1.11,-5.93
2008-01-08,1.05,-5.41
2008-01-09,0.96,-8.57
2008-01-10,0.52,-45.83
2008-01-11,0.47,-9.62
2008-01-12,0.76,61.7
2009-01-01,0.9,18.42
2009-01-02,0.82,-8.89
2009-01-03,0.79,-3.66
2009-01-04,0.85,7.59
2009-01-05,0.91,7.06
2009-01-06,0.92,1.1
2009-01-07,0.92,0.0
2009-01-08,1.08,17.39
2009-01-09,1.5,38.89
2009-01-10,1.41,-6.0
2009-01-11,1.41,0.0
2009-01-12,1.43,1.42
2010-01-01,1.26,-11.89
2010-01-02,1.24,-1.59
2010-01-03,1.31,5.65
2010-01-04,1.15,-12.21
2010-01-05,1.12,-2.61
2010-01-06,1.28,14.29
2010-01-07,1.27,-0.78
2010-01-08,1.71,34.65
2010-01-09,1.83,7.02
2010-01-10,1.64,-10.38
2010-01-11,1.48,-9.76
2010-01-12,1.47,-0.68
2011-01-01,1.31,-10.88
2011-01-02,1.24,-5.34
2011-01-03,1.3,4.84
2011-01-04,1.26,-3.43
2011-01-05,1.17,-6.48
2011-01-06,1.13,-3.47
2011-01-07,1.18,4.1
2011-01-08,1.04,-11.82
2011-01-09,0.77,-25.7
2011-01-10,0.76,-1.5
2011-01-11,0.88,15.27
2011-01-12,0.9,1.99
2012-01-01,1.1,22.73
2012-01-02,0.99,-9.52
2012-01-03,0.94,-5.85
2012-01-04,1.03,9.94
2012-01-05,0.98,-4.52
2012-01-06,0.97,-1.18
2012-01-07,1.12,14.97
2012-01-08,1.27,13.54
2012-01-09,1.55,22.71
2012-01-10,1.58,1.87
2012-01-11,1.55,-1.83
2012-01-12,1.7,9.35
2013-01-01,1.82,6.84
2013-01-02,2.41,32.8
2013-01-03,2.89,19.88
2013-01-04,3.02,4.27
2013-01-05,2.52,-16.27
2013-01-06,1.91,-24.46
2013-01-07,1.81,-5.14
2013-01-08,1.67,-7.63
2013-01-09,1.83,9.78
2013-01-10,1.94,5.94
2013-01-11,1.83,-5.61
2013-01-12,1.64,-10.5
2014-01-01,1.55,-5.75
2014-01-02,1.66,7.51
2014-01-03,1.64,-1.31
2014-01-04,1.74,6.19
2014-01-05,1.99,13.98
2014-01-06,2.05,2.97
2014-01-07,1.93,-5.59
2014-01-08,2.31,19.44
2014-01-09,2.29,-0.78
2014-01-10,2.45,7.03
2014-01-11,2.83,15.33
2014-01-12,3.04,7.59
2015-01-01,4.29,41.18
2015-01-02,4.69,9.17
2015-01-03,3.58,-23.66
2015-01-04,4.06,13.4
2015-01-05,4.17,2.78
2015-01-06,4.32,3.6
2015-01-07,3.76,-13.04
2015-01-08,3.94,5.0
2015-01-09,3.79,-3.81
2015-01-10,3.68,-2.97
2015-01-11,3.61,-2.04
2015-01-12,3.61,0.0
2016-01-01,3.21,-10.94
2016-01-02,2.85,-11.11
2016-01-03,3.49,22.37
2016-01-04,3.64,4.3
2016-01-05,3.91,7.22
2016-01-06,4.09,4.81
2016-01-07,4.55,11.01
2016-01-08,4.09,-9.92
2016-01-09,3.74,-8.72
2016-01-10,3.91,4.52
2016-01-11,4.09,4.81
2016-01-12,4.28,4.59
2017-01-01,4.4,2.63
2017-01-02,4.13,-5.98
2017-01-03,4.51,9.09
2017-01-04,4.51,0.0
2017-01-05,4.55,0.83
2017-01-06,5.63,23.97
2017-01-07,5.75,2.0
2017-01-08,5.79,0.65
2017-01-09,6.27,8.44
2017-01-10,6.84,8.98
2017-01-11,7.4,8.24
2017-01-12,7.18,-3.05
2018-01-01,7.48,4.19
2018-01-02,6.95,-7.04
2018-01-03,6.76,-2.7
2018-01-04,6.72,-0.56
2018-01-05,7.4,10.0
2018-01-06,6.45,-12.85
2018-01-07,7.11,10.26
2018-01-08,7.02,-1.16
2018-01-09,7.31,4.12
2018-01-10,7.89,7.91
2018-01-11,7.89,0.0
2018-01-12,7.64,-3.14
2019-01-01,6.82,-10.81
2019-01-02,6.65,-2.42
2019-01-03,6.53,-1.86
2019-01-04,6.86,5.06
2019-01-05,6.91,0.72
2019-01-06,7.82,13.16
2019-01-07,7.41,-5.23
2019-01-08,6.82,-7.98
2019-01-09,6.68,-2.0
2019-01-10,5.82,-12.93
2019-01-11,5.5,-5.47
2019-01-12,5.45,-0.83
2020-01-01,5.45,0.0
2020-01-02,5.0,-8.33
2020-01-03,3.53,-29.45
2020-01-04,4.77,35.31
2020-01-05,4.82,0.95
2020-01-06,5.09,5.66
2020-01-07,6.32,24.11
2020-01-08,5.14,-18.71
2020-01-09,4.77,-7.08
2020-01-10,4.15,-13.14
2020-01-11,4.68,12.94
2020-01-12,4.04,-13.79
2021-01-01,4.07,0.9
2021-01-02,4.02,-1.34
2021-01-03,4.73,17.65
2021-01-04,4.35,-8.08
2021-01-05,4.73,8.79
2021-01-06,4.18,-11.54
2021-01-07,3.98,-4.78
2021-01-08,4.33,8.68
2021-01-09,4.15,-4.2
2021-01-10,4.13,-0.44
2021-01-11,4.0,-3.08
2021-01-12,4.25,6.36
2022-01-01,4.04,-5.13
2022-01-02,3.95,-2.25
2022-01-03,3.62,-8.29
2022-01-04,3.44,-5.03
2022-01-05,3.35,-2.65
2022-01-06,3.2,-4.35
2022-01-07,3.13,-2.27
2022-01-08,3.47,11.05
2022-01-09,3.27,-5.76
2022-01-10,3.13,-4.44
2022-01-11,3.27,4.65
2022-01-12,3.38,3.33
2023-01-01,3.51,3.76
2023-01-02,3.27,-6.74
2023-01-03,3.36,2.78
2023-01-04,3.24,-3.78
2023-01-05,3.2,-1.12
2023-01-06,2.75,-14.2
2023-01-07,2.89,5.3
2023-01-08,3.11,7.55
2023-01-09,2.76,-11.11
2023-01-10,2.53,-8.55
2023-01-11,2.45,-2.88
2023-01-12,2.29,-6.67
2024-01-01,2.35,2.38
2024-01-02,2.42,3.1
2024-01-03,2.53,4.51
2024-01-04,2.47,-2.16
2024-01-05,2.24,-9.41
2024-01-06,2.08,-7.14
2024-01-07,2.06,-0.96
2024-01-08,2.08,0.97
2024-01-09,2.38,14.42
2024-01-10,2.34,-1.68
2024-01-11,1.97,-15.81
2024-01-12,2.0,1.52
