month,close,change
2004-01-01,698.9,-9.49
2004-01-02,716.3,2.49
2004-01-03,647.3,-9.63
2004-01-04,648.15,0.13
2004-01-05,641.05,-1.1
2004-01-06,646.64,0.87
2004-01-07,636.7,-1.54
2004-01-08,624.59,-1.9
2004-01-09,644.67,3.21
2004-01-10,628.16,-2.56
2004-01-11,656.73,4.55
2004-01-12,668.1,1.73
2005-01-01,701.91,5.06
2005-01-02,741.55,5.65
2005-01-03,681.49,-8.1
2005-01-04,658.88,-3.32
2005-01-05,667.55,1.32
2005-01-06,675.5,1.19
2005-01-07,675.67,0.03
2005-01-08,697.85,3.28
2005-01-09,723.23,3.64
2005-01-10,682.62,-5.62
2005-01-11,667.75,-2.18
2005-01-12,713.73,6.89
2006-01-01,762.63,6.85
2006-01-02,744.05,-2.44
2006-01-03,733.25,-1.45
2006-01-04,768.29,4.78
2006-01-05,709.43,-7.66
2006-01-06,678.13,-4.41
2006-01-07,691.49,1.97
2006-01-08,690.9,-0.09
2006-01-09,686.1,-0.69
2006-01-10,722.46,5.3
2006-01-11,739.06,2.3
2006-01-12,679.84,-8.01
2007-01-01,654.04,-3.8
2007-01-02,677.13,3.53
2007-01-03,673.71,-0.51
2007-01-04,699.16,3.78
2007-01-05,737.4,5.47
2007-01-06,776.79,5.34
2007-01-07,859.76,10.68
2007-01-08,813.21,-5.41
2007-01-09,845.5,3.97
2007-01-10,907.28,7.31
2007-01-11,846.44,-6.71
2007-01-12,858.1,1.38
2008-01-01,784.23,-8.61
2008-01-02,845.76,7.85
2008-01-03,817.03,-3.4
2008-01-04,832.45,1.89
2008-01-05,833.65,0.14
2008-01-06,768.59,-7.8
2008-01-07,676.32,-12.01
2008-01-08,684.44,1.2
2008-01-09,596.54,-12.84
2008-01-10,416.53,-30.18
2008-01-11,401.84,-3.53
2008-01-12,449.96,11.97
2009-01-01,437.69,-2.73
2009-01-02,431.52,-1.41
2009-01-03,431.5,0.0
2009-01-04,491.69,13.95
2009-01-05,560.41,13.98
2009-01-06,597.48,6.61
2009-01-07,624.0,4.44
2009-01-08,653.25,4.69
2009-01-09,717.07,9.77
2009-01-10,685.24,-4.44
2009-01-11,689.07,0.56
2009-01-12,734.54,6.6
2010-01-01,696.55,-5.17
2010-01-02,721.37,3.56
2010-01-03,787.98,9.23
2010-01-04,763.51,-3.11
2010-01-05,750.43,-1.71
2010-01-06,797.31,6.25
2010-01-07,855.83,7.34
2010-01-08,913.19,6.7
2010-01-09,975.3,6.8
2010-01-10,984.46,0.94
2010-01-11,1005.12,2.1
2010-01-12,1032.76,2.75
2011-01-01,964.1,-6.65
2011-01-02,987.91,2.47
2011-01-03,1047.48,6.03
2011-01-04,1093.56,4.4
2011-01-05,1073.83,-1.8
2011-01-06,1041.48,-3.01
2011-01-07,1133.53,8.84
2011-01-08,1070.05,-5.6
2011-01-09,916.21,-14.38
2011-01-10,974.75,6.39
2011-01-11,995.33,2.11
2011-01-12,1025.32,3.01
2012-01-01,1083.97,5.72
2012-01-02,1160.9,7.1
2012-01-03,1196.77,3.09
2012-01-04,1228.49,2.65
2012-01-05,1141.5,-7.08
2012-01-06,1172.11,2.68
2012-01-07,1199.3,2.32
2012-01-08,1227.48,2.35
2012-01-09,1298.79,5.81
2012-01-10,1298.87,0.01
2012-01-11,1324.04,1.94
2012-01-12,1391.93,5.13
2013-01-01,1474.2,5.91
2013-01-02,1541.58,4.57
2013-01-03,1561.06,1.26
2013-01-04,1597.86,2.36
2013-01-05,1562.07,-2.24
2013-01-06,1451.9,-7.05
2013-01-07,1423.14,-1.98
2013-01-08,1294.3,-9.05
2013-01-09,1383.16,6.87
2013-01-10,1442.88,4.32
2013-01-11,1371.13,-4.97
2013-01-12,1298.71,-5.28
2014-01-01,1274.28,-1.88
2014-01-02,1325.33,4.01
2014-01-03,1376.26,3.84
2014-01-04,1414.94,2.81
2014-01-05,1415.73,0.06
2014-01-06,1485.75,4.95
2014-01-07,1502.39,1.12
2014-01-08,1561.63,3.94
2014-01-09,1585.67,1.54
2014-01-10,1584.16,-0.1
2014-01-11,1593.91,0.62
2014-01-12,1497.67,-6.04
2015-01-01,1581.25,5.58
2015-01-02,1587.01,0.36
2015-01-03,1505.94,-5.11
2015-01-04,1526.74,1.38
2015-01-05,1496.05,-2.01
2015-01-06,1504.55,0.57
2015-01-07,1440.12,-4.28
2015-01-08,1382.41,-4.01
2015-01-09,1349.0,-2.42
2015-01-10,1394.94,3.41
2015-01-11,1359.7,-2.53
2015-01-12,1288.02,-5.27
2016-01-01,1300.98,1.01
2016-01-02,1332.37,2.41
2016-01-03,1407.7,5.65
2016-01-04,1404.61,-0.22
2016-01-05,1424.28,1.4
2016-01-06,1444.99,1.45
2016-01-07,1524.07,5.47
2016-01-08,1548.44,1.6
2016-01-09,1483.21,-4.21
2016-01-10,1495.72,0.84
2016-01-11,1510.24,0.97
2016-01-12,1542.94,2.17
2017-01-01,1577.31,2.23
2017-01-02,1559.56,-1.13
2017-01-03,1575.11,1.0
2017-01-04,1566.32,-0.56
2017-01-05,1561.66,-0.3
2017-01-06,1574.74,0.84
2017-01-07,1576.08,0.09
2017-01-08,1616.16,2.54
2017-01-09,1673.16,3.53
2017-01-10,1721.37,2.88
2017-01-11,1697.39,-1.39
2017-01-12,1753.71,3.32
2018-01-01,1826.86,4.17
2018-01-02,1830.13,0.18
2018-01-03,1776.26,-2.94
2018-01-04,1780.11,0.22
2018-01-05,1726.97,-2.99
2018-01-06,1595.58,-7.61
2018-01-07,1701.79,6.66
2018-01-08,1721.58,1.16
2018-01-09,1756.41,2.02
2018-01-10,1669.09,-4.97
2018-01-11,1641.8,-1.64
2018-01-12,1563.88,-4.75
2019-01-01,1641.73,4.98
2019-01-02,1653.48,0.72
2019-01-03,1638.65,-0.9
2019-01-04,1673.52,2.13
2019-01-05,1620.22,-3.18
2019-01-06,1730.34,6.8
2019-01-07,1711.97,-1.06
2019-01-08,1654.92,-3.33
2019-01-09,1637.22,-1.07
2019-01-10,1601.49,-2.18
2019-01-11,1590.59,-0.68
2019-01-12,1579.84,-0.68
2020-01-01,1514.14,-4.16
2020-01-02,1340.52,-11.47
2020-01-03,1125.86,-16.01
2020-01-04,1301.66,15.61
2020-01-05,1342.85,3.16
2020-01-06,1339.03,-0.28
2020-01-07,1328.53,-0.78
2020-01-08,1310.66,-1.35
2020-01-09,1237.04,-5.62
2020-01-10,1194.95,-3.4
2020-01-11,1408.31,17.86
2020-01-12,1449.35,2.91
2021-01-01,1466.98,1.22
2021-01-02,1496.78,2.03
2021-01-03,1587.21,6.04
2021-01-04,1583.13,-0.26
2021-01-05,1593.59,0.66
2021-01-06,1587.79,-0.36
2021-01-07,1521.92,-4.15
2021-01-08,1638.75,7.68
2021-01-09,1605.68,-2.02
2021-01-10,1623.43,1.11
2021-01-11,1568.69,-3.37
2021-01-12,1657.62,5.67
2022-01-01,1648.81,-0.53
2022-01-02,1685.18,2.21
2022-01-03,1695.24,0.6
2022-01-04,1667.44,-1.64
2022-01-05,1663.41,-0.24
2022-01-06,1568.33,-5.72
2022-01-07,1576.41,0.52
2022-01-08,1638.93,3.97
2022-01-09,1589.51,-3.02
2022-01-10,1608.76,1.21
2022-01-11,1635.36,1.65
2022-01-12,1668.66,2.04
2023-01-01,1671.46,0.17
2023-01-02,1622.35,-2.94
2023-01-03,1609.17,-0.81
2023-01-04,1529.12,-4.97
2023-01-05,1533.54,0.29
2023-01-06,1503.1,-1.98
2023-01-07,1556.06,3.52
2023-01-08,1565.94,0.63
2023-01-09,1471.43,-6.04
2023-01-10,1381.83,-6.09
2023-01-11,1380.18,-0.12
