month,close,change
2005-01-06,1029.76,1.32
2005-01-07,1035.25,0.53
2005-01-08,1076.28,3.96
2005-01-09,1112.82,3.4
2005-01-10,1040.17,-6.53
2005-01-11,1015.77,-2.35
2005-01-12,1092.64,7.57
2006-01-01,1174.61,7.5
2006-01-02,1142.59,-2.73
2006-01-03,1113.58,-2.54
2006-01-04,1169.02,4.98
2006-01-05,1074.53,-8.08
2006-01-06,1026.28,-4.49
2006-01-07,1049.72,2.28
2006-01-08,1049.15,-0.05
2006-01-09,1044.47,-0.45
2006-01-10,1099.96,5.31
2006-01-11,1127.38,2.49
2006-01-12,1033.38,-8.34
2007-01-01,993.62,-3.85
2007-01-02,1032.63,3.93
2007-01-03,1024.43,-0.79
2007-01-04,1066.45,4.1
2007-01-05,1133.78,6.31
2007-01-06,1195.47,5.44
2007-01-07,1337.36,11.87
2007-01-08,1267.09,-5.25
2007-01-09,1328.47,4.84
2007-01-10,1443.25,8.64
2007-01-11,1338.28,-7.27
2007-01-12,1355.47,1.28
2008-01-01,1220.29,-9.97
2008-01-02,1321.4,8.29
2008-01-03,1267.68,-4.07
2008-01-04,1292.49,1.96
2008-01-05,1292.43,0.0
2008-01-06,1182.89,-8.48
2008-01-07,1024.76,-13.37
2008-01-08,1044.18,1.9
2008-01-09,897.54,-14.04
2008-01-10,615.21,-31.46
2008-01-11,592.63,-3.67
2008-01-12,671.35,13.28
2009-01-01,646.1,-3.76
2009-01-02,636.04,-1.56
2009-01-03,637.42,0.22
2009-01-04,739.22,15.97
2009-01-05,850.27,15.02
2009-01-06,916.66,7.81
2009-01-07,959.43,4.67
2009-01-08,1002.72,4.51
2009-01-09,1103.21,10.02
2009-01-10,1045.48,-5.23
2009-01-11,1042.71,-0.26
2009-01-12,1120.26,7.44
2010-01-01,1053.87,-5.93
2010-01-02,1091.32,3.55
2010-01-03,1201.57,10.1
2010-01-04,1160.24,-3.44
2010-01-05,1131.97,-2.44
2010-01-06,1197.01,5.75
2010-01-07,1280.03,6.94
2010-01-08,1371.79,7.17
2010-01-09,1481.69,8.01
2010-01-10,1489.59,0.53
2010-01-11,1526.11,2.45
2010-01-12,1573.02,3.07
2011-01-01,1461.67,-7.08
2011-01-02,1506.94,3.1
2011-01-03,1605.25,6.52
2011-01-04,1682.4,4.81
2011-01-05,1642.8,-2.35
