month,close,change
2005-01-01,203.09,7.99
2005-01-02,206.94,1.9
2005-01-03,197.9,-4.37
2005-01-04,192.64,-2.66
2005-01-05,182.01,-5.52
2005-01-06,184.1,1.15
2005-01-07,179.04,-2.75
2005-01-08,172.72,-3.53
2005-01-09,174.22,0.87
2005-01-10,167.03,-4.13
2005-01-11,156.47,-6.32
2005-01-12,158.23,1.12
2006-01-01,161.97,2.36
2006-01-02,167.46,3.39
2006-01-03,165.43,-1.21
2006-01-04,170.47,3.05
2006-01-05,162.64,-4.59
2006-01-06,155.73,-4.25
2006-01-07,159.2,2.23
2006-01-08,158.72,-0.3
2006-01-09,161.2,1.56
2006-01-10,176.51,9.5
2006-01-11,195.46,10.74
2006-01-12,193.43,-1.04
2007-01-01,185.54,-4.08
2007-01-02,194.25,4.69
2007-01-03,193.85,-0.21
2007-01-04,208.42,7.52
2007-01-05,212.16,1.79
2007-01-06,229.29,8.07
2007-01-07,261.39,14.0
2007-01-08,251.37,-3.83
2007-01-09,263.94,5.0
2007-01-10,294.88,11.72
2007-01-11,274.21,-7.01
2007-01-12,272.37,-0.67
2008-01-01,261.51,-3.99
2008-01-02,269.36,3.0
2008-01-03,272.81,1.28
2008-01-04,283.23,3.82
2008-01-05,276.42,-2.4
2008-01-06,256.44,-7.23
2008-01-07,240.59,-6.18
2008-01-08,238.65,-0.81
2008-01-09,216.93,-9.1
2008-01-10,162.5,-25.09
2008-01-11,156.79,-3.51
2008-01-12,162.93,3.92
2009-01-01,166.85,2.41
2009-01-02,160.59,-3.75
2009-01-03,152.13,-5.27
2009-01-04,163.69,7.6
2009-01-05,174.13,6.38
2009-01-06,192.15,10.35
2009-01-07,187.31,-2.52
2009-01-08,183.75,-1.9
2009-01-09,201.02,9.4
2009-01-10,209.93,4.43
2009-01-11,212.01,0.99
2009-01-12,215.3,1.55
2010-01-01,210.06,-2.43
2010-01-02,212.16,1.0
2010-01-03,212.43,0.13
2010-01-04,205.13,-3.44
2010-01-05,207.63,1.22
2010-01-06,230.84,11.18
2010-01-07,243.71,5.58
2010-01-08,253.45,4.0
2010-01-09,250.64,-1.11
2010-01-10,261.1,4.17
2010-01-11,261.54,0.17
