month,close,change
2005-01-01,273.09,3.49
2005-01-02,292.83,7.23
2005-01-03,266.0,-9.16
2005-01-04,257.57,-3.17
2005-01-05,261.75,1.62
2005-01-06,265.49,1.43
2005-01-07,271.79,2.37
2005-01-08,281.27,3.49
2005-01-09,290.33,3.22
2005-01-10,268.29,-7.59
2005-01-11,268.77,0.18
2005-01-12,291.98,8.64
2006-01-01,313.19,7.26
2006-01-02,304.57,-2.75
2006-01-03,293.46,-3.65
2006-01-04,306.59,4.47
2006-01-05,283.12,-7.66
2006-01-06,271.29,-4.18
2006-01-07,278.39,2.62
2006-01-08,279.4,0.36
2006-01-09,280.68,0.46
2006-01-10,295.65,5.33
2006-01-11,302.68,2.38
2006-01-12,274.85,-9.19
2007-01-01,264.18,-3.88
2007-01-02,275.02,4.1
2007-01-03,272.94,-0.76
2007-01-04,283.24,3.77
2007-01-05,299.41,5.71
2007-01-06,312.82,4.48
2007-01-07,349.85,11.84
2007-01-08,331.82,-5.15
2007-01-09,347.92,4.85
2007-01-10,381.77,9.73
2007-01-11,354.99,-7.01
2007-01-12,360.95,1.68
2008-01-01,329.96,-8.59
2008-01-02,356.68,8.1
2008-01-03,344.86,-3.31
2008-01-04,350.33,1.59
2008-01-05,348.09,-0.64
2008-01-06,319.43,-8.23
2008-01-07,277.23,-13.21
2008-01-08,286.15,3.22
2008-01-09,246.69,-13.79
2008-01-10,171.07,-30.65
2008-01-11,166.0,-2.96
2008-01-12,185.09,11.5
2009-01-01,178.66,-3.47
2009-01-02,175.98,-1.5
2009-01-03,177.54,0.89
2009-01-04,206.42,16.27
2009-01-05,234.66,13.68
2009-01-06,257.45,9.71
2009-01-07,267.26,3.81
2009-01-08,272.27,1.87
2009-01-09,299.21,9.89
2009-01-10,280.08,-6.39
2009-01-11,280.28,0.07
2009-01-12,301.7,7.64
2010-01-01,284.42,-5.73
2010-01-02,295.34,3.84
2010-01-03,329.52,11.57
2010-01-04,316.72,-3.88
2010-01-05,309.14,-2.39
2010-01-06,319.27,3.28
2010-01-07,337.6,5.74
2010-01-08,355.98,5.44
2010-01-09,391.67,10.03
2010-01-10,393.81,0.55
2010-01-11,398.41,1.17
2010-01-12,411.38,3.26
2011-01-01,384.28,-6.59
2011-01-02,401.67,4.53
2011-01-03,427.11,6.33
2011-01-04,444.94,4.17
2011-01-05,432.68,-2.76
2011-01-06,420.5,-2.82
2011-01-07,455.41,8.3
2011-01-08,421.0,-7.56
2011-01-09,359.4,-14.63
2011-01-10,399.75,11.23
2011-01-11,392.36,-1.85
2011-01-12,406.61,3.63
2012-01-01,431.43,6.1
2012-01-02,472.44,9.51
2012-01-03,478.73,1.33
2012-01-04,489.44,2.24
2012-01-05,446.9,-8.69
2012-01-06,460.3,3.0
2012-01-07,467.81,1.63
2012-01-08,465.17,-0.56
2012-01-09,490.45,5.43
2012-01-10,479.97,-2.14
2012-01-11,487.95,1.66
2012-01-12,515.87,5.72
2013-01-01,532.28,3.18
2013-01-02,542.52,1.92
2013-01-03,540.29,-0.41
2013-01-04,553.8,2.5
2013-01-05,532.04,-3.93
2013-01-06,517.54,-2.73
2013-01-07,506.82,-2.07
2013-01-08,460.0,-9.24
2013-01-09,489.9,6.5
2013-01-10,518.79,5.9
2013-01-11,487.86,-5.96
2013-01-12,460.44,-5.62
2014-01-01,452.86,-1.65
2014-01-02,466.69,3.05
2014-01-03,484.28,3.77
2014-01-04,498.18,2.87
2014-01-05,488.74,-1.89
2014-01-06,515.84,5.54
2014-01-07,518.98,0.61
2014-01-08,541.47,4.33
2014-01-09,549.92,1.56
2014-01-10,549.56,-0.07
2014-01-11,561.35,2.15
2014-01-12,522.17,-6.98
2015-01-01,536.87,2.82
2015-01-02,533.1,-0.7
2015-01-03,524.99,-1.52
2015-01-04,528.17,0.61
2015-01-05,518.03,-1.92
2015-01-06,521.94,0.75
2015-01-07,502.54,-3.72
2015-01-08,479.1,-4.66
2015-01-09,457.61,-4.49
2015-01-10,472.35,3.22
2015-01-11,459.1,-2.81
2015-01-12,425.33,-7.36
2016-01-01,439.38,3.3
2016-01-02,456.2,3.83
2016-01-03,482.06,5.67
2016-01-04,477.31,-0.99
2016-01-05,488.6,2.37
2016-01-06,489.87,0.26
2016-01-07,520.62,6.28
2016-01-08,532.99,2.38
2016-01-09,513.31,-3.69
2016-01-10,506.6,-1.31
2016-01-11,508.78,0.43
2016-01-12,520.76,2.35
2017-01-01,531.04,1.97
2017-01-02,528.5,-0.48
2017-01-03,538.53,1.9
2017-01-04,537.84,-0.13
2017-01-05,534.89,-0.55
2017-01-06,539.64,0.89
2017-01-07,543.15,0.65
2017-01-08,562.25,3.52
2017-01-09,580.34,3.22
2017-01-10,592.35,2.07
2017-01-11,592.81,0.08
2017-01-12,620.26,4.63
2018-01-01,646.55,4.24
2018-01-02,661.35,2.29
2018-01-03,643.27,-2.73
2018-01-04,642.9,-0.06
2018-01-05,618.7,-3.76
2018-01-06,574.53,-7.14
2018-01-07,621.81,8.23
2018-01-08,622.49,0.11
2018-01-09,633.08,1.7
2018-01-10,600.52,-5.14
2018-01-11,593.97,-1.09
2018-01-12,570.42,-3.96
2019-01-01,600.33,5.24
2019-01-02,601.4,0.18
2019-01-03,592.38,-1.5
2019-01-04,604.27,2.01
2019-01-05,584.64,-3.25
2019-01-06,620.76,6.18
2019-01-07,606.32,-2.33
2019-01-08,584.52,-3.6
2019-01-09,578.01,-1.11
2019-01-10,560.76,-2.98
2019-01-11,559.81,-0.17
2019-01-12,559.54,-0.05
2020-01-01,532.2,-4.89
2020-01-02,471.06,-11.49
2020-01-03,402.51,-14.55
2020-01-04,456.33,13.37
2020-01-05,467.83,2.52
2020-01-06,463.95,-0.83
2020-01-07,454.48,-2.04
2020-01-08,441.52,-2.85
2020-01-09,406.34,-7.97
2020-01-10,390.4,-3.92
2020-01-11,473.18,21.2
2020-01-12,481.96,1.86
2021-01-01,481.73,-0.05
2021-01-02,492.58,2.25
2021-01-03,520.09,5.58
2021-01-04,511.05,-1.74
2021-01-05,508.1,-0.58
2021-01-06,503.85,-0.84
2021-01-07,480.88,-4.56
2021-01-08,523.15,8.79
2021-01-09,507.93,-2.91
2021-01-10,512.67,0.93
2021-01-11,489.3,-4.56
2021-01-12,516.26,5.51
2022-01-01,515.62,-0.12
2022-01-02,530.96,2.98
2022-01-03,530.81,-0.03
2022-01-04,519.3,-2.17
2022-01-05,530.45,2.15
2022-01-06,502.05,-5.35
2022-01-07,512.64,2.11
2022-01-08,533.69,4.11
2022-01-09,515.28,-3.45
2022-01-10,525.85,2.05
2022-01-11,538.58,2.42
2022-01-12,548.88,1.91
2023-01-01,542.49,-1.16
2023-01-02,525.35,-3.16
2023-01-03,528.5,0.6
