month,close,change
2005-01-01,2.47,3.82
2005-01-02,2.37,-4.32
2005-01-03,2.26,-4.52
2005-01-04,1.82,-19.6
2005-01-05,1.99,9.25
2005-01-06,2.02,1.56
2005-01-07,1.76,-12.9
2005-01-08,1.82,3.47
2005-01-09,1.82,0.0
2005-01-10,1.79,-1.65
2005-01-11,1.59,-11.14
2005-01-12,1.8,13.48
2006-01-01,2.06,14.43
2006-01-02,2.17,5.19
2006-01-03,2.12,-2.12
2006-01-04,2.05,-3.58
2006-01-05,1.99,-3.03
2006-01-06,1.92,-3.07
2006-01-07,1.96,1.61
2006-01-08,1.63,-16.42
2006-01-09,1.68,2.82
2006-01-10,1.79,6.37
2006-01-11,1.99,11.08
2006-01-12,1.79,-9.97
2007-01-01,1.76,-1.73
2007-01-02,1.92,9.57
2007-01-03,1.96,1.61
2007-01-04,1.89,-3.12
2007-01-05,1.85,-2.43
2007-01-06,2.0,8.28
2007-01-07,2.05,2.3
2007-01-08,2.21,8.21
2007-01-09,2.24,1.35
2007-01-10,2.35,4.77
2007-01-11,2.87,22.07
2007-01-12,3.18,10.66
2008-01-01,3.06,-3.84
2008-01-02,3.56,16.5
2008-01-03,3.06,-14.16
2008-01-04,3.42,11.98
2008-01-05,3.93,14.97
2008-01-06,3.73,-5.24
2008-01-07,3.8,2.04
2008-01-08,3.86,1.39
2008-01-09,3.71,-3.76
2008-01-10,3.5,-5.77
2008-01-11,2.95,-15.7
2008-01-12,2.86,-3.12
2009-01-01,2.99,4.8
2009-01-02,3.06,2.07
2009-01-03,3.04,-0.52
2009-01-04,3.1,2.01
2009-01-05,3.36,8.39
2009-01-06,3.54,5.45
2009-01-07,3.97,12.08
2009-01-08,4.62,16.34
2009-01-09,5.42,17.36
2009-01-10,5.42,0.0
2009-01-11,5.65,4.22
2009-01-12,5.99,6.09
2010-01-01,6.53,8.91
2010-01-02,6.53,0.0
2010-01-03,6.38,-2.34
2010-01-04,6.34,-0.6
2010-01-05,6.49,2.41
2010-01-06,6.53,0.59
2010-01-07,7.26,11.12
2010-01-08,7.33,1.05
2010-01-09,7.71,5.21
2010-01-10,8.25,6.92
2010-01-11,9.62,16.67
2010-01-12,10.61,10.32
2011-01-01,10.69,0.72
2011-01-02,11.76,10.0
2011-01-03,11.38,-3.25
2011-01-04,13.44,18.12
2011-01-05,13.06,-2.84
2011-01-06,12.29,-5.85
2011-01-07,12.91,4.97
2011-01-08,12.83,-0.59
2011-01-09,10.46,-18.45
2011-01-10,10.08,-3.65
2011-01-11,9.39,-6.82
2011-01-12,9.62,2.44
2012-01-01,9.62,0.0
2012-01-02,9.47,-1.59
2012-01-03,9.47,0.0
2012-01-04,10.08,6.45
2012-01-05,8.27,-17.92
2012-01-06,7.81,-5.58
2012-01-07,7.69,-1.61
2012-01-08,6.76,-12.02
2012-01-09,6.72,-0.62
2012-01-10,6.38,-5.0
2012-01-11,5.75,-9.87
2012-01-12,5.88,2.19
2013-01-01,6.97,18.57
2013-01-02,6.68,-4.22
2013-01-03,5.0,-25.16
2013-01-04,5.0,0.0
2013-01-05,5.7,14.05
2013-01-06,4.56,-20.0
2013-01-07,4.3,-5.7
2013-01-08,4.04,-6.05
2013-01-09,4.46,10.4
2013-01-10,4.84,8.52
2013-01-11,4.52,-6.61
2013-01-12,4.46,-1.33
2014-01-01,4.48,0.45
2014-01-02,4.1,-8.48
2014-01-03,4.28,4.39
2014-01-04,4.26,-0.47
2014-01-05,4.2,-1.41
2014-01-06,4.38,4.29
2014-01-07,4.36,-0.46
2014-01-08,4.66,6.88
2014-01-09,5.7,22.32
2014-01-10,5.25,-7.89
2014-01-11,5.4,2.86
2014-01-12,4.98,-7.78
2015-01-01,5.0,0.4
2015-01-02,5.15,3.0
2015-01-03,4.84,-6.02
2015-01-04,4.88,0.83
2015-01-05,4.28,-12.3
2015-01-06,4.22,-1.4
2015-01-07,4.08,-3.32
2015-01-08,3.82,-6.37
2015-01-09,3.9,2.09
2015-01-10,4.12,5.64
2015-01-11,4.72,14.56
2015-01-12,4.28,-9.32
2016-01-01,4.14,-3.27
2016-01-02,4.4,6.28
2016-01-03,4.54,3.18
2016-01-04,4.9,7.93
2016-01-05,5.0,2.04
2016-01-06,5.5,10.0
2016-01-07,5.6,1.82
2016-01-08,5.55,-0.89
2016-01-09,5.1,-8.11
2016-01-10,5.3,3.92
2016-01-11,5.4,1.89
2016-01-12,6.5,20.37
2017-01-01,7.65,17.69
2017-01-02,7.1,-7.19
2017-01-03,7.15,0.7
2017-01-04,6.9,-3.5
2017-01-05,7.05,2.17
2017-01-06,7.05,0.0
2017-01-07,7.35,4.26
2017-01-08,7.9,7.48
2017-01-09,7.55,-4.43
2017-01-10,8.85,17.22
2017-01-11,7.8,-11.86
2017-01-12,8.0,2.56
2018-01-01,8.35,4.38
2018-01-02,9.5,13.77
2018-01-03,9.05,-4.74
2018-01-04,8.5,-6.08
2018-01-05,9.15,7.65
2018-01-06,8.25,-9.84
2018-01-07,8.95,8.48
2018-01-08,8.85,-1.12
2018-01-09,8.95,1.13
2018-01-10,9.0,0.56
2018-01-11,9.9,10.0
2018-01-12,9.8,-1.01
2019-01-01,9.65,-1.53
2019-01-02,11.3,17.1
2019-01-03,11.7,3.54
2019-01-04,11.2,-4.27
2019-01-05,9.05,-19.2
2019-01-06,9.65,6.63
2019-01-07,9.0,-6.74
2019-01-08,9.15,1.67
2019-01-09,9.05,-1.09
2019-01-10,8.5,-6.08
2019-01-11,8.4,-1.18
2019-01-12,7.55,-10.12
2020-01-01,8.0,5.96
2020-01-02,7.05,-11.87
2020-01-03,5.3,-24.82
2020-01-04,6.7,26.42
2020-01-05,7.6,13.43
2020-01-06,8.35,9.87
2020-01-07,10.2,22.16
2020-01-08,14.4,41.18
2020-01-09,16.5,14.58
2020-01-10,19.8,20.0
2020-01-11,18.5,-6.57
2020-01-12,17.5,-5.41
2021-01-01,19.8,13.14
2021-01-02,20.1,1.52
2021-01-03,26.0,29.35
2021-01-04,32.0,23.08
2021-01-05,32.5,1.56
2021-01-06,38.25,17.69
2021-01-07,35.0,-8.5
2021-01-08,34.75,-0.71
2021-01-09,32.25,-7.19
2021-01-10,36.5,13.18
2021-01-11,41.0,12.33
2021-01-12,44.0,7.32
2022-01-01,42.75,-2.84
2022-01-02,40.0,-6.43
2022-01-03,40.25,0.63
2022-01-04,40.75,1.24
2022-01-05,29.5,-27.61
2022-01-06,26.5,-10.17
2022-01-07,28.25,6.6
2022-01-08,29.25,3.54
2022-01-09,25.5,-12.82
2022-01-10,26.0,1.96
2022-01-11,26.5,1.92
2022-01-12,26.0,-1.89
2023-01-01,26.75,2.88
2023-01-02,26.0,-2.8
2023-01-03,23.5,-9.62
2023-01-04,20.8,-11.49
2023-01-05,19.8,-4.81
2023-01-06,17.5,-11.62
2023-01-07,16.6,-5.14
2023-01-08,24.0,44.58
2023-01-09,22.2,-7.5
2023-01-10,18.8,-15.32
2023-01-11,21.1,12.23
2023-01-12,21.6,2.37
2024-01-01,22.4,3.7
2024-01-02,22.5,0.45
2024-01-03,27.5,22.22
2024-01-04,27.75,0.91
2024-01-05,28.25,1.8
2024-01-06,26.25,-7.08
2024-01-07,23.7,-9.71
2024-01-08,26.25,10.76
2024-01-09,26.25,0.0
2024-01-10,25.5,-2.86
2024-01-11,29.25,14.71
2024-01-12,28.5,-2.56
