month,close,change
2005-01-01,0.58,11.54
2005-01-02,0.57,-1.72
2005-01-03,0.53,-7.02
2005-01-04,0.53,0.0
2005-01-05,0.36,-32.08
2005-01-06,0.36,0.0
2005-01-07,0.34,-5.56
2005-01-08,0.34,0.0
2005-01-09,0.34,0.0
2005-01-10,0.19,-44.12
2005-01-11,0.16,-15.79
2013-01-11,2.12,
2013-01-12,1.8,-15.48
2014-01-01,2.08,15.84
2014-01-02,2.51,20.73
2014-01-03,3.38,34.51
2014-01-04,4.4,30.26
2014-01-05,4.4,0.0
2014-01-06,4.38,-0.51
2014-01-07,4.8,9.64
2014-01-08,5.16,7.41
2014-01-09,5.16,0.0
2014-01-10,5.36,3.88
2014-01-11,5.82,8.71
2014-01-12,5.78,-0.76
2015-01-01,6.6,14.23
2015-01-02,6.6,0.0
2015-01-03,6.49,-1.68
2015-01-04,8.05,24.06
2015-01-05,5.55,-31.06
2015-01-06,4.88,-12.07
2015-01-07,5.1,4.51
2015-01-08,5.15,0.98
2015-01-09,5.1,-0.97
2015-01-10,6.2,21.57
2015-01-11,6.4,3.23
2015-01-12,6.8,6.25
2016-01-01,8.8,29.41
2016-01-02,8.45,-3.98
2016-01-03,9.8,15.98
2016-01-04,9.25,-5.61
2016-01-05,11.0,18.92
2016-01-06,10.6,-3.64
2016-01-07,12.0,13.21
2016-01-08,13.3,10.83
2016-01-09,14.8,11.28
2016-01-10,17.6,18.92
2016-01-11,15.9,-9.66
2016-01-12,15.7,-1.26
2017-01-01,16.9,7.64
2017-01-02,16.3,-3.55
2017-01-03,16.5,1.23
2017-01-04,14.6,-11.52
2017-01-05,14.9,2.05
2017-01-06,14.0,-6.04
2017-01-07,14.0,0.0
2017-01-08,12.1,-13.57
2017-01-09,13.8,14.05
2017-01-10,13.3,-3.62
2017-01-11,14.3,7.52
2017-01-12,14.3,0.0
2018-01-01,13.7,-4.2
2018-01-02,13.9,1.46
2018-01-03,14.4,3.6
2018-01-04,13.5,-6.25
2018-01-05,13.4,-0.74
2018-01-06,12.6,-5.97
2018-01-07,12.7,0.79
2018-01-08,14.0,10.24
2018-01-09,13.4,-4.29
2018-01-10,13.6,1.49
2018-01-11,13.1,-3.68
2018-01-12,12.5,-4.58
2019-01-01,12.0,-4.0
2019-01-02,11.4,-5.0
2019-01-03,10.7,-6.14
2019-01-04,9.65,-9.81
2019-01-05,7.3,-24.35
2019-01-06,8.35,14.38
2019-01-07,7.8,-6.59
2019-01-08,8.05,3.21
2019-01-09,8.05,0.0
2019-01-10,7.65,-4.97
2019-01-11,6.55,-14.38
2019-01-12,6.35,-3.05
2020-01-01,5.75,-9.45
2020-01-02,5.3,-7.83
2020-01-03,4.34,-18.11
2020-01-04,6.7,54.38
2020-01-05,8.45,26.12
2020-01-06,8.3,-1.78
2020-01-07,11.4,37.35
2020-01-08,12.1,6.14
2020-01-09,12.2,0.83
2020-01-10,11.3,-7.38
2020-01-11,10.9,-3.54
2020-01-12,10.3,-5.5
2021-01-01,10.9,5.83
2021-01-02,10.6,-2.75
2021-01-03,11.3,6.6
2021-01-04,11.0,-2.65
2021-01-05,11.0,0.0
2021-01-06,10.7,-2.73
2021-01-07,10.6,-0.93
2021-01-08,11.1,4.72
2021-01-09,12.7,14.41
2021-01-10,11.5,-9.45
2021-01-11,11.0,-4.35
2021-01-12,11.9,8.18
2022-01-01,13.1,10.08
2022-01-02,13.7,4.58
2022-01-03,13.8,0.73
2022-01-04,14.6,5.8
2022-01-05,15.3,4.79
2022-01-06,15.1,-1.31
2022-01-07,15.7,3.97
2022-01-08,15.2,-3.18
2022-01-09,15.3,0.66
2022-01-10,14.8,-3.27
2022-01-11,13.3,-10.14
2022-01-12,13.0,-2.26
2023-01-01,13.2,1.54
2023-01-02,12.3,-6.82
2023-01-03,12.3,0.0
2023-01-04,11.1,-9.76
2023-01-05,10.6,-4.5
2023-01-06,10.7,0.94
2023-01-07,10.7,0.0
2023-01-08,11.1,3.74
2023-01-09,11.1,0.0
2023-01-10,10.6,-4.5
2023-01-11,10.6,0.0
2023-01-12,9.65,-8.96
2024-01-01,9.5,-1.55
2024-01-02,8.15,-14.21
2024-01-03,9.0,10.43
2024-01-04,9.55,6.11
2024-01-05,9.8,2.62
2024-01-06,9.5,-3.06
2024-01-07,9.2,-3.16
2024-01-08,9.65,4.89
2024-01-09,9.9,2.59
2024-01-10,9.8,-1.01
2024-01-11,9.4,-4.08
2024-01-12,9.4,0.0
