month,close,change
2005-01-01,3.26,10.14
2005-01-02,3.34,2.45
2005-01-03,3.26,-2.4
2005-01-04,3.26,0.0
2005-01-05,4.66,42.94
2005-01-06,5.0,7.3
2005-01-07,5.35,7.0
2005-01-08,4.8,-10.28
2005-01-09,4.98,3.75
2005-01-10,4.76,-4.42
2005-01-11,4.54,-4.62
2005-01-12,4.72,3.96
2006-01-01,4.94,4.66
2006-01-02,5.55,12.35
2006-01-03,6.25,12.61
2006-01-04,5.85,-6.4
2006-01-05,5.7,-2.56
2006-01-06,5.45,-4.39
2006-01-07,5.9,8.26
2006-01-08,5.4,-8.47
2006-01-09,5.6,3.7
2006-01-10,6.25,11.61
2006-01-11,6.65,6.4
2006-01-12,7.25,9.02
2007-01-01,7.25,0.0
2007-01-02,7.05,-2.76
2007-01-03,6.9,-2.13
2007-01-04,7.65,10.87
2007-01-05,9.3,21.57
2007-01-06,11.6,24.73
2007-01-07,17.3,49.14
2007-01-08,15.8,-8.67
2007-01-09,12.6,-20.25
2007-01-10,13.5,7.14
2007-01-11,13.6,0.74
2007-01-12,13.0,-4.41
2008-01-01,11.0,-15.38
2008-01-02,10.9,-0.91
2008-01-03,10.0,-8.26
2008-01-04,10.7,7.0
2008-01-05,8.4,-21.5
2008-01-06,7.9,-5.95
2008-01-07,5.9,-25.32
2008-01-08,6.35,7.63
2008-01-09,5.7,-10.24
2008-01-10,3.44,-39.65
2008-01-11,3.4,-1.16
2008-01-12,4.0,17.65
2009-01-01,3.96,-1.0
2009-01-02,3.9,-1.52
2009-01-03,3.72,-4.62
2009-01-04,4.06,9.14
2009-01-05,4.5,10.84
2009-01-06,4.72,4.89
2009-01-07,4.8,1.69
2009-01-08,5.6,16.67
2009-01-09,6.15,9.82
2009-01-10,6.15,0.0
2009-01-11,5.9,-4.07
2009-01-12,6.4,8.47
2010-01-01,6.05,-5.47
2010-01-02,6.85,13.22
2010-01-03,7.9,15.33
2010-01-04,8.65,9.49
2010-01-05,9.2,6.36
2010-01-06,10.6,15.22
2010-01-07,13.1,23.58
2010-01-08,13.1,0.0
2010-01-09,13.1,0.0
2010-01-10,17.5,33.59
2010-01-11,18.0,2.86
2010-01-12,18.6,3.33
2011-01-01,20.0,7.53
2011-01-02,19.5,-2.5
2011-01-03,19.9,2.05
2011-01-04,21.5,8.04
2011-01-05,24.6,14.42
2011-01-06,24.0,-2.44
2011-01-07,30.75,28.13
2011-01-08,24.9,-19.02
2011-01-09,19.2,-22.89
2011-01-10,20.2,5.21
2011-01-11,21.9,8.42
2011-01-12,21.9,0.0
2012-01-01,24.2,10.5
2012-01-02,25.75,6.4
2012-01-03,29.25,13.59
2012-01-04,30.5,4.27
2012-01-05,23.9,-21.64
2012-01-06,25.25,5.65
2012-01-07,27.0,6.93
2012-01-08,27.25,0.93
2012-01-09,27.25,0.0
2012-01-10,23.1,-15.23
2012-01-11,23.6,2.16
2012-01-12,24.5,3.81
2013-01-01,24.8,1.22
2013-01-02,24.3,-2.02
2013-01-03,24.6,1.23
2013-01-04,24.4,-0.81
2013-01-05,26.75,9.63
2013-01-06,24.3,-9.16
2013-01-07,24.1,-0.82
2013-01-08,18.7,-22.41
2013-01-09,19.5,4.28
2013-01-10,19.7,1.03
2013-01-11,15.5,-21.32
2013-01-12,15.7,1.29
2014-01-01,15.1,-3.82
2014-01-02,15.0,-0.66
2014-01-03,15.5,3.33
2014-01-04,16.9,9.03
2014-01-05,18.4,8.88
2014-01-06,18.8,2.17
2014-01-07,18.4,-2.13
2014-01-08,17.0,-7.61
2014-01-09,16.9,-0.59
2014-01-10,15.3,-9.47
2014-01-11,15.4,0.65
2014-01-12,14.0,-9.09
2015-01-01,15.2,8.57
2015-01-02,15.8,3.95
2015-01-03,15.4,-2.53
2015-01-04,16.0,3.9
2015-01-05,15.7,-1.88
2015-01-06,15.7,0.0
2015-01-07,15.1,-3.82
2015-01-08,13.8,-8.61
2015-01-09,13.7,-0.72
2015-01-10,14.1,2.92
2015-01-11,14.0,-0.71
2015-01-12,13.7,-2.14
2016-01-01,13.7,0.0
2016-01-02,14.2,3.65
2016-01-03,14.7,3.52
2016-01-04,15.7,6.8
2016-01-05,15.2,-3.18
2016-01-06,15.0,-1.32
2016-01-07,15.0,0.0
2016-01-08,14.4,-4.0
2016-01-09,13.4,-6.94
2016-01-10,14.3,6.72
2016-01-11,14.8,3.5
2016-01-12,15.0,1.35
2017-01-01,15.7,4.67
2017-01-02,15.6,-0.64
2017-01-03,16.8,7.69
2017-01-04,15.8,-5.95
2017-01-05,14.5,-8.23
2017-01-06,14.5,0.0
2017-01-07,14.3,-1.38
2017-01-08,14.5,1.4
2017-01-09,14.5,0.0
2017-01-10,14.3,-1.38
2017-01-11,13.9,-2.8
2017-01-12,14.0,0.72
2018-01-01,14.1,0.71
2018-01-02,14.3,1.42
2018-01-03,15.4,7.69
2018-01-04,15.4,0.0
2018-01-05,16.0,3.9
2018-01-06,14.0,-12.5
2018-01-07,14.8,5.71
2018-01-08,14.5,-2.03
2018-01-09,14.7,1.38
2018-01-10,14.1,-4.08
2018-01-11,14.4,2.13
2018-01-12,13.5,-6.25
2019-01-01,14.1,4.44
2019-01-02,13.8,-2.13
2019-01-03,13.3,-3.62
2019-01-04,13.7,3.01
2019-01-05,13.6,-0.73
2019-01-06,13.9,2.21
2019-01-07,14.1,1.44
2019-01-08,13.5,-4.26
2019-01-09,13.3,-1.48
2019-01-10,13.1,-1.5
2019-01-11,11.1,-15.27
2019-01-12,10.0,-9.91
2020-01-01,9.2,-8.0
2020-01-02,7.6,-17.39
2020-01-03,6.8,-10.53
2020-01-04,8.15,19.85
2020-01-05,8.95,9.82
2020-01-06,8.65,-3.35
2020-01-07,9.0,4.05
2020-01-08,10.0,11.11
2020-01-09,9.85,-1.5
2020-01-10,9.9,0.51
2020-01-11,12.9,30.3
2020-01-12,12.0,-6.98
2021-01-01,12.3,2.5
2021-01-02,13.1,6.5
2021-01-03,13.8,5.34
2021-01-04,14.7,6.52
2021-01-05,14.5,-1.36
2021-01-06,14.7,1.38
2021-01-07,14.2,-3.4
2021-01-08,13.4,-5.63
2021-01-09,13.9,3.73
2021-01-10,14.1,1.44
2021-01-11,15.6,10.64
2021-01-12,17.8,14.1
2022-01-01,17.3,-2.81
2022-01-02,17.1,-1.16
2022-01-03,18.1,5.85
2022-01-04,20.4,12.71
2022-01-05,19.0,-6.86
2022-01-06,17.4,-8.42
2022-01-07,18.5,6.32
2022-01-08,17.0,-8.11
2022-01-09,16.9,-0.59
2022-01-10,16.4,-2.96
2022-01-11,13.7,-16.46
2022-01-12,14.0,2.19
2023-01-01,14.3,2.14
2023-01-02,14.4,0.7
2023-01-03,13.9,-3.47
2023-01-04,13.5,-2.88
2023-01-05,11.3,-16.3
2023-01-06,10.1,-10.62
2023-01-07,10.2,0.99
2023-01-08,10.7,4.9
2023-01-09,10.2,-4.67
2023-01-10,9.7,-4.9
2023-01-11,8.7,-10.31
2023-01-12,8.75,0.57
2024-01-01,8.65,-1.14
2024-01-02,7.25,-16.18
2024-01-03,7.15,-1.38
2024-01-04,6.85,-4.2
2024-01-05,7.15,4.38
2024-01-06,6.7,-6.29
2024-01-07,5.3,-20.9
2024-01-08,6.25,17.92
2024-01-09,5.9,-5.6
2024-01-10,5.85,-0.85
2024-01-11,5.4,-7.69
2024-01-12,5.7,5.56
