month,close,change
2012-07-08,19.4,-1.52
2012-07-15,21.6,11.34
2012-07-22,21.2,-1.85
2012-07-29,23.6,11.32
2012-08-05,24.5,3.81
2012-08-12,29.5,20.41
2012-08-19,33.25,12.71
2012-08-26,32.75,-1.5
2012-09-02,33.25,1.53
2012-09-09,33.25,0.0
2012-09-16,37.75,13.53
2012-09-23,39.0,3.31
2012-09-30,41.5,6.41
2012-10-07,37.0,-10.84
2012-10-14,38.25,3.38
2012-10-21,38.0,-0.65
2012-10-28,37.5,-1.32
2012-11-04,37.0,-1.33
2012-11-11,37.5,1.35
2012-11-18,38.0,1.33
2012-11-25,40.5,6.58
2012-12-02,39.25,-3.09
2012-12-09,39.5,0.64
2012-12-16,39.25,-0.63
2012-12-23,38.25,-2.55
2012-12-30,38.25,0.0
2013-01-06,38.5,0.65
2013-01-13,38.25,-0.65
2013-01-20,37.75,-1.31
2013-01-27,38.5,1.99
2013-02-03,44.75,16.23
2013-02-10,55.5,24.02
2013-02-17,53.5,-3.6
2013-02-24,58.75,9.81
2013-03-03,64.25,9.36
2013-03-10,65.5,1.95
2013-03-17,53.25,-18.7
2013-03-24,59.75,12.21
2013-03-31,55.5,-7.11
2013-04-07,56.5,1.8
2013-04-14,56.0,-0.88
2013-04-21,54.0,-3.57
2013-04-28,54.75,1.39
2013-05-05,58.0,5.94
2013-05-12,55.0,-5.17
2013-05-19,56.0,1.82
2013-05-26,53.75,-4.02
2013-06-02,51.75,-3.72
2013-06-09,46.5,-10.14
2013-06-16,40.5,-12.9
2013-06-23,40.25,-0.62
2013-06-30,38.25,-4.97
2013-07-07,38.0,-0.65
2013-07-14,42.0,10.53
2013-07-21,39.25,-6.55
2013-07-28,35.0,-10.83
2013-08-04,36.0,2.86
2013-08-11,34.25,-4.86
2013-08-18,33.75,-1.46
2013-08-25,31.5,-6.67
2013-09-01,31.5,0.0
2013-09-08,35.5,12.7
2013-09-15,37.0,4.23
2013-09-22,34.0,-8.11
2013-09-29,35.25,3.68
2013-10-06,36.0,2.13
2013-10-13,41.0,13.89
2013-10-20,39.0,-4.88
2013-10-27,37.25,-4.49
2013-11-03,35.5,-4.7
2013-11-10,37.75,6.34
2013-11-17,34.25,-9.27
2013-11-24,34.5,0.73
2013-12-01,34.25,-0.72
2013-12-08,34.0,-0.73
2013-12-15,33.5,-1.47
2013-12-22,32.25,-3.73
2013-12-29,29.75,-7.75
2014-01-05,30.0,0.84
2014-01-12,32.5,8.33
2014-01-19,34.5,6.15
2014-01-26,33.75,-2.17
2014-02-02,37.25,10.37
2014-02-09,37.5,0.67
2014-02-16,37.5,0.0
2014-02-23,37.25,-0.67
2014-03-02,38.0,2.01
2014-03-09,39.0,2.63
2014-03-16,37.75,-3.21
2014-03-23,35.25,-6.62
2014-03-30,37.25,5.67
2014-04-06,38.25,2.68
2014-04-13,38.75,1.31
2014-04-20,38.0,-1.94
2014-04-27,36.25,-4.61
2014-05-04,36.0,-0.69
2014-05-11,34.0,-5.56
2014-05-18,34.25,0.74
2014-05-25,35.75,4.38
2014-06-01,35.5,-0.7
2014-06-08,35.75,0.7
2014-06-15,34.5,-3.5
