month,close,change
2014-06-08,4.94,-14.09
2014-06-15,4.5,-8.91
2014-06-22,4.32,-4.0
2014-06-29,4.3,-0.46
2014-07-06,3.98,-7.44
2014-07-13,4.18,5.03
2014-07-20,4.6,10.05
2014-07-27,4.24,-7.83
2014-08-03,4.64,9.43
2014-08-10,4.92,6.03
2014-08-17,4.88,-0.81
2014-08-24,5.05,3.48
2014-08-31,5.0,-0.99
2014-09-07,4.84,-3.2
2014-09-14,4.86,0.41
2014-09-21,4.9,0.82
2014-09-28,4.62,-5.71
2014-10-05,4.52,-2.16
2014-10-12,4.34,-3.98
2014-10-19,4.38,0.92
2014-10-26,4.6,5.02
2014-11-02,4.8,4.35
2014-11-09,4.56,-5.0
2014-11-16,4.4,-3.51
2014-11-23,4.38,-0.45
2014-11-30,4.44,1.37
2014-12-07,4.12,-7.21
2014-12-14,3.9,-5.34
2014-12-21,3.78,-3.08
2014-12-28,3.74,-1.06
2015-01-04,3.84,2.67
2015-01-11,3.96,3.13
2015-01-18,3.84,-3.03
2015-01-25,3.84,0.0
2015-02-01,3.86,0.52
2015-02-08,4.06,5.18
2015-02-15,4.16,2.46
2015-02-22,4.18,0.48
2015-03-01,3.92,-6.22
2015-03-08,3.82,-2.55
2015-03-15,3.68,-3.66
2015-03-22,3.36,-8.7
2015-03-29,3.5,4.17
2015-04-05,3.52,0.57
2015-04-12,3.9,10.8
2015-04-19,3.7,-5.13
2015-04-26,3.64,-1.62
2015-05-03,3.46,-4.95
2015-05-10,3.58,3.47
2015-05-17,3.56,-0.56
2015-05-24,3.52,-1.12
2015-05-31,3.52,0.0
2015-06-07,3.56,1.14
2015-06-14,3.6,1.12
2015-06-21,3.58,-0.56
2015-06-28,3.64,1.68
2015-07-05,3.62,-0.55
2015-07-12,3.7,2.21
2015-07-19,3.48,-5.95
2015-07-26,3.4,-2.3
2015-08-02,3.42,0.59
2015-08-09,3.2,-6.43
2015-08-16,3.14,-1.87
2015-08-23,3.14,0.0
2015-08-30,3.06,-2.55
2015-09-06,3.16,3.27
2015-09-13,3.18,0.63
2015-09-20,3.14,-1.26
2015-09-27,3.08,-1.91
2015-10-04,3.12,1.3
2015-10-11,3.2,2.56
2015-10-18,3.28,2.5
2015-10-25,3.2,-2.44
2015-11-01,3.34,4.37
2015-11-08,3.2,-4.19
2015-11-15,3.2,0.0
2015-11-22,3.2,0.0
2015-11-29,3.2,0.0
2015-12-06,3.08,-3.75
2015-12-13,3.08,0.0
2015-12-20,3.04,-1.3
2015-12-27,3.2,5.26
2016-01-03,3.08,-3.75
2016-01-10,3.22,4.55
2016-01-17,3.26,1.24
2016-01-24,3.24,-0.61
2016-01-31,3.22,-0.62
2016-02-07,3.2,-0.62
2016-02-14,3.16,-1.25
2016-02-21,3.18,0.63
2016-02-28,3.14,-1.26
2016-03-06,3.14,0.0
2016-03-13,3.16,0.64
2016-03-20,3.08,-2.53
2016-03-27,3.08,0.0
2016-04-03,3.04,-1.3
2016-04-10,3.06,0.66
2016-04-17,3.1,1.31
2016-04-24,3.14,1.29
2016-05-01,3.12,-0.64
2016-05-08,3.04,-2.56
2016-05-15,3.04,0.0
2016-05-22,3.1,1.97
2016-05-29,3.14,1.29
2016-06-05,3.14,0.0
2016-06-12,3.12,-0.64
2016-06-19,3.1,-0.64
2016-06-26,3.1,0.0
2016-07-03,3.16,1.94
2016-07-10,3.2,1.27
2016-07-17,3.18,-0.62
2016-07-24,3.18,0.0
2016-07-31,3.18,0.0
2016-08-07,3.16,-0.63
2016-08-14,3.2,1.27
2016-08-21,3.24,1.25
2016-08-28,3.16,-2.47
2016-09-04,3.02,-4.43
2016-09-11,3.04,0.66
2016-09-18,3.1,1.97
2016-09-25,3.0,-3.23
2016-10-02,3.06,2.0
2016-10-09,2.9,-5.23
2016-10-16,3.0,3.45
2016-10-23,3.02,0.67
2016-10-30,3.02,0.0
2016-11-06,3.02,0.0
2016-11-13,2.98,-1.32
2016-11-20,2.98,0.0
2016-11-27,3.02,1.34
2016-12-04,3.02,0.0
2016-12-11,3.14,3.97
2016-12-18,3.22,2.55
2016-12-25,3.24,0.62
2017-01-01,3.24,0.0
2017-01-08,3.26,0.62
2017-01-15,3.54,8.59
2017-01-22,3.5,-1.13
2017-01-29,3.12,-10.86
2017-02-05,3.04,-2.56
2017-02-12,3.06,0.66
2017-02-19,3.0,-1.96
2017-02-26,2.92,-2.67
2017-03-05,2.9,-0.68
2017-03-12,2.9,0.0
2017-03-19,2.88,-0.69
2017-03-26,2.9,0.69
2017-04-02,2.94,1.38
2017-04-09,2.92,-0.68
2017-04-16,2.9,-0.68
2017-04-23,2.9,0.0
2017-04-30,2.92,0.69
2017-05-07,2.88,-1.37
2017-05-14,2.86,-0.69
2017-05-21,2.92,2.1
2017-05-28,2.84,-2.74
2017-06-04,2.9,2.11
2017-06-11,2.88,-0.69
2017-06-18,2.84,-1.39
2017-06-25,2.86,0.7
2017-07-02,2.94,2.8
2017-07-09,2.96,0.68
2017-07-16,2.88,-2.7
2017-07-23,2.9,0.69
2017-07-30,2.94,1.38
2017-08-06,2.9,-1.36
2017-08-13,2.96,2.07
2017-08-20,2.98,0.68
2017-08-27,2.88,-3.36
2017-09-03,2.88,0.0
2017-09-10,2.88,0.0
2017-09-17,2.86,-0.69
2017-09-24,2.9,1.4
2017-10-01,2.88,-0.69
2017-10-08,2.84,-1.39
2017-10-15,2.78,-2.11
2017-10-22,2.8,0.72
2017-10-29,2.8,0.0
2017-11-05,2.76,-1.43
2017-11-12,2.74,-0.72
2017-11-19,2.72,-0.73
2017-11-26,2.72,0.0
2017-12-03,2.7,-0.74
2017-12-10,2.64,-2.22
2017-12-17,2.74,3.79
2017-12-24,2.68,-2.19
2017-12-31,2.64,-1.49
2018-01-07,2.66,0.76
2018-01-14,2.64,-0.75
2018-01-21,2.68,1.52
2018-01-28,2.66,-0.75
2018-02-04,2.68,0.75
