month,close,change
2005-01-01,18.93,7.56
2005-01-02,16.53,-12.68
2005-01-03,11.82,-28.49
2005-01-04,9.33,-21.07
2005-01-05,9.42,0.96
2005-01-06,8.98,-4.67
2005-01-07,7.87,-12.36
2005-01-08,10.49,33.29
2005-01-09,11.38,8.48
2005-01-10,9.78,-14.06
2005-01-11,8.22,-15.95
2005-01-12,9.51,15.69
2006-01-01,9.42,-0.95
2006-01-02,8.8,-6.58
2006-01-03,8.18,-7.05
2006-01-04,8.31,1.59
2006-01-05,7.11,-14.44
2006-01-06,6.18,-13.08
2006-01-07,6.09,-1.46
2006-01-08,5.78,-5.09
2006-01-09,5.42,-6.23
2006-01-10,6.0,10.7
2006-01-11,6.36,6.0
2006-01-12,4.41,-30.66
2007-01-01,4.49,1.81
2007-01-02,4.34,-3.34
2007-01-03,4.27,-1.61
2007-01-04,4.49,5.15
2007-01-05,4.76,6.01
2007-01-06,5.29,11.13
2007-01-07,7.02,32.7
2007-01-08,6.36,-9.4
2007-01-09,6.31,-0.79
2007-01-10,6.76,7.13
2007-01-11,6.4,-5.33
2007-01-12,6.31,-1.41
2008-01-01,6.22,-1.43
2008-01-02,6.44,3.54
2008-01-03,6.44,0.0
2008-01-04,6.22,-3.42
2008-01-05,6.49,4.34
2008-01-06,5.82,-10.32
2008-01-07,5.64,-3.09
2008-01-08,4.89,-13.3
2008-01-09,3.91,-20.04
2008-01-10,2.03,-48.08
2008-01-11,2.93,44.33
2008-01-12,3.02,3.07
2009-01-01,2.93,-2.98
2009-01-02,3.57,21.84
2009-01-03,3.56,-0.28
2009-01-04,3.54,-0.56
2009-01-05,3.59,1.41
2009-01-06,3.64,1.39
2009-01-07,3.73,2.47
2009-01-08,3.82,2.41
2009-01-09,3.95,3.4
2009-01-10,3.96,0.25
2009-01-11,4.02,1.52
2009-01-12,4.16,3.48
2010-01-01,3.64,-12.5
2010-01-02,2.86,-21.34
2010-01-03,2.9,1.12
2010-01-04,2.72,-6.08
2010-01-05,2.72,0.0
2010-01-06,3.18,17.06
2010-01-07,3.15,-1.01
2010-01-08,3.18,1.02
2010-01-09,3.33,4.52
2010-01-10,3.33,0.0
2010-01-11,3.14,-5.77
2010-01-12,3.23,3.06
2011-01-01,3.26,0.99
2011-01-02,3.28,0.49
2011-01-03,3.12,-4.88
2011-01-04,3.14,0.51
2011-01-05,4.16,32.65
2011-01-06,3.74,-10.0
2011-01-07,3.84,2.56
2011-01-08,3.68,-4.17
2011-01-09,3.18,-13.48
2011-01-10,3.02,-5.03
2011-01-11,3.2,5.82
2011-01-12,4.0,25.0
2012-01-01,4.44,11.0
2012-01-02,4.32,-2.7
2012-01-03,4.04,-6.48
2012-01-04,4.08,0.99
2012-01-05,3.93,-3.53
2012-01-06,3.92,-0.41
2012-01-07,3.78,-3.67
2012-01-08,3.87,2.54
2012-01-09,3.97,2.48
2012-01-10,3.98,0.4
2012-01-11,4.0,0.4
2012-01-12,4.08,2.0
2013-01-01,4.44,8.82
2013-01-02,5.64,27.03
2013-01-03,10.16,80.14
2013-01-04,11.36,11.81
2013-01-05,10.56,-7.04
2013-01-06,7.28,-31.06
2013-01-07,6.92,-4.95
2013-01-08,4.88,-29.48
2013-01-09,5.76,18.03
2013-01-10,5.52,-4.17
2013-01-11,5.52,0.0
2013-01-12,5.52,0.0
2014-01-01,5.4,-2.17
2014-01-02,5.32,-1.48
2014-01-03,5.28,-0.75
2014-01-04,5.24,-0.76
2014-01-05,5.2,-0.76
2014-01-06,5.8,11.54
2014-01-07,6.0,3.45
2014-01-08,5.76,-4.0
2014-01-09,5.8,0.69
2014-01-10,5.68,-2.07
2014-01-11,5.92,4.23
2014-01-12,5.6,-5.41
2015-01-01,6.12,9.29
2015-01-02,6.64,8.5
2015-01-03,5.94,-10.54
2015-01-04,6.3,6.06
2015-01-05,6.75,7.14
2015-01-06,6.48,-4.0
2015-01-07,6.03,-6.94
2015-01-08,5.49,-8.96
2015-01-09,5.35,-2.46
2015-01-10,5.35,0.0
2015-01-11,5.35,0.0
2015-01-12,5.26,-1.68
2016-01-01,5.49,4.27
2016-01-02,5.76,4.92
2016-01-03,5.67,-1.56
2016-01-04,5.71,0.79
2016-01-05,5.76,0.79
2016-01-06,6.12,6.25
2016-01-07,6.34,3.68
2016-01-08,6.21,-2.13
2016-01-09,6.21,0.0
2016-01-10,6.21,0.0
2016-01-11,6.25,0.72
2016-01-12,6.25,0.0
2017-01-01,6.52,4.32
2017-01-02,6.66,2.07
2017-01-03,6.3,-5.41
2017-01-04,6.34,0.71
2017-01-05,6.43,1.42
2017-01-06,6.43,0.0
2017-01-07,6.48,0.7
2017-01-08,5.98,-7.64
2017-01-09,6.12,2.26
2017-01-10,6.21,1.47
2017-01-11,5.8,-6.52
2017-01-12,5.44,-6.2
2018-01-01,6.12,12.4
2018-01-02,6.12,0.0
2018-01-03,5.8,-5.2
2018-01-04,6.05,4.31
2018-01-05,5.9,-2.48
2018-01-06,5.7,-3.39
2018-01-07,6.0,5.26
2018-01-08,5.95,-0.83
2018-01-09,5.95,0.0
2018-01-10,5.9,-0.84
2018-01-11,5.75,-2.54
2018-01-12,5.5,-4.35
2019-01-01,5.65,2.73
2019-01-02,5.65,0.0
2019-01-03,5.25,-7.08
2019-01-04,4.96,-5.52
2019-01-05,4.68,-5.65
2019-01-06,4.6,-1.71
2019-01-07,4.32,-6.09
2019-01-08,4.2,-2.78
2019-01-09,4.12,-1.9
2019-01-10,3.74,-9.22
2019-01-11,4.0,6.95
2019-01-12,3.9,-2.5
2020-01-01,3.8,-2.56
2020-01-02,3.52,-7.37
2020-01-03,3.08,-12.5
2020-01-04,3.5,13.64
2020-01-05,3.5,0.0
2020-01-06,3.76,7.43
2020-01-07,3.82,1.6
2020-01-08,3.7,-3.14
2020-01-09,3.56,-3.78
2020-01-10,3.48,-2.25
2020-01-11,3.68,5.75
2020-01-12,4.14,12.5
2021-01-01,4.2,1.45
2021-01-02,4.48,6.67
2021-01-03,6.8,51.79
2021-01-04,6.45,-5.15
2021-01-05,6.9,6.98
2021-01-06,7.35,6.52
2021-01-07,6.85,-6.8
2021-01-08,6.75,-1.46
2021-01-09,6.85,1.48
2021-01-10,6.9,0.73
2021-01-11,7.85,13.77
2021-01-12,9.0,14.65
2022-01-01,13.8,53.33
2022-01-02,13.1,-5.07
2022-01-03,11.9,-9.16
2022-01-04,10.3,-13.45
2022-01-05,9.4,-8.74
2022-01-06,8.1,-13.83
2022-01-07,7.6,-6.17
2022-01-08,9.55,25.66
2022-01-09,8.3,-13.09
2022-01-10,8.4,1.2
2022-01-11,6.85,-18.45
2022-01-12,7.0,2.19
2023-01-01,7.4,5.71
2023-01-02,7.1,-4.05
2023-01-03,6.35,-10.56
2023-01-04,5.4,-14.96
2023-01-05,4.96,-8.15
2023-01-06,4.0,-19.35
2023-01-07,4.76,19.0
2023-01-08,6.0,26.05
2023-01-09,5.4,-10.0
2023-01-10,4.9,-9.26
2023-01-11,4.44,-9.39
2023-01-12,4.0,-9.91
2024-01-01,3.98,-0.5
2024-01-02,5.75,44.47
2024-01-03,4.24,-26.26
2024-01-04,4.38,3.3
2024-01-05,4.32,-1.37
2024-01-06,4.08,-5.56
2024-01-07,4.0,-1.96
2024-01-08,3.78,-5.5
2024-01-09,3.92,3.7
2024-01-10,3.72,-5.1
2024-01-11,4.52,21.51
2024-01-12,4.32,-4.42
