month,close,change
2005-01-02,5.24,9.17
2005-01-09,5.33,1.72
2005-01-16,5.57,4.5
2005-01-23,5.86,5.21
2005-01-30,6.63,13.14
2005-02-06,6.69,0.9
2005-02-13,7.34,9.72
2005-02-20,6.93,-5.59
2005-02-27,6.46,-6.78
2005-03-06,5.98,-7.43
2005-03-13,5.89,-1.51
2005-03-20,5.36,-9.0
2005-03-27,5.8,8.21
2005-04-03,5.3,-8.62
2005-04-10,5.66,6.79
2005-04-17,5.12,-9.54
2005-04-24,4.86,-5.08
2005-05-01,5.42,11.52
2005-05-08,5.45,0.55
2005-05-15,5.09,-6.61
2005-05-22,5.12,0.59
2005-05-29,5.27,2.93
2005-06-05,5.75,9.11
2005-06-12,5.98,4.0
2005-06-19,6.4,7.02
2005-06-26,6.16,-3.75
2005-07-03,5.39,-12.5
2005-07-10,5.48,1.67
2005-07-17,5.39,-1.64
2005-07-24,5.6,3.9
2005-07-31,5.0,-10.71
2005-08-07,4.77,-4.6
2005-08-14,4.47,-6.29
2005-08-21,4.41,-1.34
2005-08-28,4.59,4.08
2005-09-04,4.74,3.27
2005-09-11,4.56,-3.8
2005-09-18,4.86,6.58
2005-09-25,4.65,-4.32
2005-10-02,4.59,-1.29
2005-10-09,4.53,-1.31
2005-10-16,4.59,1.32
2005-10-23,4.38,-4.58
2005-10-30,4.71,7.53
2005-11-06,4.59,-2.55
2005-11-13,4.74,3.27
2005-11-20,4.68,-1.27
2005-11-27,4.92,5.13
2005-12-04,5.57,13.21
2005-12-11,5.45,-2.15
2005-12-18,5.63,3.3
2005-12-25,5.92,5.15
2006-01-01,6.28,6.08
2006-01-08,6.34,0.96
2006-01-15,6.34,0.0
2006-01-22,6.81,7.41
2006-01-29,6.75,-0.88
2006-02-05,6.4,-5.19
2006-02-12,6.28,-1.87
2006-02-19,6.16,-1.91
2006-02-26,6.1,-0.97
2006-03-05,5.57,-8.69
2006-03-12,5.83,4.67
2006-03-19,5.72,-1.89
2006-03-26,6.22,8.74
2006-04-02,6.22,0.0
2006-04-09,5.63,-9.49
2006-04-16,5.36,-4.8
2006-04-23,5.83,8.77
2006-04-30,5.66,-2.92
2006-05-07,6.75,19.26
2006-05-14,6.63,-1.78
2006-05-21,6.1,-7.99
2006-05-28,6.28,2.95
2006-06-04,5.92,-5.73
2006-06-11,5.6,-5.41
2006-06-18,5.33,-4.82
2006-06-25,4.98,-6.57
2006-07-02,5.21,4.62
2006-07-09,5.18,-0.58
2006-07-16,5.27,1.74
2006-07-23,5.3,0.57
2006-07-30,5.42,2.26
2006-08-06,5.45,0.55
2006-08-13,5.18,-4.95
2006-08-20,5.3,2.32
2006-08-27,5.48,3.4
2006-09-03,5.45,-0.55
2006-09-10,5.89,8.07
2006-09-17,5.63,-4.41
2006-09-24,5.57,-1.07
2006-10-01,5.36,-3.77
2006-10-08,5.48,2.24
2006-10-15,5.33,-2.74
2006-10-22,4.98,-6.57
2006-10-29,5.09,2.21
2006-11-05,5.24,2.95
2006-11-12,5.12,-2.29
2006-11-19,5.3,3.52
2006-11-26,5.09,-3.96
2006-12-03,4.86,-4.52
2006-12-10,4.74,-2.47
2006-12-17,3.73,-21.31
2006-12-24,3.61,-3.22
2006-12-31,2.96,-18.01
2007-01-07,2.99,1.01
2007-01-14,3.26,9.03
2007-01-21,3.35,2.76
2007-01-28,3.85,14.93
2007-02-04,3.97,3.12
2007-02-11,3.79,-4.53
2007-02-18,4.15,9.5
2007-02-25,3.41,-17.83
2007-03-04,3.14,-7.92
2007-03-11,3.38,7.64
2007-03-18,3.38,0.0
2007-03-25,3.23,-4.44
2007-04-01,3.55,9.91
2007-04-08,3.35,-5.63
2007-04-15,3.49,4.18
2007-04-22,3.7,6.02
2007-04-29,4.47,20.81
2007-05-06,4.35,-2.68
2007-05-13,4.89,12.41
2007-05-20,4.47,-8.59
2007-05-27,4.98,11.41
2007-06-03,4.47,-10.24
2007-06-10,4.23,-5.37
2007-06-17,4.56,7.8
2007-06-24,4.56,0.0
2007-07-01,5.27,15.57
2007-07-08,5.27,0.0
2007-07-15,5.12,-2.85
2007-07-22,4.89,-4.49
2007-07-29,4.71,-3.68
2007-08-05,4.09,-13.16
2007-08-12,3.73,-8.8
2007-08-19,4.03,8.04
2007-08-26,4.06,0.74
2007-09-02,3.97,-2.22
2007-09-09,3.91,-1.51
2007-09-16,3.97,1.53
2007-09-23,3.97,0.0
2007-09-30,4.06,2.27
2007-10-07,4.53,11.58
2007-10-14,4.29,-5.3
2007-10-21,4.26,-0.7
2007-10-28,4.29,0.7
2007-11-04,4.18,-2.56
2007-11-11,4.21,0.72
2007-11-18,4.03,-4.28
2007-11-25,3.79,-5.96
2007-12-02,3.61,-4.75
2007-12-09,3.52,-2.49
2007-12-16,3.2,-9.09
2007-12-23,3.44,7.5
2007-12-30,3.32,-3.49
2008-01-06,3.7,11.45
2008-01-13,3.26,-11.89
2008-01-20,3.17,-2.76
2008-01-27,3.41,7.57
2008-02-03,3.38,-0.88
2008-02-10,3.52,4.14
2008-02-17,3.26,-7.39
2008-02-24,3.2,-1.84
2008-03-02,3.08,-3.75
2008-03-09,2.96,-3.9
2008-03-16,2.99,1.01
2008-03-23,3.02,1.0
2008-03-30,2.99,-0.99
