month,close,change
2009-05-10,0.68,13.33
2009-05-17,0.69,1.47
2009-05-24,0.74,7.25
2009-05-31,0.93,25.68
2009-06-07,0.94,1.08
2009-06-14,0.82,-12.77
2009-06-21,0.84,2.44
2009-06-28,0.83,-1.19
2009-07-05,0.8,-3.61
2009-07-12,0.85,6.25
2009-07-19,0.82,-3.53
2009-07-26,0.81,-1.22
2009-08-02,0.82,1.23
2009-08-09,1.09,32.93
2009-08-16,1.03,-5.5
2009-08-23,1.06,2.91
2009-08-30,1.09,2.83
2009-09-06,1.23,12.84
2009-09-13,1.19,-3.25
2009-09-20,1.2,0.84
2009-09-27,1.21,0.83
2009-10-04,1.35,11.57
2009-10-11,1.21,-10.37
2009-10-18,1.19,-1.65
2009-10-25,1.1,-7.56
2009-11-01,1.16,5.45
2009-11-08,1.12,-3.45
2009-11-15,1.1,-1.79
2009-11-22,1.07,-2.73
2009-11-29,1.12,4.67
2009-12-06,1.12,0.0
2009-12-13,1.24,10.71
2009-12-20,1.23,-0.81
2009-12-27,1.24,0.81
2010-01-03,1.41,13.71
2010-01-10,1.38,-2.13
2010-01-17,1.3,-5.8
2010-01-24,1.27,-2.31
2010-01-31,1.28,0.79
2010-02-07,1.26,-1.56
2010-02-14,1.24,-1.59
2010-02-21,1.31,5.65
2010-02-28,1.37,4.58
2010-03-07,1.36,-0.73
2010-03-14,1.44,5.88
2010-03-21,1.42,-1.39
2010-03-28,1.39,-2.11
2010-04-04,1.36,-2.16
2010-04-11,1.23,-9.56
2010-04-18,1.26,2.44
2010-04-25,1.35,7.14
2010-05-02,1.36,0.74
2010-05-09,1.36,0.0
2010-05-16,1.38,1.47
2010-05-23,1.33,-3.62
2010-05-30,1.33,0.0
2010-06-06,1.35,1.5
2010-06-13,1.42,5.19
2010-06-20,1.4,-1.41
2010-06-27,1.49,6.43
2010-07-04,1.7,14.09
2010-07-11,2.1,23.53
2010-07-18,1.94,-7.62
2010-07-25,1.96,1.03
2010-08-01,2.12,8.16
2010-08-08,2.04,-3.77
