month,close,change
2010-01-11,2.22,-1.77
2010-01-12,2.22,0.0
2011-01-01,2.07,-6.76
2011-01-02,2.08,0.48
2011-01-03,2.66,27.88
2011-01-04,2.72,2.26
2011-01-05,3.799,39.66
2011-01-06,3.403,-10.42
2011-01-07,3.588,5.43
2011-01-08,3.218,-10.29
2011-01-09,2.457,-23.65
2011-01-10,2.518,2.47
2011-01-11,2.943,16.87
2011-01-12,2.973,1.03
2012-01-01,3.246,9.18
2012-01-02,3.185,-1.87
2012-01-03,3.125,-1.9
2012-01-04,3.337,6.8
2012-01-05,3.21,-3.82
2012-01-06,3.332,3.8
2012-01-07,3.332,0.0
2012-01-08,3.489,4.71
2012-01-09,3.942,13.0
2012-01-10,5.512,39.82
2012-01-11,5.519,0.12
2012-01-12,5.741,4.03
2013-01-01,9.333,62.58
2013-01-02,10.667,14.29
2013-01-03,10.37,-2.78
2013-01-04,11.111,7.14
2013-01-05,9.156,-17.6
2013-01-06,7.022,-23.3
2013-01-07,7.6,8.23
2013-01-08,6.756,-11.11
2013-01-09,7.867,16.45
2013-01-10,7.822,-0.56
2013-01-11,7.156,-8.52
2013-01-12,7.156,0.0
2014-01-01,7.067,-1.24
2014-01-02,7.067,0.0
2014-01-03,7.333,3.77
2014-01-04,7.467,1.82
2014-01-05,7.244,-2.98
2014-01-06,7.956,9.82
2014-01-07,7.689,-3.35
2014-01-08,8.667,12.72
2014-01-09,8.222,-5.13
2014-01-10,7.6,-7.57
2014-01-11,7.111,-6.43
2014-01-12,6.711,-5.63
2015-01-01,8.222,22.52
2015-01-02,8.978,9.19
2015-01-03,7.6,-15.35
2015-01-04,8.2,7.89
2015-01-05,7.2,-12.2
2015-01-06,7.65,6.25
2015-01-07,6.75,-11.76
2015-01-08,5.95,-11.85
2015-01-09,6.15,3.36
2015-01-10,6.4,4.07
2015-01-11,6.25,-2.34
2015-01-12,5.6,-10.4
2016-01-01,5.6,0.0
2016-01-02,5.45,-2.68
2016-01-03,5.45,0.0
2016-01-04,6.3,15.6
2016-01-05,6.25,-0.79
2016-01-06,6.45,3.2
2016-01-07,7.35,13.95
2016-01-08,7.3,-0.68
2016-01-09,6.65,-8.9
2016-01-10,6.6,-0.75
2016-01-11,5.65,-14.39
2016-01-12,6.0,6.19
2017-01-01,6.3,5.0
2017-01-02,5.6,-11.11
2017-01-03,5.45,-2.68
2017-01-04,5.4,-0.92
2017-01-05,5.3,-1.85
2017-01-06,5.5,3.77
2017-01-07,5.2,-5.45
2017-01-08,5.25,0.96
2017-01-09,5.05,-3.81
2017-01-10,5.1,0.99
2017-01-11,4.96,-2.75
2017-01-12,4.96,0.0
2018-01-01,4.62,-6.85
2018-01-02,4.76,3.03
2018-01-03,4.6,-3.36
2018-01-04,4.6,0.0
2018-01-05,4.88,6.09
2018-01-06,4.54,-6.97
2018-01-07,4.7,3.52
2018-01-08,4.54,-3.4
2018-01-09,4.52,-0.44
2018-01-10,4.26,-5.75
2018-01-11,4.32,1.41
2018-01-12,3.98,-7.87
2019-01-01,3.88,-2.51
2019-01-02,3.6,-7.22
2019-01-03,3.06,-15.0
2019-01-04,3.12,1.96
2019-01-05,3.0,-3.85
2019-01-06,3.1,3.33
2019-01-07,3.08,-0.65
2019-01-08,3.02,-1.95
2019-01-09,3.1,2.65
2019-01-10,2.98,-3.87
2019-01-11,2.9,-2.68
2019-01-12,2.8,-3.45
2020-01-01,2.72,-2.86
2020-01-02,2.7,-0.74
2020-01-03,2.28,-15.56
2020-01-04,2.9,27.19
2020-01-05,3.46,19.31
2020-01-06,3.7,6.94
2020-01-07,3.74,1.08
2020-01-08,3.7,-1.07
2020-01-09,3.74,1.08
2020-01-10,3.68,-1.6
2020-01-11,3.86,4.89
2020-01-12,4.04,4.66
2021-01-01,4.06,0.5
2021-01-02,4.72,16.26
2021-01-03,5.0,5.93
2021-01-04,5.1,2.0
2021-01-05,5.15,0.98
2021-01-06,5.0,-2.91
2021-01-07,4.98,-0.4
2021-01-08,5.15,3.41
2021-01-09,5.05,-1.94
2021-01-10,5.05,0.0
2021-01-11,4.98,-1.39
2021-01-12,6.2,24.5
2022-01-01,5.2,-16.13
2022-01-02,7.1,36.54
2022-01-03,5.95,-16.2
2022-01-04,5.75,-3.36
2022-01-05,5.25,-8.7
2022-01-06,5.05,-3.81
2022-01-07,4.54,-10.1
2022-01-08,4.84,6.61
2022-01-09,5.8,19.83
2022-01-10,5.3,-8.62
2022-01-11,4.76,-10.19
2022-01-12,4.78,0.42
2023-01-01,4.72,-1.26
2023-01-02,4.48,-5.08
2023-01-03,4.32,-3.57
2023-01-04,4.08,-5.56
2023-01-05,4.2,2.94
2023-01-06,3.94,-6.19
2023-01-07,3.86,-2.03
2023-01-08,4.1,6.22
2023-01-09,3.98,-2.93
2023-01-10,3.48,-12.56
2023-01-11,3.68,5.75
2023-01-12,3.86,4.89
2024-01-01,3.72,-3.63
2024-01-02,3.64,-2.15
2024-01-03,3.6,-1.1
2024-01-04,3.42,-5.0
2024-01-05,3.54,3.51
2024-01-06,3.52,-0.56
2024-01-07,3.44,-2.27
2024-01-08,3.28,-4.65
2024-01-09,3.38,3.05
2024-01-10,3.4,0.59
2024-01-11,3.08,-9.41
2024-01-12,3.08,0.0
