month,close,change
2005-01-01,2.97,2.06
2005-01-02,2.7,-9.09
2005-01-03,2.06,-23.7
2005-01-04,1.81,-12.14
2005-01-05,1.74,-3.87
2005-01-06,1.6,-8.05
2005-01-07,0.99,-38.13
2005-01-08,0.92,-7.07
2005-01-09,1.19,29.35
2005-01-10,1.07,-10.08
2005-01-11,0.79,-26.17
2005-01-12,1.09,37.97
2006-01-01,1.07,-1.83
2006-01-02,1.03,-3.74
2006-01-03,1.14,10.68
2006-01-04,1.03,-9.65
2006-01-05,0.87,-15.53
2006-01-06,0.78,-10.34
2006-01-07,0.76,-2.56
2006-01-08,0.78,2.63
2006-01-09,0.76,-2.56
2006-01-10,0.83,9.21
2006-01-11,0.81,-2.41
2006-01-12,0.65,-19.75
2007-01-01,0.64,-1.54
2007-01-02,0.59,-7.81
2007-01-03,0.68,15.25
2007-01-04,0.67,-1.47
2007-01-05,0.65,-2.99
2007-01-06,0.65,0.0
2007-01-07,0.68,4.62
2007-01-08,0.61,-10.29
2007-01-09,0.63,3.28
2007-01-10,0.55,-12.7
2007-01-11,0.47,-14.55
2007-01-12,0.46,-2.13
2008-01-01,0.39,-15.22
2008-01-02,0.5,28.21
2008-01-03,0.69,38.0
2008-01-04,0.69,0.0
2008-01-05,0.56,-18.84
2008-01-06,0.43,-23.21
2008-01-07,0.41,-4.65
2008-01-08,0.41,0.0
2008-01-09,0.37,-9.76
2008-01-10,0.25,-32.43
2008-01-11,0.23,-8.0
2008-01-12,0.29,26.09
2009-01-01,0.3,3.45
2009-01-02,0.27,-10.0
2009-01-03,0.29,7.41
2009-01-04,0.34,17.24
2009-01-05,0.37,8.82
2009-01-06,0.41,10.81
2009-01-07,0.5,21.95
2009-01-08,0.73,46.0
2009-01-09,0.75,2.74
2009-01-10,1.15,53.33
2009-01-11,1.34,16.52
2009-01-12,1.25,-6.72
2010-01-01,1.21,-3.2
2010-01-02,1.23,1.65
2010-01-03,1.2,-2.44
2010-01-04,1.19,-0.83
2010-01-05,1.26,5.88
2010-01-06,1.63,29.37
2010-01-07,1.78,9.2
2010-01-08,1.83,2.81
2010-01-09,1.71,-6.56
2010-01-10,2.0,16.96
2010-01-11,2.0,0.0
2010-01-12,2.08,4.0
2011-01-01,1.9,-8.65
2011-01-02,2.02,6.32
2011-01-03,1.89,-6.44
2011-01-04,1.9,0.38
2011-01-05,1.87,-1.2
2011-01-06,1.76,-6.1
2011-01-07,1.87,6.49
2011-01-08,1.55,-17.07
2011-01-09,1.3,-16.18
2011-01-10,1.43,9.65
2011-01-11,1.57,9.6
2011-01-12,1.59,1.46
2012-01-01,1.67,5.04
2012-01-02,1.71,2.74
2012-01-03,1.67,-2.67
2012-01-04,1.77,6.16
2012-01-05,1.86,5.16
2012-01-06,1.79,-3.68
2012-01-07,3.03,68.79
2012-01-08,3.17,4.72
2012-01-09,3.43,8.11
2012-01-10,4.51,31.67
2012-01-11,4.43,-1.9
2012-01-12,4.4,-0.65
2013-01-01,7.43,68.83
2013-01-02,22.14,198.08
2013-01-03,17.71,-20.0
2013-01-04,17.71,0.0
2013-01-05,20.3,14.6
2013-01-06,15.2,-25.12
2013-01-07,15.8,3.95
2013-01-08,12.0,-24.05
2013-01-09,11.7,-2.5
2013-01-10,10.3,-11.97
2013-01-11,9.0,-12.62
2013-01-12,6.65,-26.11
2014-01-01,9.35,40.6
2014-01-02,8.3,-11.23
2014-01-03,8.5,2.41
2014-01-04,8.2,-3.53
2014-01-05,8.55,4.27
2014-01-06,8.8,2.92
2014-01-07,7.5,-14.77
2014-01-08,7.65,2.0
2014-01-09,7.55,-1.31
2014-01-10,7.35,-2.65
2014-01-11,6.55,-10.88
2014-01-12,5.45,-16.79
2015-01-01,6.1,11.93
2015-01-02,5.95,-2.46
2015-01-03,5.0,-15.97
2015-01-04,5.3,6.0
2015-01-05,5.25,-0.94
2015-01-06,6.25,19.05
2015-01-07,6.35,1.6
2015-01-08,5.05,-20.47
2015-01-09,5.25,3.96
2015-01-10,5.3,0.95
2015-01-11,4.78,-9.81
2015-01-12,4.0,-16.32
2016-01-01,3.98,-0.5
2016-01-02,4.02,1.01
2016-01-03,3.94,-1.99
2016-01-04,3.86,-2.03
2016-01-05,3.3,-14.51
2016-01-06,3.34,1.21
2016-01-07,3.26,-2.4
2016-01-08,3.3,1.23
2016-01-09,2.94,-10.91
2016-01-10,2.64,-10.2
2016-01-11,3.14,18.94
2016-01-12,3.06,-2.55
2017-01-01,3.58,16.99
2017-01-02,3.3,-7.82
2017-01-03,3.42,3.64
2017-01-04,3.4,-0.58
2017-01-05,3.1,-8.82
2017-01-06,3.04,-1.94
2017-01-07,2.92,-3.95
2017-01-08,2.68,-8.22
2017-01-09,2.68,0.0
2017-01-10,2.5,-6.72
2017-01-11,2.2,-12.0
2017-01-12,2.3,4.55
2018-01-01,2.18,-5.22
2018-01-02,1.77,-18.81
2018-01-03,1.63,-7.91
2018-01-04,1.57,-3.68
2018-01-05,1.42,-9.55
2018-01-06,1.17,-17.61
2018-01-07,1.19,1.71
2018-01-08,1.4,17.65
2018-01-09,1.45,3.57
2018-01-10,1.24,-14.48
2018-01-11,1.14,-8.06
2018-01-12,1.23,7.89
2019-01-01,1.19,-3.25
2019-01-02,1.2,0.84
