month,close,change
2004-01-01,39.255,-0.93
2004-01-02,39.275,0.05
2004-01-03,39.245,-0.08
2004-01-04,40.05,2.05
2004-01-05,40.55,1.25
2004-01-06,40.935,0.95
2004-01-07,41.3,0.89
2004-01-08,41.625,0.79
2004-01-09,41.4,-0.54
2004-01-10,41.04,-0.87
2004-01-11,39.415,-3.96
2004-01-12,38.874,-1.37
2005-01-01,38.55,-0.83
2005-01-02,38.24,-0.8
2005-01-03,39.12,2.3
2005-01-04,39.445,0.83
2005-01-05,40.63,3.0
2005-01-06,41.325,1.71
2005-01-07,41.655,0.8
2005-01-08,41.278,-0.91
2005-01-09,41.045,-0.56
2005-01-10,40.78,-0.65
2005-01-11,41.245,1.14
2005-01-12,41.025,-0.53
2006-01-01,38.93,-5.11
2006-01-02,39.11,0.46
2006-01-03,38.875,-0.6
2006-01-04,37.53,-3.46
2006-01-05,38.155,1.67
2006-01-06,38.12,-0.09
2006-01-07,37.86,-0.68
2006-01-08,37.58,-0.74
2006-01-09,37.565,-0.04
2006-01-10,36.688,-2.33
2006-01-11,35.895,-2.16
2006-01-12,35.45,-1.24
2007-01-01,34.75,-1.97
2007-01-02,34.025,-2.09
2007-01-03,32.325,-5.0
2007-01-04,32.85,1.62
2007-01-05,32.9,0.15
2007-01-06,31.7,-3.65
2007-01-07,29.95,-5.52
2007-01-08,32.535,8.63
2007-01-09,31.9,-1.95
2007-01-10,31.675,-0.71
2007-01-11,30.7,-3.08
2007-01-12,30.05,-2.12
2008-01-01,31.3,4.16
2008-01-02,31.075,-0.72
2008-01-03,31.47,1.27
2008-01-04,31.655,0.59
2008-01-05,32.489,2.63
2008-01-06,33.43,2.9
2008-01-07,33.52,0.27
2008-01-08,34.225,2.1
2008-01-09,33.855,-1.08
2008-01-10,35.05,3.53
2008-01-11,35.47,1.2
2008-01-12,34.785,-1.93
2009-01-01,34.975,0.55
2009-01-02,36.19,3.47
2009-01-03,35.495,-1.92
2009-01-04,35.28,-0.61
2009-01-05,34.31,-2.75
2009-01-06,34.06,-0.73
2009-01-07,34.025,-0.1
2009-01-08,34.02,-0.01
2009-01-09,33.44,-1.7
2009-01-10,33.455,0.04
2009-01-11,33.235,-0.66
2009-01-12,33.36,0.38
2010-01-01,33.175,-0.55
2010-01-02,33.055,-0.36
2010-01-03,32.35,-2.13
2010-01-04,32.345,-0.02
2010-01-05,32.53,0.57
2010-01-06,32.415,-0.35
2010-01-07,32.24,-0.54
2010-01-08,31.27,-3.01
2010-01-09,30.345,-2.96
2010-01-10,29.94,-1.33
2010-01-11,30.185,0.82
2010-01-12,30.065,-0.4
2011-01-01,30.905,2.79
2011-01-02,30.595,-1.0
2011-01-03,30.255,-1.11
2011-01-04,29.85,-1.34
2011-01-05,30.3,1.51
2011-01-06,30.7,1.32
2011-01-07,29.75,-3.09
2011-01-08,29.93,0.61
2011-01-09,31.17,4.14
2011-01-10,30.7,-1.51
2011-01-11,30.84,0.46
2011-01-12,31.52,2.2
2012-01-01,30.97,-1.74
2012-01-02,30.44,-1.71
2012-01-03,30.83,1.28
2012-01-04,30.72,-0.36
2012-01-05,31.84,3.65
2012-01-06,31.54,-0.94
2012-01-07,31.5,-0.13
2012-01-08,31.32,-0.57
2012-01-09,30.81,-1.63
2012-01-10,30.69,-0.39
2012-01-11,30.69,0.0
